gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	6.571530392973003e-62	-4.833213047185215	0.5	1	2.180236638476653e-57	-0.5
CYP17A1	4.0108822070492004e-76	-4.772384232120072	1	1	1.3306903898327133e-71	0
GML	1.2335782173435394e-89	-3.919403952643594	0.75	1	4.0926424516806605e-85	-0.25
IGKC	7.905266167604417e-11	3.6260417835679064	1	1	2.6227301564261177e-6	0
MEG3	6.368859257353021e-80	-3.5950850516938795	1	1	2.1129964358120117e-75	0
KCNQ3	3.5085419958242426e-48	-3.3722274024395857	1	1	1.164028977954609e-43	0
STAR	1.0459425695881455e-23	-3.306252249643414	0.75	1	3.4701236631225905e-19	-0.25
DHCR24	7.467149919798607e-54	-3.163311052470849	1	1	2.4773763288915837e-49	0
SORBS2	3.828072729431197e-24	-3.1050612354338796	1	1	1.2700396894433882e-19	0
RALYL	1.9961191416403192e-9	-3.101636387856675	1	1	6.622524476220087e-5	0
RARRES2	1.018590018496403e-39	-3.080820767049018	0.75	1	3.379376104365516e-35	-0.25
VCAM1	1.9834397568980662e-30	3.079320719448947	1	1	6.580458081460714e-26	0
HSD3B2	3.9972943474017827e-47	-3.077540116513996	0.5	1	1.3261823456374895e-42	-0.5
FBXL7	9.034451889832997e-16	-2.983087707749096	1	1	2.9973601034898936e-11	0
CYP11A1	6.112349891606593e-48	-2.9039644662096906	0.75	1	2.027894323538319e-43	-0.25
CYP21A2	1.291212300879304e-34	-2.850013063949748	0.25	1	4.283855050627267e-30	-0.75
SLIT2	1.5856217522092358e-8	-2.787143316666982	1	1	5.260617287304581e-4	0
IGHA1	1.1624507351597175e-9	2.7476604109623257	1	1	3.856662804039395e-5	0
C3	3.891678995310379e-28	-2.69611156374148	1	1	1.2911423402741245e-23	0
NOV	4.8365783055504124e-15	-2.656859811915804	0.75	1	1.6046315844324603e-10	-0.25
ITGAD	2.0932661702142833e-31	2.6278981165808952	1	1	6.944829172919928e-27	0
TIMD4	1.7936135826015356e-15	2.6136089522606647	1	1	5.950671782997114e-11	0
HMOX1	6.377351719655495e-9	2.5272158605475608	1	1	2.1158139800301034e-4	0
GSTA1	2.380179242529679e-37	-2.514315050324134	0.5	1	7.896720672940716e-33	-0.5
SDC2	4.442369225336223e-24	2.4883052149204925	1	1	1.4738448378897986e-19	0
PPARG	8.79940230136938e-15	2.4671959995576747	1	1	2.919377701525319e-10	0
PEBP1	3.0977008401701756e-14	-2.4494186373456626	1	1	1.0277242077432592e-9	0
