gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGHG2	1.145409269462667e-8	4.696362110823179	1	1	3.8001243332962906e-4	0
CYP11B1	8.562907052539478e-15	-4.338142463829894	0.25	1	2.840915672821023e-10	-0.75
CYP17A1	2.944570561794425e-16	-4.24916182744779	0	1	9.769201752865364e-12	-1
GML	6.98285448723828e-18	-4.233241680481536	0.25	1	2.316701633231044e-13	-0.75
SCARB1	2.3425674930636013e-22	-3.6390871583908657	1	1	7.77193617173711e-18	0
DHCR24	1.3951030018316951e-11	-3.4503705301117003	0.5	1	4.628533229177015e-7	-0.5
ABCC3	3.8880167152682636e-14	-3.3641170071920143	1	1	1.2899273056245518e-9	0
MEG3	2.2122536468356274e-15	-3.3335456127767182	0.75	1	7.339593924106561e-11	-0.25
SORBS2	2.5021619069508176e-15	-3.1817445170389727	1	1	8.301422558690727e-11	0
RALYL	6.4283985007569416e-15	-3.1735511929762836	0.75	1	2.1327497705961305e-10	-0.25
WDR63	3.3592941396982053e-9	-3.1133479852676316	0.5	1	1.1145130167276736e-4	-0.5
IGFBP5	3.809496165085318e-13	-3.0514352458155942	0.75	1	1.2638765426903561e-8	-0.25
APOE	2.6375961315665084e-8	-2.9302798954991482	0.75	1	8.750752685698205e-4	-0.25
STAR	1.6813407916316563e-8	-2.8974842499185023	0.5	1	5.578184344396346e-4	-0.5
RIMS2	3.4395620651603964e-11	-2.8777079146248443	1	1	1.1411435063582647e-6	0
LRMDA	3.377771291760332e-11	-2.820987354671098	1	1	1.1206431814673254e-6	0
AKR1B1	5.6889285249793e-9	-2.8154024493113154	0.75	1	1.8874158167323825e-4	-0.25
CYP11A1	1.3449355934017336e-8	-2.719990795224004	0	1	4.4620928182289313e-4	-1
GRAMD1B	7.649554783913039e-10	-2.685074563023707	1	1	2.537892790658829e-5	0
MEIS1	3.448445205771641e-10	-2.6743975780696085	0.75	1	1.1440906659188572e-5	-0.25
FBXL7	4.2803741275728326e-10	-2.641995586174503	1	1	1.4200997243048386e-5	0
CYP21A2	9.256355715573478e-9	-2.632111387650037	0.25	1	3.070981135755813e-4	-0.75
MEG8	1.1585560310172559e-8	-2.569773126710481	0.5	1	3.84374134410595e-4	-0.5
SLIT2	2.0684174952817636e-8	-2.5570762459280303	1	1	6.862388724096307e-4	0
SCD5	4.772670119727858e-9	-2.543181128872649	0.75	1	1.5834287656221115e-4	-0.25
C7	6.057888133194791e-7	-2.449816529073519	0.75	1	0.020098255459500357	-0.25
SLC16A9	2.162733818772211e-7	-2.447298131988547	0.5	1	0.007175301990540564	-0.5
TBX3	2.832623981168601e-7	-2.4363789528129547	0.5	1	0.009397796582323066	-0.5
SEMA3B	1.2132621550483573e-6	-2.4243753809708144	0.25	1	0.04025239851803935	-0.75
GSTA1	4.0266381947588494e-8	-2.4118912728579285	0	1	0.0013359177538751434	-1
FRMD5	2.3252167277498212e-07	-2.4074224867471283	0.75	1	0.007714371537655582	-0.25
RARRES2	4.0437039445263965e-7	-2.406398526920234	0.5	1	0.013415796576755226	-0.5
KCNQ1OT1	6.044092196646558e-7	-2.3721012242189015	1	1	0.020052484680814286	0
PCDH15	2.9290878480326864e-7	-2.3526254491347895	1	1	0.009717834753418043	0
PLEKHA5	4.8679288008125224e-8	-2.348316781247816	1	1	0.0016150327382455705	0
IFITM3	8.636268985881505e-7	-2.340971245294571	1	1	0.02865254961445907	0
LINC01807	1.7784153161549496e-7	-2.3337766492766456	0.75	1	0.005900248494407277	-0.25
FAM198B	1.4140209185125754e-6	-2.2607142992039324	0.5	1	0.04691297201349171	-0.5
HSD3B2	1.4474922879106e-7	-2.198558775182068	0	1	0.004802345163600998	-1
AL117190.2	1.4757252022379113e-6	-2.101731141188905	0.25	1	0.04896013503464718	-0.75
