gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	6.767542634991217e-70	-5.143774275952185	0.75	1	2.2452676200110363e-65	-0.25
CYP11B1	4.3153916160554833e-32	-4.953796295310055	1	1	1.4317174764587277e-27	0
IGKC	2.2228036665334683e-9	4.017943562517478	1	0.75	7.374595724458088e-5	0.25
SCARB1	2.7810571239558973e-58	-3.896922800170791	1	1	9.226713220148481e-54	0
MEG3	3.8667226767414194e-65	-3.7017633526169353	1	1	1.2828625824625006e-60	0
STAR	2.795493861227168e-20	-3.5940651696007877	0.75	1	9.274609983393375e-16	-0.25
GML	6.502475841884406e-52	-3.5304631656827445	1	1	2.1573264100619893e-47	0
RARRES2	3.9043987971681747e-23	-3.517097583597235	1	1	1.2953623889364853e-18	0
DHCR24	6.25319971115247e-47	-3.4134781235668132	1	1	2.074624068169055e-42	0
APOC1	1.0683897880313407e-12	-3.397256542504654	1	1	3.544596799751579e-8	0
HSD3B2	1.2156662671816012e-37	-3.396787322617957	0.25	1	4.0332159746283986e-33	-0.75
NOV	1.3535561564132622e-33	-3.327188923035232	0.25	1	4.49069326013228e-29	-0.75
PEBP1	1.5027896077664937e-22	-3.2994852481775476	1	1	4.9858050816868964e-18	0
CYP21A2	3.3680307603236857e-35	-3.2626501993668335	0.5	1	1.1174115653525891e-30	-0.5
APOE	1.3630196049153838e-10	-3.262554263220516	1	1	4.522090143227769e-6	0
CYP11A1	6.51116648600702e-15	-3.203896419891318	0.5	1	2.160209705062549e-10	-0.5
SLIT2	8.033714969944367e-8	-3.1286162271536355	1	1	0.0026653456155784428	0
RALYL	4.261442595614489e-24	-3.1170777457287757	1	1	1.4138188099470192e-19	0
ABCC3	3.8673937313915376e-20	-2.9753914803221537	1	1	1.2830852182637704e-15	0
GSTA1	2.5885380808540277e-30	-2.8238117156678184	0.5	1	8.587992790849408e-26	-0.5
FBXL7	9.264214506397171e-17	-2.8113541366917625	1	1	3.0735884467873896e-12	0
RIMS2	3.6691728529983036e-9	-2.799618231377596	1	1	1.2173214774392473e-4	0
IGHG1	4.0087258058545594e-7	2.7775686351119058	1	0.75	0.013299749606083672	0.25
SORBS2	4.9553566870422937e-23	-2.7522963220252255	1	1	1.6440386880600217e-18	0
IGHM	1.3185644089808216e-13	2.730240090343194	1	0.25	4.3746011396756715e-9	0.75
AKR1B1	4.7342427844594517e-26	-2.728253186538197	1	1	1.5706797286001122e-21	0
CLU	1.824404360342161e-39	-2.6767646990411107	1	1	6.052826346307187e-35	0
FDX1	2.3316239216222266e-21	-2.609413107065498	1	1	7.735628684766061e-17	0
IGLC2	2.1717018240864338e-8	2.58566876832238	1	0.5	7.205055141771561e-4	0.5
TBX3	4.5228222495815726e-41	-2.5400265730959632	0.5	1	1.5005367377436784e-36	-0.5
BACH2	1.85357836078133e-12	2.5272748479023726	1	1	6.149616927564219e-8	0
