gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
HBB	3.4254069131892596e-17	7.480631137127391	1	1	1.131240633080753e-12	0
HBA2	1.923870890170238e-11	7.151785916253048	1	0.333	6.353583614787211e-7	0.667
CA1	7.9500852166341e-72	6.699086305899104	1	1	2.6255156427934116e-67	0
HBA1	2.3655494656521918e-32	6.556621862678013	1	0.667	7.812227110316363e-28	0.33299999999999996
SLC4A1	3.5196540138247765e-40	6.2312204702456295	1	0.667	1.1623657380656324e-35	0.33299999999999996
ANK1	6.945027977166504e-78	6.112030989329696	1	0.667	2.293595489459238e-73	0.33299999999999996
CYP11B1	9.704746537894124e-16	-5.468158083596325	0	1	3.2049925441395347e-11	-1
TFRC	3.4619578692824086e-69	5.277125035094928	1	1	1.1433115863305155e-64	0
SLC25A21	6.944369905542683e-74	5.145915154093242	1	1	2.293378161305471e-69	0
SPTA1	6.250209391337965e-16	5.086716828812602	1	0.667	2.064131651489363e-11	0.33299999999999996
PKHD1L1	1.7396086435879051e-22	-5.0365703374174435	0.667	1	5.7450575454490565e-18	-0.33299999999999996
CCL21	4.113519875785664e-14	-4.936117102285153	0	1	1.3584899389782155e-9	-1
CA2	2.1694932206931276e-24	4.702880190901521	1	0.667	7.164751361339054e-20	0.33299999999999996
CYP17A1	2.5024369822452676e-13	-4.668071506093005	0	1	8.264298133864995e-9	-1
SPTB	4.0838415016788704e-48	4.665224954268209	1	1	1.348688655929447e-43	0
PGM5	3.6497503048909273e-13	-4.584149310238106	0	1	1.2053300381902288e-8	-1
MMRN1	2.3296715857958103e-18	-4.533716775755776	0.333	1	7.693740412090664e-14	-0.667
FBXL7	6.146759274244339e-27	-4.530850726580679	1	1	2.029967250319193e-22	0
SOX6	3.771858082974824e-47	4.491657800776769	1	1	1.2456561319024357e-42	0
PPFIBP1	5.819210169367283e-27	-4.351227095380733	1	1	1.9217941584335454e-22	0
HBM	2.0732717533039988e-17	4.318316968265374	1	0	6.846979965286456e-13	1
STOX2	2.6274498367249267e-22	-4.296085302009604	1	1	8.67715308578407e-18	0
TFR2	1.730174586830567e-41	4.243921677689344	1	1	5.713901573007947e-37	0
ITGA9	5.2188343235875805e-24	-4.237487389241813	1	1	1.7235200353647984e-19	0
TIMP3	1.8014010040476956e-30	-4.20980991328861	1	1	5.949126815867514e-26	0
IGKC	2.3031688964526735e-27	4.199704203926238	1	1	7.606215280534954e-23	0
RALYL	3.621158161831599e-15	-4.131155960974761	0.667	1	1.1958874829448855e-10	-0.33299999999999996
CR1L	5.338367649262927e-37	4.130957693575544	1	1	1.7629959161690816e-32	0
GML	4.6220944689811146e-10	-4.123353342218402	0.333	1	1.526446698381013e-5	-0.667
KEL	1.006153314908231e-15	4.1176580071768605	1	0.333	3.322821322484433e-11	0.667
GYPB	4.032983120665177e-15	4.1059437593008115	1	0.333	1.3318926755996747e-10	0.667
TBX1	1.0156217357667057e-11	-4.099564398874554	0	1	3.3540907823695456e-7	-1
SEMA3A	9.58167845941433e-13	-4.040173162883638	0.667	1	3.164349311221583e-8	-0.33299999999999996
AC007319.1	5.991223160917655e-25	-4.016997348594142	1	1	1.9786014488930555e-20	0
SLC25A37	4.203565710261934e-59	3.9439393080053775	1	1	1.3882275758140036e-54	0
PRKG1	1.0019892951923052e-26	-3.919913733777046	1	1	3.3090696473725878e-22	0
ALAS2	2.0935187706470005e-17	3.9063121347703205	1	0.333	6.913845740061719e-13	0.667
SORBS2	6.089206828883126e-20	-3.8897803432288303	1	1	2.0109605552386523e-15	0
MEG3	1.2349543244401135e-14	-3.870132881654928	0.667	1	4.0784366564634745e-10	-0.33299999999999996
RIMS2	1.7003510046186922e-11	-3.860643103546975	1	1	5.615409192753231e-7	0
MBOAT2	1.4759955079283669e-37	3.8557012257961016	1	1	4.8744751649334314e-33	0
IGFBP7	2.2288281164855537e-19	-3.8531791662431156	1	1	7.360704854693542e-15	0
KALRN	2.417657542817136e-29	-3.8360245533177793	1	1	7.984314035153591e-25	0
BLVRB	4.97914072463778e-39	3.816079234427609	1	1	1.6443612243116268e-34	0
MEIS2	1.7921159285057457e-9	-3.8131659527382373	0.333	1	5.918462853890225e-5	-0.667
C17orf99	2.130678665870852e-16	3.80229867246892	1	0.667	7.036566294038488e-12	0.33299999999999996
GYPA	3.299949214421919e-14	3.791207050975648	1	0.333	1.089808228062839e-9	0.667
IGHM	7.909432392731061e-7	3.7770572072834097	1	0.333	0.026120900476994332	0.667
PCDH15	6.5372972939774024e-15	-3.7698074073176007	0.667	1	2.1589424313360372e-10	-0.33299999999999996
AC024267.1	1.0010122716223155e-6	3.7220287233962868	1	0	0.03305843027032697	1
EPB41	1.806677408230962e-43	3.697730004328798	1	1	5.966552140682753e-39	0
ITGA4	2.6322219311292308e-31	3.689977875812515	1	1	8.692912927554284e-27	0
LTBP1	2.612318372599827e-33	3.681724734083327	1	1	8.627181425510929e-29	0
AC100835.2	2.537336468431616e-14	3.6737673231625334	1	0.333	8.379553686995412e-10	0.667
EFNA5	6.694207123303762e-19	-3.6440529884782737	1	1	2.2107619024710676e-14	0
GRAMD1B	1.1165009951792323e-17	-3.624662536051452	1	1	3.6872445365794147e-13	0
SCARB1	2.1160361689506843e-22	-3.61445639915648	1	1	6.988209447959635e-18	0
ZFPM2	8.239906388321229e-21	-3.609804091256963	0.667	1	2.721229084743086e-16	-0.33299999999999996
IKZF1	4.992263287574424e-33	3.6012957337809723	1	1	1.6486949507214534e-28	0
NRP2	6.406830379952689e-11	-3.5991964562339236	0.667	1	2.1158557329793758e-6	-0.33299999999999996
SLIT2	2.2627952447764834e-10	-3.5816952624794833	1	1	7.472881295874337e-6	0
EPB42	1.1186999029633755e-13	3.5750779426258372	1	0.333	3.6945064295365476e-9	0.667
RGS6	2.6167374666469555e-28	3.555246398753861	1	1	8.64177548360157e-24	0
FLRT2	2.4461084015587526e-17	-3.535695125654311	0.667	1	8.07827299614778e-13	-0.33299999999999996
ABCC3	5.225395115770683e-15	-3.52331347637322	1	1	1.7256867369832682e-10	0
DHCR24	7.338758245316915e-10	-3.5210117845389015	0	1	2.423624910515911e-5	-1
SEMA6A	1.022382194413035e-8	-3.512641657366192	0.333	1	3.376417197049048e-4	-0.667
FAM117A	5.2011574886863664e-36	3.510245828553371	1	1	1.7176822606386725e-31	0
ZBTB7C	7.4063655501656e-12	-3.495861450849385	0.667	1	2.4459522229421894e-7	-0.33299999999999996
SPECC1	4.2077519497103443e-42	3.4956565634571444	1	1	1.3896100813918413e-37	0
HIF3A	1.632278926429201e-10	-3.490003418542978	0.667	1	5.390601154532436e-6	-0.33299999999999996
ABCB10	3.205569404317214e-38	3.464039915768198	1	1	1.05863929577576e-33	0
SHC1	3.916413461955254e-16	-3.452549226774079	1	1	1.2933955458107226e-11	0
RHAG	4.5652836100688106e-10	3.431956347668134	1	0.667	1.5076849122252247e-5	0.33299999999999996
PALD1	2.006980132039628e-8	-3.4118048097111067	0.333	1	6.628051886060872e-4	-0.667
LINC02147	1.0638507320221785e-8	-3.396764198293633	0.667	1	3.5133670425032445e-4	-0.33299999999999996
DLG2	4.086945516395527e-21	-3.3923701491169895	0.667	1	1.3497137567896228e-16	-0.33299999999999996
CALCRL	4.140734192766178e-18	-3.391848944800573	1	1	1.3674774671610303e-13	0
HSD3B2	1.1661270614595696e-9	-3.384589620793776	0	1	3.851134620470229e-5	-1
DLGAP2	5.588740129794994e-15	-3.3808529327648733	0.667	1	1.8456814278647967e-10	-0.33299999999999996
TANGO2	4.31025468119536e-34	3.365155779830045	1	1	1.4234616084647676e-29	0
PTPRB	9.425244490134762e-10	-3.362230475690944	0	1	3.1126869928670054e-5	-1
SLC2A1	1.958502704870885e-22	3.359901759538504	1	0.667	6.467955182836098e-18	0.33299999999999996
CYP11A1	2.088332431077966e-9	-3.3538948563702933	0	1	6.896717853634983e-5	-1
TENM3	1.0530161535049039e-12	-3.3453032609603532	1	1	3.477585846949945e-8	0
SLC22A16	6.147223832853833e-13	3.3378126229444174	1	0.333	2.0301206707999785e-8	0.667
NR2F1-AS1	4.945384944482944e-15	-3.3350596309514047	0.667	1	1.6332133779154924e-10	-0.33299999999999996
HYAL2	1.851173573044455e-9	-3.3319586708239206	0	1	6.113500724979312e-5	-1
MT-ATP6	3.808442499469919e-18	-3.325637941832137	1	1	1.2577381354499408e-13	0
UNC5B	6.52906500961617e-7	-3.316600212333294	0.333	1	0.021562237194257403	-0.667
SEMA3D	2.1567547503173562e-8	-3.3089495786973018	0.667	1	7.122682562923069e-4	-0.33299999999999996
PIGQ	1.930832879360554e-22	3.2888932404752307	1	1	6.37657558408823e-18	0
