gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
AZU1	1.5383228639742154e-25	9.15029693741975	0.5	1	5.103693765807255e-21	-0.5
MPO	1.1285358578944052e-24	9.060723667708809	0.5	1	3.744143415736268e-20	-0.5
PRTN3	7.537312227228142e-37	7.5637289399422745	0.5	1	2.5006540776274805e-32	-0.5
CTSG	3.95460747984205e-9	6.871575899261555	0.5	0.5	1.3120201235871967e-4	0
ELANE	1.0269154942517603e-31	6.842987441990569	0.5	1	3.4069975352790655e-27	-0.5
SPN	1.9314838071983168e-23	5.253980995792972	1	1	6.408083827141855e-19	0
RETN	7.339056361407234e-15	5.052428253846884	0.5	0.75	2.434878729024078e-10	-0.25
CENPM	2.505478560711819e-20	5.033012178526034	0.5	1	8.312426220873602e-16	-0.5
RASAL3	1.4347192330369652e-11	4.870146327969562	0.5	1	4.7599679994467394e-7	-0.5
YWHAH	3.67238620282418e-8	4.848139599886154	0.5	1	0.0012183875705109781	-0.5
MCRIP1	3.529515248885763e-8	4.828553964187404	0.5	1	0.0011709872741228295	-0.5
PTPRC	2.3390876233394956e-7	4.588122548990262	1	1	0.0077603910079534445	0
DEFA4	2.195198094522796e-19	4.51879372086496	0.5	0.5	7.28300871819828e-15	0
SIRPB1	5.855909092949778e-10	4.4848331762862585	0.5	1	1.9428149597679477e-5	-0.5
CST7	5.424241563594016e-10	4.472926604604717	0.5	1	1.7996006235535866e-5	-0.5
PTH2R	1.0796114758571753e-6	4.315930694403746	0.5	1	0.03581826993451351	-0.5
ATP1A2	6.81206992091644e-9	4.239517398579513	1	1	2.2600404376624472e-4	0
AC096667.1	4.766188772347613e-12	3.639537454195086	0.5	0.5	1.5812784490017674e-7	0
IGHG2	1.1491809104546181e-9	3.6360642798065372	0.5	0.75	3.8126375066152866e-5	-0.25
KLRC3	1.5980261600471637e-9	3.6347262532085685	0.5	0.75	5.301771391188475e-5	-0.25
AC005005.3	1.0512678315226401e-8	3.632686233480804	0.5	1	3.487791284642663e-4	-0.5
AL133467.1	4.8155111398554183e-8	3.625641468253211	0.5	1	0.0015976421308698321	-0.5
GLYATL2	6.00445414559182e-8	3.6254374910546785	0.5	1	0.001992097751882998	-0.5
S1PR4	8.384661331396329e-8	3.6242422699405434	0.5	1	0.0027817790899173603	-0.5
AC091826.2	8.057479314637019e-8	3.6235308873333656	0.5	1	0.0026732299122171235	-0.5
CHST2	1.065662563164668e-6	3.6205687051831363	0.5	1	0.03535548685811419	-0.5
KIF19	1.1094444389015136e-6	3.6149934646734416	0.5	1	0.03680803814943552	-0.5
MLC1	1.215317962941206e-6	3.614769868469219	0.5	1	0.04032060405650039	-0.5
LRG1	1.23266855735759e-6	3.611383230595804	0.5	1	0.04089624472745276	-0.5
TSPEAR-AS2	2.789084022153067e-9	3.143962449813513	0.5	1	9.25334406029723e-5	-0.5
NRGN	6.39934677634666e-8	3.137617305745558	0.5	1	0.0021231112799885315	-0.5
AC117377.1	5.470435684766184e-7	3.129428098408291	0.5	1	0.01814926447134877	-0.5
LRMDA	1.4977735666279515e-7	-1.650874283062465	0.5	1	0.004969163362001555	-0.5
MALAT1	7.584271281327724e-7	-1.6239230633317412	1	1	0.02516233683006099	0
NEAT1	1.7816219823264254e-9	-1.1077831463148033	1	1	5.9108872507643816e-5	0
PRAMEF18	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
CDCP2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL390243.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL844170.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
NBPF6	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC245008.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
VHLL	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
CD1A	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL831711.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC01699	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
MYOG	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC105398.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC01820	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC01628	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
TRIM43	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC068057.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC114776.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC012508.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
CRYGC	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC012462.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AQP12A	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
RTP3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC016968.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC107294.3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
HTN3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
CSN3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC097478.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC093277.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
PCDHA2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
PCDHA7	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC026688.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC034199.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL022725.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL121970.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL445123.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL353747.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC004994.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
NPVF	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC011124.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC009686.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AP003469.3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL365204.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL353780.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC02247	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
PKP3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
OR52N5	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
OR52N2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
RBMXL2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
PGA4	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AP003559.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AP002856.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC112481.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
ASCL4	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC02376	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC026336.3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC02415	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC00353	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
GPC5-AS2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC00391	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL355974.3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
TRAV13-1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
TRAV13-2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL591770.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
SIX6	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL390816.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL390816.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL133167.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
POTEB	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
GOLGA8F	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
C15orf54	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
BMF-AS1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC048383.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AGBL1-AS1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC009134.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC026471.5	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC092130.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC092139.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC134312.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC129492.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC013248.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC004253.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC015936.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC01977	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AP001269.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC100775.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC103808.6	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
SALL3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
RLN3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC008992.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC008738.6	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC010485.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
FFAR3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
FGF21	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL158042.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
NKX2-2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL110503.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL035665.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL355803.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC01674	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AC007731.3	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
IGLV6-57	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
LINC02557	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
AL606748.1	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
GAGE12J	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
GAGE2E	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
CDX4	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
RTL4	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
OPN1MW	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
OR4F5	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
BX005132.2	9.05761536279699e-10	0.9996878594304364	0	0.25	3.0050450489151572e-5	-0.25
