gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
FLJ33534	5.1674957963957645e-14	5.079848354469113	0.5	1	1.7065654867597013e-9	-0.5
PTPRT	5.320337448077004e-7	4.332009125609176	0.5	1	0.017570414422274305	-0.5
RIPOR2	8.301598645617874e-10	4.308435160373017	1	1	2.7416029527153027e-5	0
PTPRC	6.027912314823794e-10	4.300965476072508	1	1	1.9907180419705578e-5	0
GFI1	1.498979454963048e-16	4.168022823677454	0.5	1	4.950379650015466e-12	-0.5
ARMC3	9.691121765213915e-12	4.140587904243941	0.5	1	3.200492962961895e-7	-0.5
RAB27B	2.0126289609847562e-11	4.139034345628122	0.5	1	6.646707143652158e-7	-0.5
PAX7	1.979475944245237e-11	4.132304218506383	0.5	1	6.537219305869895e-7	-0.5
TRPM1	6.64200206010253e-11	4.1255890643464515	0.5	1	2.1935211803488603e-6	-0.5
PPP2R2B	1.4182021821770907e-7	4.125081141012559	0.5	1	0.004683612706639842	-0.5
AC009053.3	9.67858691143031e-11	4.121633757348101	0.5	1	3.1963533274998598e-6	-0.5
AL136018.1	3.420653736163083e-9	4.103574893284074	0.5	1	1.1296708963678582e-4	-0.5
CEP19	3.892001537983968e-8	4.068540843204689	0.5	1	0.0012853335079192054	-0.5
LINC00294	2.0286193665602626e-7	4.049652605627244	0.5	1	0.006699515458065268	-0.5
TNR	3.772221853238845e-7	4.031803733573863	0.5	1	0.012457762670321285	-0.5
SAMD12-AS1	1.4009848013121001e-6	4.031360199736605	0.5	1	0.04626752306333211	-0.5
MAD2L2	1.3644090136737175e-6	3.3725845376352406	0.5	1	0.04505960767657452	-0.5
LINC02543	4.4359249153956825e-10	3.2902539013873575	0.5	1	1.464964203309424e-5	-0.5
FUT5	7.375056080582855e-10	3.2898730779738523	0.5	0.667	2.435612270612488e-5	-0.16700000000000004
AC110741.1	7.250479402678278e-10	3.2895091958065503	0.5	1	2.3944708227345012e-5	-0.5
LINC01224	7.605991103344559e-10	3.2893377370932173	0.5	1	2.5118785618795406e-5	-0.5
AC113378.1	1.2354605197741191e-9	3.289096159822315	0.5	1	4.080108366554029e-5	-0.5
GOLT1A	1.2043364574138557e-9	3.28864678777387	0.5	1	3.977321150609259e-5	-0.5
AC145350.2	1.4492666919668409e-8	3.2851969962185033	0.5	1	0.00047862032502204917	-0.5
TNF	2.12284107819145e-8	3.2845934669996564	0.5	1	7.010682660727264e-4	-0.5
SPINK2	1.472546004729396e-8	3.2840923774183226	0.5	1	4.86308318061883e-4	-0.5
C20orf197	4.336427196764914e-8	3.2819427467284155	0.5	1	0.001432105081731613	-0.5
CXCL14	7.543825678014358e-8	3.2812345500805327	0.5	1	0.002491348430164242	-0.5
LINC00348	6.823683123890894e-8	3.2801537231062587	0.5	1	0.0022535213516649676	-0.5
N4BP3	6.852930818745208e-8	3.280068545334743	0.5	1	0.002263180402890605	-0.5
AC013356.3	1.0287883402926618e-7	3.2797433564992047	0.5	1	0.0033975734938165155	-0.5
LINC02309	1.0433836466824485e-7	3.2788505572242315	0.5	1	0.003445774493168786	-0.5
LINC01996	1.163084104801511e-7	3.2787809180073944	0.5	1	0.00384108525610699	-0.5
MDFIC2	1.923299984557658e-7	3.2763802635834676	0.5	1	0.006351698199001665	-0.5
JRKL-AS1	2.3065004904621497e-7	3.2756954907305493	0.5	1	0.007617217869751249	-0.5
AC090993.1	3.5792555149201384e-7	3.274428424404741	0.5	1	0.011820491338023757	-0.5
AL512271.1	5.034675773917067e-7	3.2740724309271236	0.5	1	0.016627016743361114	-0.5
AC021192.1	4.902726694336395e-7	3.273113766895314	0.5	1	0.016191254908045946	-0.5
SPACA3	7.888643751329363e-7	3.2726693448224946	0.5	1	0.026052245988765224	-0.5
AC092546.1	8.50307053769255e-7	3.271424322347391	0.5	1	0.028081390450729646	-0.5
CKAP2L	1.2128607125472884e-6	3.26971624001571	0.5	1	0.0400547250318742	-0.5
NRGN	7.031375864939748e-9	2.729630459289356	0.5	1	2.3221118793963517e-4	-0.5
TSPEAR-AS2	5.848076248037665e-9	2.7294916974774144	0.5	1	1.9313271809144389e-4	-0.5
AC117377.1	3.520758124211584e-8	2.725493588501265	0.5	1	0.0011627303705208755	-0.5
NEAT1	3.0582006920571283e-9	-1.3908895663683705	1	1	1.0099707785518666e-4	0
MALAT1	1.2864054649437845e-9	-1.1418149819688477	1	1	4.2483540479768484e-5	0
