gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
LAMA2	2.3088824584667992e-8	-5.032441412596822	1	1	7.625084319086604e-4	0
CYP11B1	3.187390896288349e-35	-4.674563519600742	0.333	1	1.0526358434992273e-30	-0.667
CYP17A1	7.713940392144436e-36	-4.105945552705956	0.667	1	2.5475288145057e-31	-0.33299999999999996
PCDH15	2.6729475015290365e-14	-3.913069193432743	1	1	8.827409123799643e-10	0
SCARB1	2.7262293339478363e-14	-3.7464117610777508	1	1	9.00337237536273e-10	0
GML	1.9743905635097572e-45	-3.712718290084849	0.667	1	6.520424835990973e-41	-0.33299999999999996
RIMS2	6.463002661600801e-15	-3.7068053465130038	1	1	2.1344066289936646e-10	0
MEG3	3.8664776077487314e-31	-3.6324026501178857	1	1	1.2769042299590186e-26	0
SLIT2	5.1293662900459785e-52	-3.6303690121896923	1	1	1.6939732172876845e-47	0
IGF1	5.260916661240358e-9	-3.5212292625756767	1	1	1.7374177273746282e-4	0
RALYL	2.456216044037091e-30	-3.4864731917555796	1	1	8.111653485432493e-26	0
MT2A	5.0830550911851916e-21	-3.3742603988141844	1	1	1.6786789438639094e-16	0
LINC01807	1.6964816695064734e-43	-3.3740365761336637	1	1	5.602630713545128e-39	0
AL109930.1	1.9698799064880417e-26	-3.1725553251473197	1	1	6.505528391176758e-22	0
ABCC3	4.328433646067462e-7	-3.074628058129084	1	1	0.014294652116137794	0
RAI2	1.3372403433665804e-12	-3.0509922317264477	1	1	4.416236233968132e-8	0
ATRNL1	3.461741516351728e-15	-3.0256245234463113	1	1	1.1432401357751581e-10	0
PSD3	5.089249592954755e-39	-3.0158731475360203	1	1	1.6807246780733078e-34	0
AOX1	1.4426416752938133e-8	-2.9793984808525473	1	1	4.7643241326578183e-4	0
FOXP2	4.57010168530626e-16	-2.9370657319733544	1	1	1.5092760815723925e-11	0
CALN1	4.914808539732356e-10	-2.9105748775826052	1	1	1.6231155202466107e-5	0
PGM5	2.7436475079900296e-29	-2.8704131473281187	1	1	9.060895895137073e-25	0
SCD5	1.7476539241266653e-18	-2.8649384634491124	1	1	5.771627084428313e-14	0
CYP21A2	5.033029544613641e-21	-2.854133693335777	0.333	1	1.662158007108655e-16	-0.667
GRAMD1B	3.788143350868599e-18	-2.828194431837397	1	1	1.2510343416243546e-13	0
NRCAM	8.175260983826391e-9	-2.8232401277461605	1	1	2.699879939908666e-4	0
