gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	2.200912107010128e-45	-5.56341690367304	0.25	1	7.301966097427501e-41	-0.75
CYP17A1	1.0878360107495832e-31	-5.54055195556561	0.5	1	3.609113532863892e-27	-0.5
CNTNAP2	1.081592350041373e-21	5.248886064776174	1	1	3.588398939732264e-17	0
IGFBP6	3.877484361414409e-15	-5.125584166961361	1	1	1.2864329865864583e-10	0
C7	3.994884321976103e-13	-4.9659948183324225	1	1	1.3253827715020118e-8	0
STAR	6.039766518120585e-14	-4.462164948211318	0.5	1	2.0038133377168664e-9	-0.5
APOC1	1.322246123514956e-8	-4.245424407141895	1	1	4.3868159639855696e-4	0
GML	9.808133205015619e-49	-4.140385447325017	0.75	1	3.254044353428032e-44	-0.25
HHIP	7.684942675800808e-23	-4.040239108780924	1	1	2.5496334315504342e-18	0
SCARB1	2.00447575151545e-32	-3.9660677666436017	1	1	6.650249200802809e-28	0
AC007563.2	1.3863972202035055e-11	-3.942832902362072	1	1	4.5996500574691704e-7	0
DCN	1.670692778689853e-7	-3.9135376149244676	1	1	0.005542857431859326	0
PPARG	1.461345570444026e-20	3.8991747885623638	1	1	4.848306199062145e-16	0
PEBP1	2.910322938613895e-14	-3.868103359905225	1	1	9.65557841343932e-10	0
NR2F1	2.423586106905984e-35	-3.861652950879485	1	1	8.040731626881983e-31	0
MT2A	9.207470113405279e-7	-3.86053552574775	1	1	0.030547623595244693	0
HSD3B2	1.8138995912589292e-29	-3.8288798386777243	0.75	1	6.01797467391975e-25	-0.25
TNXB	2.6415565466156884e-20	-3.826773955752272	1	1	8.763892154706869e-16	0
DHCR24	1.0079330069903403e-14	-3.7995338555318767	1	1	3.344019337291852e-10	0
RARRES2	1.0223806550089499e-12	-3.7283863164155813	1	1	3.391952299123193e-8	0
NCKAP5	4.273024239195088e-17	3.6571259477060503	1	1	1.4176612518377544e-12	0
NRXN3	5.125285155146601e-10	3.6489065504222777	1	1	1.700415855922988e-5	0
AKR1B1	1.0310500122154127e-13	-3.6271092475636664	1	1	3.4207146255270746e-9	0
MT-CO3	4.483922369745304e-10	-3.6230137897638715	1	1	1.4876309246103995e-5	0
CLU	9.207998205659065e-34	-3.571507893346821	1	1	3.054937564691508e-29	0
CYP21A2	2.0809713788512903e-24	-3.543541302297622	0.75	1	6.904038743614926e-20	-0.25
LINC01725	2.9987682971283014e-11	3.530110221304726	1	0.5	9.949013579382566e-7	0.5
RALYL	3.419846147150206e-14	-3.4999562403307456	1	1	1.1346023562400238e-9	0
CYP11A1	1.0777194320961077e-19	-3.4923625355536285	0.75	1	3.5755497598652566e-15	-0.25
IGFBP5	3.63405638036058e-7	-3.4715416571913016	1	1	0.012056708853122296	0
EBF3	4.2705733843360814e-9	3.433905395575984	1	0.75	1.4168481317211818e-4	0.25
RIMS2	7.554828552197098e-14	-3.4129086492341973	1	1	2.506465468762431e-9	0
NOV	8.223710505071086e-30	-3.3996650505397144	0.5	1	2.728380434267434e-25	-0.5
CPE	3.4818947657544356e-20	-3.3804318995704885	1	1	1.1551882264343492e-15	0
VEGFC	4.655680180593349e-10	3.353017695162201	1	0.25	1.5446150135154554e-5	0.75
MT-CO1	3.9334517733014806e-14	-3.346011664409127	1	1	1.3050012948282322e-9	0
NPR3	4.2984059770477767e-10	3.3350975758600354	1	0.5	1.426082151005141e-5	0.5
ANGPT1	6.607544097272873e-11	3.3002652552903466	1	1	2.192184905152221e-6	0
LEPR	4.687129934847542e-12	3.2792927853562732	1	1	1.555049098484369e-7	0
TRABD2B	1.8972727406348576e-18	3.2654362012047553	1	1	6.294581771604267e-14	0
EYA1	1.1765813126502248e-9	3.262704264188565	1	0.75	3.903543820979651e-5	0.25
MT-ATP6	8.944690031408606e-10	-3.2502724589864735	1	1	2.9675798117204334e-5	0
MT-ND4	2.939376039683031e-8	-3.201520308780776	1	1	9.751967886856393e-4	0
EDIL3	2.1768556464738116e-20	3.177573306689775	1	1	7.222153978306165e-16	0
RUNX1	2.1543714127052465e-12	3.1773976542978044	1	1	7.147558035932196e-8	0
LSAMP	2.2588906319101618e-13	-3.1737726195187	1	1	7.494321449488344e-9	0
PRKCH	1.4814311892547205e-10	3.1700272025676095	1	1	4.914944256590386e-6	0
ADAMTS17	2.531804496729321e-10	3.1483672087530046	1	1	8.399767778798868e-6	0
MT-CO2	5.2268042576260145e-9	-3.108723185128449	1	1	1.7340968485525827e-4	0
MT-ND1	4.367999302958029e-8	-3.0754761221363762	1	1	0.0014491711287423852	0
ADAMTSL2	6.780867864981393e-17	-3.067129938499408	1	1	2.2496885315648768e-12	0
ABCC3	4.3215764512735374e-16	-3.0600375835188602	1	1	1.4337694192390216e-11	0
A2M	9.873768671910807e-8	-3.0430959806802216	1	1	0.0032758202322798486	0
ANK3	1.5853548253457104e-14	3.0349489089680723	1	1	5.259731704049463e-10	0
IGKC	3.6409454740247486e-7	3.0308387366829237	1	1	0.012079564799171908	0
GSTA1	4.121583801625486e-10	-3.017412032488182	0.5	1	1.3674178578652876e-5	-0.5
MYO6	4.821090374442148e-20	3.005795803422314	1	1	1.5994931535286714e-15	0
PDE1C	1.9565213564003983e-15	2.9998642946043135	1	1	6.491150904129602e-11	0
PDZRN4	5.860476248706952e-9	2.9735092854457688	1	1	1.9443302050335055e-4	0
PDE10A	5.43844225112982e-17	-2.9712548936143497	1	1	1.8043119856573404e-12	0
ITGBL1	2.225793142561668e-8	2.965627693524261	1	1	7.384513909076846e-4	0
IGHA1	1.1507422240154866e-6	2.9477197764642082	1	0	0.0381781747661618	1
MT-CYB	6.558435040520076e-10	-2.925385103724677	1	1	2.1758919933933457e-5	0
ZFPM2	6.344465704017376e-8	-2.9237639898665786	1	1	0.0021049033866218448	0
FDX1	5.407002977544383e-11	-2.9182157815273206	1	1	1.7938813778599e-6	0
FADS2	5.2440895683844665e-21	-2.9128394311695027	1	1	1.7398315961029144e-16	0
CHSY3	9.709132623491673e-16	2.893216249493168	1	1	3.221198930495832e-11	0
TMEM108	7.850889437843665e-12	2.8899182354978485	1	1	2.604689588793393e-7	0
DACH1	8.59970050062996e-11	-2.8858949224346855	1	1	2.853122635094002e-6	0
PTH1R	2.505612546472891e-7	-2.874626723358492	1	1	0.008312870745433111	0
CEMIP2	5.5491052654275324e-12	2.855253139767706	1	1	1.8410266539108924e-7	0
GRAMD1B	3.054733951444278e-27	-2.843853289815902	1	1	1.0134690830706681e-22	0
RPL37	4.3167386428665923e-7	-2.8315997625901854	1	1	0.014321643795438493	0
PCDH15	2.2572681624298138e-9	-2.8291912115309557	1	1	7.488938582493393e-5	0
AC113383.1	3.3498169193741146e-12	2.811474080699938	1	0.25	1.11136875934075e-7	0.75
SEMA3B	6.10456683851822e-26	-2.807748149314435	1	1	2.02531214001519e-21	0
RPL7A	3.7780024308470127e-10	-2.793994696792515	1	1	1.2534278664821133e-5	0
ALAS1	6.926192859402767e-21	-2.79351429121008	1	1	2.297903004964056e-16	0
ANO3	8.462329463417607e-12	2.787623820961535	1	1	2.8075470460780595e-7	0
