gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
LINC02388	1.700561754548515e-53	-4.984337482037679	1	1	5.6161051943964705e-49	0
CYP11B1	1.918697323636332e-43	-4.976666548607138	0.333	1	6.336497911308986e-39	-0.667
LEPR	7.37969988927209e-83	4.936024091963414	1	1	2.4371458884321077e-78	0
CNTNAP2	3.0168662574634813e-34	4.553516660570888	1	1	9.963200815273147e-30	0
EYA1	9.66732222472243e-81	4.452405143433211	1	1	3.192633164714582e-76	0
EBF3	6.681567501613657e-10	4.366385316907861	1	1	2.20658766740791e-5	0
ADAMTSL2	2.319414104620444e-60	-4.340032686639517	1	1	7.6598650805090165e-56	0
PDZRN4	2.10834575898443e-43	4.313919107893687	1	1	6.962811869046081e-39	0
LSAMP	4.2824408542169534e-41	-4.2795770304574114	1	1	1.4142760921051489e-36	0
PTH1R	4.20245361298037e-34	-4.258154595307401	1	1	1.387860305686767e-29	0
CYP17A1	1.1985249640625762e-72	-4.212702133952518	0.667	1	3.958128693816658e-68	-0.33299999999999996
DCLK1	5.833929416928585e-31	4.070877183295946	1	1	1.9266551899406652e-26	0
SCARB1	8.560465542590211e-44	-4.063283953476844	1	1	2.8270937454404174e-39	0
NRXN3	2.3101926228854842e-27	3.949744089206553	1	1	7.629411137079312e-23	0
GML	3.5969011961843636e-59	-3.80815727500646	0.667	1	1.187876620039886e-54	-0.33299999999999996
CXCL12	1.1184927549669067e-26	3.774611600966061	1	1	3.693822323278209e-22	0
RALYL	2.1368138813804399e-47	-3.773882800859298	1	1	7.0568278432589026e-43	0
C7	9.809646593126028e-28	-3.7620484936593237	1	1	3.239635787379871e-23	0
ZFPM2	4.698025902530038e-36	-3.6805629539791243	1	1	1.551523054310545e-31	0
ITGBL1	1.7177578566390316e-22	3.6720754102416127	1	1	5.672895321550402e-18	0
DACH1	5.270337274610196e-13	-3.625073491144601	1	1	1.740528884940017e-8	0
OLFML2B	3.521503817824583e-15	3.57006800414638	1	1	1.1629766358365685e-10	0
AC092691.1	2.8323024664950283e-64	-3.55343690082424	1	1	9.353678895599832e-60	0
CFD	9.319513792845002e-10	3.5496021520617704	1	1	3.0777694300870615e-5	0
FLVCR2	5.078219526052825e-35	-3.5467483717716295	1	1	1.6770819984789454e-30	0
COL4A4	6.035727002254286e-45	-3.5107437631795344	1	1	1.993298842494478e-40	0
GUCY1A2	1.155503115930626e-56	-3.5060440193427302	1	1	3.8160490403608925e-52	0
RIMS2	4.0662494422878155e-12	-3.478478222387259	1	1	1.3428788783155512e-7	0
RGS6	3.6693007475416886e-26	3.468412849117468	1	1	1.2117865718756427e-21	0
RXFP1	1.3047125107931008e-52	-3.4327847673846428	1	1	4.3088130668942154e-48	0
COL11A1	8.568755582195977e-51	3.430658980653682	1	1	2.8298315310202214e-46	0
DCDC1	6.898465167736531e-39	3.363066079235157	1	1	2.2782181216449895e-34	0
PPARG	2.313848136694406e-25	3.354537556355373	1	1	7.641483471433275e-21	0
KCNIP1	9.762544871096903e-11	-3.296200066288779	1	1	3.224080443679752e-6	0
NFASC	1.1581093641587698e-23	-3.285265779154706	1	1	3.8246561751343375e-19	0
PRPS2	3.468290372847551e-38	-3.24233731023648	1	1	1.1454028956329038e-33	0
ABCC3	4.4681043368301017e-41	-3.215802842155358	1	1	1.475591457238141e-36	0
RAPGEF5	1.917974355365555e-51	-3.189326304433328	1	1	6.334110308594746e-47	0
ZBTB7C	1.7289484624487594e-33	-3.1627235585792945	1	1	5.709852297237028e-29	0
AC020637.1	7.2740166738806225e-12	-3.16154781379092	1	1	2.4022440065490755e-7	0
RUNX1	1.583879875746185e-27	3.1499077371389905	1	1	5.230763289651776e-23	0
GRAMD1B	4.897051484625632e-30	-3.1430391558038715	1	1	1.617251252797615e-25	0
RSPO1	2.3699712543570466e-31	3.129080820032522	1	1	7.826830067514146e-27	0
PLCXD3	1.3236668147876819e-18	-3.1077765877387273	1	1	4.3714096558363194e-14	0
PCDH15	2.120297248010614e-21	-3.0942037892345966	1	1	7.002281661555053e-17	0
VCAM1	2.6615825849566373e-33	3.0871743325973604	1	1	8.789876486819294e-29	0
NPR3	4.67615928679384e-10	3.07793926983796	1	1	1.5443016044636656e-5	0
MRPS6	4.076791510725569e-18	3.06688557883426	1	1	1.346360396417119e-13	0
MEIS1	3.7419501368544e-30	-3.0480283503056893	1	1	1.2357790326961655e-25	0
KIAA1217	3.0404051042970405e-29	-3.0403963902197706	1	1	1.0040937856940976e-24	0
LPL	2.26842187733743e-9	3.0049556268949633	1	1	7.491463249906863e-5	0
PRKCH	1.4318486455438114e-33	2.997363558109376	1	1	4.728680151908437e-29	0
COL1A1	2.491668467736993e-18	2.991262940896298	1	1	8.228735114701419e-14	0
NR1H4	2.8334056311924638e-9	-2.9774394709891876	1	1	9.357322097013112e-5	0
SLIT2	2.23670887276655e-25	-2.9768653013482624	1	1	7.38673105231153e-21	0
PCDH9	1.7513173814226904e-33	-2.961573066238356	1	1	5.783725652148436e-29	0
LAMC3	1.2850477861012372e-7	-2.9556138895384922	1	1	0.004243870313599336	0
SLC5A3	3.963209269033599e-31	2.9424378542511445	1	1	1.308849861098346e-26	0
AC139491.7	1.3743766148868862e-10	-2.903937560435824	0.667	1	4.538878770663941e-6	-0.33299999999999996
PCSK5	1.2097020052991227e-16	2.902136534028454	1	1	3.995040872500353e-12	0
AC099066.2	5.721276400514581e-81	2.8814708007394643	1	1	1.8894515312699406e-76	0
STEAP4	3.867044288033321e-7	-2.868587395111967	1	1	0.012770913761230043	0
MYO6	1.312918343925029e-45	2.8653754945340797	1	1	4.335912830812408e-41	0
IGF2	2.506604450531238e-16	2.861140964247332	1	1	8.278061197879414e-12	0
NTRK2	1.8723004174262814e-77	2.854324257272732	1	1	6.183272128550294e-73	0
COL4A3	7.567966002218942e-43	-2.853151044139927	1	1	2.4993207722328053e-38	0
NECAB1	5.135927966585371e-32	2.8397551875925444	1	1	1.6961402109648188e-27	0
PRKG1	4.000946220348515e-22	-2.8307940556434064	1	1	1.3213124892700971e-17	0
TRERF1	3.0009560302379535e-26	-2.8153469377970706	1	1	9.910657289860842e-22	0
ADAMTS12	1.0155524685026867e-46	-2.811985998957748	1	1	3.353862027230123e-42	0
HSD3B2	1.8395533833208189e-41	-2.8066848806070026	0.667	1	6.075125048417005e-37	-0.33299999999999996
AL109930.1	5.963857344363548e-22	-2.796360349678536	1	1	1.969563887976062e-17	0
EDIL3	9.670402573924333e-42	2.752608249534487	1	1	3.193650450038511e-37	0
HHIP	1.0160735398626923e-52	-2.7496411426567366	1	1	3.3555828653965414e-48	0
CYP11A1	2.627857731693236e-37	-2.7050435326942743	1	1	8.678500158916912e-33	0
MEG3	7.303305876402638e-24	-2.694694246597638	1	1	2.411916765681971e-19	0
ANKS1A	6.183565221806583e-22	-2.6831073110736163	1	1	2.042122414501624e-17	0
PDE10A	7.590571780314097e-25	-2.6767076402972734	1	1	2.5067863304487306e-20	0
CHRDL1	3.0772994386998454e-46	2.6757511806808636	1	1	1.0162781396306239e-41	0
WDR63	9.173770939416115e-9	-2.66677680741814	1	1	3.029637852742172e-4	0
TENM3	1.9277900489370848e-24	-2.666365732162785	1	1	6.366526636614722e-20	0
ANGPT1	5.06652161725151e-23	2.6525286444456393	1	1	1.673218764097311e-18	0
STAR	1.26851687658974e-35	-2.651676120553626	0.333	1	4.189276984937616e-31	-0.667
MT-CO1	4.171280223965427e-15	-2.6502971126801462	1	1	1.3775652939645824e-10	0
NR2F1	8.008262918650082e-37	-2.6408440370037125	1	1	2.6447288288841893e-32	0
DYNC1I1	1.3600308169242685e-38	2.6363421498148356	1	1	4.491501772892397e-34	0
VCAN	9.92947108509906e-12	2.634609838552671	1	1	3.2792078258539645e-7	0
PLA2G4A	9.581643142488327e-21	-2.6271655328309804	1	1	3.16433764780677e-16	0
SCN7A	2.6743052348319552e-55	-2.6131286188996974	1	1	8.831893038032532e-51	0
TSHZ2	2.3426394133361412e-11	-2.612950029407492	1	1	7.736566662542606e-7	0
COL1A2	2.4655055345413035e-13	2.6097510354233178	1	1	8.142332027822654e-9	0
VEGFC	1.814755900119559e-42	2.609420740729262	1	1	5.993231360144844e-38	0
TRABD2B	1.90461199615139e-11	2.607569259727373	1	1	6.289981117289965e-7	0
NOV	1.0354133194724286e-46	-2.584542633883416	0.667	1	3.4194524875576954e-42	-0.33299999999999996
DHCR24	5.243656904541496e-8	-2.582443460194382	1	1	0.0017317176927248291	0
CREB5	1.4074144898926069e-8	2.5761449617770307	1	1	4.647986352870334e-4	0
NEURL1B	1.240912439806783e-16	-2.574680370597365	1	1	4.098113332461901e-12	0
NXPH1	6.270370596225581e-44	-2.570130184861682	0.667	1	2.070789889403498e-39	-0.33299999999999996
CYP21A2	3.0710784320808337e-31	-2.563141223056879	0.667	1	1.0142236521946954e-26	-0.33299999999999996
ATRNL1	4.7749554628552585e-27	-2.5570803975171708	1	1	1.5769290416079492e-22	0
GAS6	5.024698172286552e-33	2.546010998255559	1	1	1.6594065713976338e-28	0
LINC01807	4.847295690702747e-12	-2.5362371422541683	1	1	1.6008194018545822e-7	0
TNXB	8.70414716853161e-25	-2.5251502766275857	1	1	2.874544602407564e-20	0
ADAMTSL3	1.927468484183929e-17	-2.504449283451798	1	1	6.365464669017426e-13	0
C1orf21	8.329276777417764e-32	-2.503182043714216	1	1	2.7507436557422165e-27	0
MSI2	1.347182109844795e-23	-2.475939894595695	1	1	4.449068917762436e-19	0
NRCAM	5.094045683707251e-10	-2.472286535753015	1	1	1.6823085870443197e-5	0
PRR16	1.1185644507409096e-6	-2.4594402930259154	1	1	0.036940590985718544	0
EYA2	1.058395166678985e-20	2.4549223962048945	1	1	3.4953500379573477e-16	0
MUM1L1	1.4933007303494308e-42	-2.4518874013221437	0.333	1	4.931625661978995e-38	-0.667
