gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CXCL12	1.6644933585092167e-50	5.428830823278729	1	1	5.5222896155260285e-46	0
KIAA1217	4.883190323936161e-77	-5.32550677113252	1	1	1.6200960537723e-72	0
PPARG	1.85831673098162e-57	5.30734592339167	1	0.75	6.165337418377721e-53	0.25
LSAMP	1.5725273432557972e-52	-5.139731129784758	1	1	5.2171739667197586e-48	0
ZFPM2	2.284475248306123e-57	-5.026048556360471	1	1	7.579203531305224e-53	0
EBF3	1.1465685322696519e-14	4.993518643076029	1	1	3.803970419511024e-10	0
CYP11B1	1.2567597626432327e-43	-4.984889047940424	0.25	1	4.169551864521453e-39	-0.75
AC092691.1	1.4235652135943251e-70	-4.780787530477148	1	1	4.7229623091418925e-66	0
CYP17A1	6.518107037843223e-58	-4.688852925602377	0.5	1	2.162512371945246e-53	-0.5
EYA1	1.2391131312505434e-19	4.553845092579752	1	1	4.111005635549928e-15	0
ANGPT1	8.95095266065577e-68	4.523278966207502	1	1	2.969657564225765e-63	0
RSPO3	1.150255010966949e-56	-4.431346024116589	1	1	3.816201049885047e-52	0
IGFBP6	1.3152480671271416e-14	-4.340376907548938	1	1	4.363598512307718e-10	0
CNTNAP2	1.2933164594709832e-10	4.170957705973688	1	1	4.290836017586881e-6	0
ZBTB7C	1.9532623975901274e-43	-4.107216615452114	1	1	6.480338656484765e-39	0
GML	2.582923367008384e-65	-4.014434128084115	0.75	1	8.569364854723717e-61	-0.25
NCKAP5	2.1093591317154395e-69	3.927066519892854	1	1	6.998220791292314e-65	0
PAK3	4.998370049641689e-56	-3.925422823402691	0.75	1	1.658309231369623e-51	-0.25
PAPPA	6.883893407727815e-31	3.8839000349582755	1	1	2.283869315881857e-26	0
RUNX1	2.930795273023627e-24	3.8246116670088375	1	1	9.723499477310487e-20	0
NRXN3	3.1770892972136847e-9	3.808702548496499	1	1	1.0540629161365842e-4	0
RAPGEF5	7.555587967843145e-52	-3.7947539754161705	1	1	2.5067174200913205e-47	0
VCAN	3.8025930410501795e-20	3.7754820447212802	1	1	1.261586293229218e-15	0
LEPR	2.2914308358624164e-25	3.7618954460580953	1	1	7.602280084140739e-21	0
AC139491.7	2.0432688696787675e-15	-3.751447180329232	0.75	1	6.778953128933248e-11	-0.25
PDE1C	1.2341659829971922e-37	3.7438827378935473	1	1	4.094592481789785e-33	0
IGKC	8.427070853826165e-9	3.7306755000401335	1	0.75	2.795849297173907e-4	0.25
SCARB1	8.975801225872198e-37	-3.714512230620282	1	1	2.977901572707619e-32	0
FOXP2	4.747914678714906e-40	-3.7140827750404286	1	1	1.5752156529572444e-35	0
ITGBL1	6.810302502432457e-8	3.671932983012666	1	1	0.002259454061232016	0
LINC02388	1.274191954362879e-9	-3.6544657553551065	1	1	4.227386646989724e-5	0
NR2F1	1.9132854082317487e-69	-3.6530341890020175	1	1	6.347706998890473e-65	0
EDIL3	1.2693363859756668e-51	3.613564448779707	1	1	4.2112773277514697e-47	0
TNXB	1.02392685462874e-28	-3.5879422975617077	1	1	3.3970821256017706e-24	0
SCN7A	5.7602818911221775e-12	-3.578956561182488	0.5	1	1.9110887230176047e-7	-0.5
TRABD2B	1.3370870265393672e-55	3.5695342181104865	1	1	4.4360536279496584e-51	0
CLSTN2	2.4520869966573922e-18	3.560176532688216	1	1	8.13528902881023e-14	0
MICAL2	3.910115668891017e-51	-3.514074264357509	1	1	1.2972590754679727e-46	0
MEIS1	8.618191486516301e-34	-3.4865138407253107	1	1	2.8592573894815133e-29	0
MRPS6	8.471525190518401e-25	3.4723799032625893	1	1	2.8105979124582897e-20	0
USP53	1.5005137844321915e-26	-3.4720508757043276	1	1	4.978254582610682e-22	0
CP	3.425343291309889e-63	3.457864331921413	1	1	1.1364261437578819e-58	0
VCAM1	6.6534797724654805e-71	3.4476885500197234	1	1	2.2074249841108726e-66	0
HHIP	1.5692673107102303e-11	-3.4462544315509476	0.75	1	5.206358156743331e-7	-0.25
LPL	7.76290895562223e-15	3.4188323317135065	1	0.75	2.5755003042067876e-10	0.25
GREB1	1.0618164485546589e-46	-3.3952810411126157	1	1	3.522788431369792e-42	0
CHSY3	1.444578286875926e-76	3.375358767740269	1	1	4.79267738236826e-72	0
PCDH9	5.5061619004313045e-24	-3.322306958379025	1	1	1.826779333706094e-19	0
ADAMTS17	3.481751932185405e-12	3.303476196033748	1	1	1.1551408385411518e-7	0
SHISA6	9.978496712691393e-24	-3.2681612379103058	1	1	3.3105658543696237e-19	0
FLVCR2	2.714591496000798e-26	-3.267957038381749	1	1	9.006200206281847e-22	0
KLF5	6.947998794126186e-49	-3.240375563725462	1	1	2.3051375599272445e-44	0
CFD	8.548340853998735e-9	3.234051840422281	1	1	2.8360830451311603e-4	0
PLXNA4	3.81229173348689e-36	3.2340263989476874	1	1	1.2648040284189456e-31	0
MUM1L1	2.214967312264805e-14	-3.227835187627402	0.5	1	7.348597051900943e-10	-0.5
TFPI	3.3091540466342555e-40	3.222644931840043	1	1	1.097878038051847e-35	0
COL4A5	1.9405739233731235e-13	-3.2217342989458593	0.75	1	6.438242105575012e-9	-0.25
RALYL	3.46373813542143e-7	-3.213845737336737	1	1	0.011491644011887679	0
STAR	1.2418021588375022e-28	-3.2092737110688825	0.5	1	4.119927022375181e-24	-0.5
VEGFC	1.0150647961243695e-49	3.2067878404581656	1	1	3.367680474101821e-45	0
ADGRB3	3.2576414395486264e-20	-3.1974906067414874	1	1	1.0807877003990478e-15	0
RIMS2	9.501802098770334e-8	-3.156045352601538	1	1	0.003152412882309034	0
DCDC1	9.160560040978178e-8	3.123183767855716	1	1	0.00303919900479533	0
