gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
ADIPOQ	4.2230814311438094e-9	6.839817258538805	1	0.64	1.4010917264105816e-4	0.36
LVRN	4.767685920110445e-10	6.312887579163391	1	0.685	1.5817751577150424e-5	0.31499999999999995
CIDEA	3.242770573144309e-8	6.298740711381653	1	0.674	0.0010758539930520875	0.32599999999999996
SLC19A3	1.859613287446527e-7	6.213072122664737	1	0.73	0.006169639003761342	0.27
SAA1	3.585536639897098e-9	6.157555767508018	1	0.506	1.1895734910186602e-4	0.494
AQP7	8.372813869083772e-10	5.9575898749575025	1	0.764	2.777848457345923e-5	0.236
GYG2	7.431566725070072e-11	5.753483114523205	1	0.742	2.4655708923764977e-6	0.258
AL356479.1	7.98894771531022e-7	5.677657570601447	1	0.787	0.026504931835084716	0.21299999999999997
PFKFB1	1.7483733827407797e-8	5.669900306173639	1	0.663	5.800578371919085e-4	0.33699999999999997
PLIN1	1.4426683200585399e-11	5.628122580357578	1	0.753	4.786340685458218e-7	0.247
GPD1	1.962533489057423e-11	5.555308704984297	1	0.73	6.511097356645813e-7	0.27
ACVR1C	4.0009913885293e-8	5.500049566167158	1	0.775	0.0013274089129723659	0.22499999999999998
PTX3	6.924674025809937e-7	5.381499195108411	1	0.742	0.02297399101542963	0.258
LPL	7.505572939425571e-8	5.275627485062669	1	0.809	0.0024901239341132216	0.19099999999999995
MARC1	4.925217856518226e-16	5.1089795776629625	1	0.753	1.6340395282570517e-11	0.247
PLIN4	3.8659877598032603e-10	5.078072680119565	1	0.764	1.2826187590699277e-5	0.236
GHR	3.9460043596811794e-17	4.927303981942486	1	0.933	1.309165866411425e-12	0.06699999999999995
ACACB	1.1975028277628834e-26	4.886294394713317	1	0.966	3.972955131668918e-22	0.03400000000000003
PLIN5	3.563563801509802e-14	4.879062769301434	1	0.798	1.1822835624269069e-9	0.20199999999999996
AC022414.1	2.3490490691247954e-10	4.803973316621679	1	0.854	7.793440096635334e-6	0.14600000000000002
HSPB7	2.9786563748296146e-10	4.5361017689048815	1	0.685	9.882288254772212e-6	0.31499999999999995
LINC00598	1.1185639909719178e-8	4.371216122132097	1	0.899	3.711059752847532e-4	0.10099999999999998
AC022007.1	8.130327343044262e-10	4.346514466211058	0.833	0.483	2.697398702601795e-5	0.35
PEX11A	2.1016803228234067e-15	4.330576828346233	1	0.719	6.972744807031216e-11	0.281
COX14	3.512316453955062e-17	4.31475506159235	1	0.876	1.1652812299286708e-12	0.124
ADH1B	4.5691654141232245e-7	4.305282996705082	1	0.787	0.015159120094436622	0.21299999999999997
PDE8B	1.9299587129782022e-8	4.230065632497382	1	0.562	6.403024022047782e-4	0.43799999999999994
PTGER3	5.1277785276027734e-8	4.215397013407387	1	0.809	0.0017012430821027721	0.19099999999999995
FASN	4.797135483109374e-12	4.211603025173393	1	0.82	1.591545639231197e-7	0.18000000000000005
SPATA9	9.628085737788124e-10	4.143418294113559	1	0.764	3.194310005225966e-5	0.236
RDH10	1.4118087500343308e-9	4.1427798038429495	1	0.742	4.6839578899888993e-5	0.258
SLC2A4	4.610328607145894e-7	4.0829398204101555	0.833	0.528	0.015295687219927932	0.30499999999999994
KCNIP2-AS1	1.662245567085233e-13	4.070856859272308	1	0.798	5.514832117918677e-9	0.20199999999999996
PTPRF	9.651953995236275e-9	4.063901563636379	1	0.831	3.202228776999539e-4	0.16900000000000004
HILPDA	2.1027601603501266e-16	4.019184175697785	1	0.719	6.976327383993615e-12	0.281
ABCD2	1.3735837517534526e-6	3.9959408063979933	1	0.798	0.045571388131924295	0.20199999999999996
CDO1	2.3286401686115398e-7	3.95435061374511	1	0.618	0.007725729487402506	0.382
PNPLA2	2.069074623519451e-31	3.9273892020988956	1	0.944	6.864568878450482e-27	0.05600000000000005
MAOA	2.954581520543146e-9	3.915647874435807	1	0.82	9.802415110705995e-5	0.18000000000000005
LIPE	1.9464352109037473e-14	3.8529718447072616	1	0.888	6.457688099215362e-10	0.11199999999999999
GPT2	9.033156229670358e-7	3.799222928431414	1	0.798	0.029969302423177347	0.20199999999999996
SPON1	7.77051736853302e-8	3.794125735560835	1	0.888	0.0025780245473582	0.11199999999999999
LRIG1	1.1565079416528997e-7	3.7923097208166148	1	0.865	0.0038369463980218255	0.135
KCNIP2	1.4354100407621477e-11	3.7603947613615545	1	0.798	4.7622598922365776e-7	0.20199999999999996
ITGA7	1.4028829202725468e-7	3.7551124239277183	1	0.798	0.0046543446645882286	0.20199999999999996
PECR	1.6842753210131562e-7	3.6699270810073097	1	0.854	0.0055879202325253485	0.14600000000000002
HEBP2	9.1406064706064e-16	3.6698453519546437	1	0.82	3.032579008753085e-11	0.18000000000000005
RDH5	1.075848852005887e-14	3.6665486014686697	1	0.753	3.5693437362999315e-10	0.247
RETSAT	6.598142183901271e-19	3.6655144527466303	1	0.843	2.1890656323529247e-14	0.15700000000000003
GPT	2.0003517175440493e-7	3.645428213010738	1	0.551	0.006636566893295892	0.44899999999999995
MAOB	1.0155093299102274e-9	3.632988063493543	1	0.809	3.369155303843161e-5	0.19099999999999995
SLC7A6	2.7975445507694825e-20	3.6099393011758574	1	0.91	9.281413556087913e-16	0.08999999999999997
ECHDC3	2.0188933283144594e-9	3.5703660429240136	1	0.775	6.698082395348882e-5	0.22499999999999998
ERRFI1	5.180640228289491e-7	3.563207294653078	1	0.787	0.017187810085396046	0.21299999999999997
PLOD2	1.0673550468158445e-7	3.519915814666957	1	0.809	0.003541163838820927	0.19099999999999995
ACSS3	5.583641783847814e-9	3.5119489133993604	1	0.888	1.8524848346271894e-4	0.11199999999999999
AGPAT2	1.8506298767347957e-15	3.3864410041251682	1	0.843	6.139834742043031e-11	0.15700000000000003
PRKAR2B	2.485504076090019e-7	3.299291966792663	1	0.899	0.008246156873243857	0.10099999999999998
TMEM164	3.325147225183045e-12	3.239780236995804	1	0.888	1.1031840948989789e-7	0.11199999999999999
PLA2G16	2.8540505235198867e-9	3.2374820969124913	1	0.843	9.468883421881928e-5	0.15700000000000003
ZFAND5	6.208951238073031e-9	3.224149393168572	1	0.91	2.0599437522554896e-4	0.08999999999999997
SMIM3	4.5420841209520395e-8	3.2145144397556193	1	0.787	0.0015069272488082582	0.21299999999999997
GSN	1.600506156203233e-8	3.213281043365849	1	0.933	5.309999274435466e-4	0.06699999999999995
