gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
LINC00926	4.106081644640462e-12	5.347162954922865	1	0.739	1.362274707242366e-7	0.261
FAM129C	6.12274300395657e-8	4.763008547827816	1	0.864	0.002031342446422671	0.136
CD22	2.066392183235679e-8	4.437654230509716	1	0.784	6.855669346321013e-4	0.21599999999999997
BANK1	4.299919692365115e-10	4.384902606793704	1	0.909	1.4265843563359742e-5	0.09099999999999997
BACH2	1.041020833741976e-6	3.909501895367124	1	0.909	0.03453794820105754	0.09099999999999997
AFF3	1.217490475265849e-7	3.5813398257217575	1	0.932	0.0040392681497895076	0.06799999999999995
NR2F1-AS1	4.6449678372790484e-7	-3.350084014853274	0.571	0.92	0.015410609793740699	-0.3490000000000001
CD37	1.5989365851796347e-7	3.232037363536227	1	0.886	0.005304791908650474	0.11399999999999999
HVCN1	1.0487488476727316e-7	3.2182216311143828	1	0.886	0.0034794340519238216	0.11399999999999999
LARGE2	7.830822645773106e-7	3.19148255258858	0.714	0.682	0.025980320291881433	0.03199999999999992
MEIS2	2.8116053607839274e-7	-3.1883936780949904	0.714	0.909	0.009328063105472836	-0.19500000000000006
UBR5-AS1	1.366867674882251e-6	3.0991133206266985	0.857	0.761	0.04534856884956844	0.09599999999999997
RALGPS2	9.214204309639224e-10	3.0820939591926533	1	0.932	3.0569965638090056e-5	0.06799999999999995
LIX1-AS1	3.1252824812121923e-9	3.0368465369562108	1	0.898	1.0368749687917691e-4	0.10199999999999998
ADAM19	4.191936276053993e-7	3.021488435739167	1	0.909	0.013907586983064333	0.09099999999999997
ZNF318	3.3380676481063524e-8	2.888076687534854	1	0.886	0.0011074707036122446	0.11399999999999999
NHS	1.1826663746661134e-7	-2.870779489948332	0.714	0.943	0.003923732231229765	-0.22899999999999998
TNS2	1.2619092443864563e-7	-2.8320323022763114	0.714	0.909	0.004186636300100946	-0.19500000000000006
SLC9A7	2.3805801962680837e-7	2.797395348485038	1	0.841	0.007898050917158622	0.15900000000000003
MIR99AHG	2.680518063128831e-7	-2.7450393723169437	0.714	0.966	0.008893154778042523	-0.252
PLEKHF2	4.5914072834632266e-8	2.6799852825153585	1	0.83	0.0015232911944345947	0.17000000000000004
CXXC5	1.0977925634754842e-6	2.608610420976368	0.857	0.898	0.03642146387842614	-0.041000000000000036
TFEB	3.602876943682929e-7	2.5451947150219576	0.857	0.898	0.011953264836056854	-0.041000000000000036
NFIA	1.7692711278926675e-9	-2.4052889173999104	0.857	0.943	5.8699108210095034e-5	-0.08599999999999997
PLEKHA5	7.117543162134777e-8	-2.3928803463212858	0.857	0.955	0.0023613872949014548	-0.09799999999999998
IFT57	1.078133741828574e-6	2.1075597624416087	0.714	0.841	0.035769243152646596	-0.127
AGAP1	3.42561541393598e-7	-1.948214064717936	0.857	0.977	0.0113651642588154	-0.12
RORA	2.886883238941939e-7	-1.9450050194195778	1	0.977	0.009577812521837672	0.02300000000000002
UGGT2	1.2336598487375788e-7	-1.936697105101446	0.571	0.909	0.004092913280156665	-0.3380000000000001
MAP3K1	1.4125396151450746e-6	1.9366496359941223	1	0.932	0.04686382681166814	0.06799999999999995
ITPR1	8.806083724514179e-8	1.9149006393820005	1	0.955	0.0029215943972820692	0.04500000000000004
CD151	3.409423015466105e-7	-1.8267657996000546	0.571	0.909	0.011311442738411896	-0.3380000000000001
ZNF107	1.4281101994329987e-7	1.8074702095039972	1	0.898	0.004738041208658859	0.10199999999999998
ATF7IP	3.6719388789476385e-7	1.7496157097005611	1	0.977	0.01218239161868458	0.02300000000000002
PLSCR4	1.259162228736328e-6	-1.7387548175304026	0.857	0.898	0.041775225262785154	-0.041000000000000036
GNG12	8.844583951518179e-7	-1.6581383601172086	0.571	0.852	0.02934367617595186	-0.281
ARHGEF11	2.5081866623011826e-7	-1.628160705185791	0.571	0.875	0.008321410889516634	-0.30400000000000005
ZCCHC7	4.560458004459559e-7	1.6177381943559475	1	0.966	0.015130231521395478	0.03400000000000003
MAP4K3	3.501139433564993e-9	-1.5780557366028465	0.857	0.955	1.1615730298738577e-4	-0.09799999999999998
FNDC3B	4.268447320326316e-8	-1.5038732422397345	1	0.966	0.001416142767464662	0.03400000000000003
SPRED2	1.1489861215564078e-6	-1.432225696330036	0.857	0.932	0.03811991255487694	-0.07500000000000007
DCBLD2	1.481131305471472e-6	-1.4151581153052024	0.571	0.864	0.04913949332162702	-0.29300000000000004
NEAT1	7.120058825338638e-7	-1.2234217957730902	1	0.989	0.023622219164826	0.01100000000000001
