gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GATA6-AS1	1.33250269445773e-164	-9.890467406302028	0	0.091	4.4208441894024103e-160	-0.091
LY6D	1.410440240703474e-64	-9.06300160955416	0	0.035	4.679417586581916e-60	-0.035
AC010997.4	2.4104231849891267e-53	-8.672452894242248	0	0.029	7.997061000838426e-49	-0.029
CYP11B2	4.725077195619339e-98	-8.333999200132265	0	0.056	1.5676388611906282e-93	-0.056
CYP21A2	0	-8.256198711462474	0.002	0.41	0	-0.408
MEG9	2.716158604950863e-199	-8.252644855230402	0	0.109	9.011399403645478e-195	-0.109
MIR202HG	0	-8.240866382714353	0	0.175	0	-0.175
AL590426.2	1.8977636417304846e-38	-8.085320361079951	0	0.021	6.296210434169229e-34	-0.021
CYP11B1	0	-8.03716618331579	0.006	0.644	0	-0.638
FAM43B	2.894693206808878e-36	-7.969088368330238	0	0.02	9.603723652229815e-32	-0.02
CCL21	1.438787503313928e-36	-7.951452275481074	0	0.022	4.773465299744619e-32	-0.022
TBX3	0	-7.920110025636281	0.004	0.436	0	-0.432
AC078880.3	0	-7.903174820071062	0.001	0.209	0	-0.208
NOV	0	-7.845783552497449	0.002	0.364	0	-0.362
AC010503.1	1.0530088417503633e-31	-7.682090181876554	0	0.017	3.49356743427518e-27	-0.017
NR0B1	1.8307843611043621e-112	-7.669788466326377	0	0.063	6.073993274835942e-108	-0.063
HSD3B2	0	-7.621814228710302	0.004	0.412	0	-0.408
MEIS1-AS2	0	-7.563883060006091	0.002	0.22	0	-0.218
CYP17A1	0	-7.508196482993625	0.007	0.609	0	-0.602
VWA5B2	0	-7.480236102513623	0.001	0.209	0	-0.208
AC019257.1	3.3710926036998823e-25	-7.475325402777441	0	0.013	1.11842739312951e-20	-0.013
PABPC5	8.993985617964522e-28	-7.461193363978559	0	0.015	2.9839346084720895e-23	-0.015
PEG3	0	-7.387138871327597	0.001	0.22	0	-0.219
AL355314.2	1.2084358533712312e-24	-7.282601243067907	0	0.013	4.0092276307297335e-20	-0.013
RPRM	2.6715608204670847e-20	-7.195854823937846	0	0.011	8.863437334063646e-16	-0.011
FAM166B	7.669353576145629e-232	-7.07669996695793	0.001	0.13	2.544461435957835e-227	-0.129
SEMA3B	0	-7.0140936540891055	0.007	0.434	0	-0.427
AC096536.2	3.133847947030085e-21	-6.933144664778534	0	0.011	1.0397167333861712e-16	-0.011
LYNX1	1.650476548595757e-91	-6.925222371011182	0.001	0.054	5.475786045276143e-87	-0.053
SYTL5	2.4281402753463672e-21	-6.913586763764318	0	0.011	8.055840991516643e-17	-0.011
AL357568.1	1.0663824907747165e-20	-6.900650483506863	0	0.011	3.537937189643277e-16	-0.011
STAR	0	-6.86047911514167	0.005	0.416	0	-0.411
AL161781.2	0	6.857004943081016	0.167	0.003	0	0.164
AC110285.2	2.3783735012808324e-217	-6.8103173516086954	0.001	0.121	7.890729765199418e-213	-0.12
NR5A1	0	-6.752104972000461	0.003	0.261	0	-0.258
MT3	2.3792295133644382e-36	-6.615530386658184	0	0.021	7.893569756489197e-32	-0.021
FCN2	1.4203674528825335e-22	-6.611976198966887	0	0.014	4.712353098428382e-18	-0.014
RGN	0	-6.528718079358587	0.007	0.36	0	-0.353
FGF12-AS1	6.945910070297691e-303	-6.513607496218188	0.003	0.171	2.304444584022665e-298	-0.168
AC010719.1	1.0366631637754777e-47	-6.479268144366285	0	0.029	3.4393373784579026e-43	-0.029
AL117190.2	0	-6.475245366082788	0.006	0.379	0	-0.373
CYP11A1	0	-6.461679951728835	0.008	0.414	0	-0.40599999999999997
RARRES2	0	-6.409674301644793	0.005	0.374	0	-0.369
GML	0	-6.409231693920026	0.017	0.579	0	-0.5619999999999999
AC078909.2	5.279486105294576e-43	-6.407484317863886	0	0.025	1.7515751051535815e-38	-0.025
AC103831.1	8.80100138219164e-222	6.402376880236984	0.052	0.001	2.9199082285697206e-217	0.051
AVPR1A	4.395932110779469e-88	-6.387322344161078	0.001	0.052	1.4584383963933044e-83	-0.051
MEG3	0	-6.334741946646753	0.029	0.647	0	-0.618
GSTA1	0	-6.33369446101808	0.004	0.25	0	-0.246
AC009336.2	1.4715896928763663e-19	-6.329057305258745	0	0.012	4.8822931240559206e-15	-0.012
TCL1A	4.0314308882979883e-274	6.28370151209708	0.067	0.001	1.3375078258106236e-269	0.066
TCIM	4.351496632203161e-25	-6.281747690055408	0	0.015	1.4436960376660427e-20	-0.015
RTL1	7.063408780222472e-245	-6.177775787023227	0.002	0.139	2.3434271310144094e-240	-0.137
DLK1	0	-6.047918117721177	0.003	0.209	0	-0.206
AC110285.6	1.7469748519235954e-38	-6.046200855191725	0	0.024	5.795938466226913e-34	-0.024
AL117190.1	0	-6.008535640881393	0.016	0.473	0	-0.45699999999999996
MT1E	2.52164188415348e-274	-6.000933645552314	0.003	0.157	8.366051279056e-270	-0.154
LINC01807	0	-5.927446751860181	0.015	0.416	0	-0.40099999999999997
AC078880.1	3.7740805915753545e-22	-5.926421580154917	0	0.013	1.2521267178669554e-17	-0.013
PHYHIP	5.606630018321802e-136	-5.903865244180147	0.002	0.083	1.8601116411786242e-131	-0.081
