gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CHGA	2.6798790728704944e-7	5.264059097924981	0.875	0.402	0.008891034800062439	0.473
HAND2	4.761720038136791e-10	4.912288762996541	1	0.333	1.5797958570526433e-5	0.667
NRXN1	2.818094153429273e-25	4.883056363745005	1	0.793	9.3495909728323e-21	0.20699999999999996
CDH19	1.132855298586883e-8	4.738643131974706	1	0.517	3.7584740241217016e-4	0.483
XKR4	9.21058066011577e-32	4.62257685320048	1	0.782	3.055794345606609e-27	0.21799999999999997
PTPRZ1	5.508613102032478e-21	4.478405875352864	1	0.609	1.8275925688613151e-16	0.391
AC008056.1	8.83585196909093e-22	4.29658175429225	1	0.621	2.931470607785298e-17	0.379
PRIMA1	7.963946036234494e-22	4.275494185352024	1	0.609	2.642198376441518e-17	0.391
SLC18A1	2.674945957658858e-11	4.267394182541874	1	0.414	8.874668203724793e-7	0.5860000000000001
AC022679.2	1.8702448216187002e-10	4.2102706696061345	1	0.356	6.204911244684362e-6	0.644
L1CAM	3.998607592733199e-8	4.199896333430641	1	0.391	0.0013266180410410934	0.609
SHISA9	6.423504450878488e-21	4.146681337384665	1	0.759	2.1311260716679558e-16	0.241
RBPJL	3.2422150109135416e-21	4.14548464562121	1	0.529	1.0756696741707857e-16	0.471
SLC24A2	1.0249415010931667e-15	4.079657709426034	1	0.655	3.400448418176799e-11	0.345
PLP1	6.465579177220085e-10	4.075392383296296	0.875	0.345	2.1450852036263077e-5	0.53
SLCO6A1	3.697683909885338e-15	4.073121611602027	1	0.54	1.2267805907826587e-10	0.45999999999999996
LINC00635	1.3537699571684855e-15	4.072628625482797	1	0.448	4.4914025868978844e-11	0.552
CHGB	7.024912230757195e-7	4.065602893052034	1	0.54	0.023306551307983148	0.45999999999999996
FOXA3	6.878243463523963e-21	4.064164791650528	1	0.54	2.2819948338933455e-16	0.45999999999999996
EPHA5	2.941273786603412e-16	4.059235266149173	1	0.575	9.75826404181414e-12	0.42500000000000004
LINC01663	1.861773959360669e-7	4.046637990018985	0.875	0.46	0.006176807464970892	0.415
TFAP2B	5.516885834178968e-7	4.044524344758644	1	0.264	0.01830337213205556	0.736
LINGO2	6.850048702512106e-21	4.031762182995898	1	0.747	2.2726406580324413e-16	0.253
AP003900.1	7.228106641166509e-15	4.028332048363368	0.875	0.506	2.3980689403398125e-10	0.369
ERBB3	4.128663967259144e-28	4.0168145300812546	1	0.632	1.369766844417566e-23	0.368
AC099567.1	1.0090960217993154e-10	4.01371117976251	1	0.425	3.347877871523589e-6	0.575
AC095350.1	8.38217179964688e-14	4.009834865095736	1	0.414	2.7809531379688455e-9	0.5860000000000001
TMCO5A	3.086740877344551e-11	4.002291931079123	1	0.402	1.0240880208766016e-6	0.598
LINC00348	3.1155855459324376e-11	3.9994395367843314	1	0.54	1.0336578165740048e-6	0.45999999999999996
AC068672.2	1.4603645182415067e-10	3.990250020646898	1	0.471	4.845051362169847e-6	0.529
AC099791.3	3.2651041084424507e-15	3.9872640866701525	1	0.471	1.0832635900579519e-10	0.529
