gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
ADGRL4	1.4735905132936517e-27	5.813125937800233	1	0.736	4.8889312459543483e-23	0.264
CCL14	4.947152167417059e-31	5.289335060579516	1	0.793	1.6413166745839576e-26	0.20699999999999996
KCNIP4	3.449346826814758e-21	5.233969628617934	1	0.92	1.1443897967323323e-16	0.07999999999999996
VWF	6.874117588524217e-14	5.188472235598038	1	0.828	2.2806259923446794e-9	0.17200000000000004
RAMP3	6.5759267760724386e-24	5.175051729383818	1	0.69	2.181695226497553e-19	0.31000000000000005
BTNL9	2.6009018258418553e-23	5.051880094675906	1	0.839	8.629011987595523e-19	0.16100000000000003
FCN2	7.620990340388287e-12	5.001757424906193	0.5	0.46	2.528415965230622e-7	0.03999999999999998
SLCO2A1	4.057544281199536e-16	4.982274190218937	1	0.759	1.34617146617357e-11	0.241
CLEC14A	1.062626746071665e-28	4.9694858191786695	1	0.575	3.525476755441963e-24	0.42500000000000004
EFNB2	7.00072180459392e-20	4.939679546600715	1	0.701	2.322629473110125e-15	0.29900000000000004
SOX18	3.853171035546151e-13	4.91452914989925	0.875	0.471	1.2783665544631466e-8	0.404
FLT1	5.55992012500643e-14	4.908464607858789	1	0.805	1.8446146998733834e-9	0.19499999999999995
AC110296.1	2.3864205911951595e-16	4.868255296843646	1	0.529	7.917427595408181e-12	0.471
ANO2	4.994790519896331e-8	4.863595912620437	1	0.793	0.0016571216507860057	0.20699999999999996
AC010976.2	2.5969306309798628e-20	4.859424878462744	1	0.379	8.61583675440189e-16	0.621
FAM167B	7.375018435148935e-20	4.705521528392198	1	0.575	2.446809866229362e-15	0.42500000000000004
CLDN5	4.914583707972006e-10	4.676468673573462	1	0.621	1.6305114367938724e-5	0.379
SEMA3F	1.9402422077774066e-14	4.665485869417173	1	0.724	6.437141572743102e-10	0.276
AC147067.2	1.3063732193873724e-9	4.5919440608500555	0.875	0.322	4.334154429961486e-5	0.5529999999999999
PTPRB	2.1298287534132625e-16	4.57961616742914	1	0.816	7.066132855199181e-12	0.18400000000000005
AL138689.2	9.73387033998048e-12	4.538165279317096	1	0.644	3.229406162695324e-7	0.356
VSIG2	7.21299164780615e-14	4.529869942790583	1	0.414	2.3930542389926466e-9	0.5860000000000001
DNASE1L3	7.504891782467417e-14	4.4970208493735395	1	0.828	2.489897946669215e-9	0.17200000000000004
ROBO2	2.261328822861061e-7	4.4856221881367	1	0.839	0.0075024106356061425	0.16100000000000003
AL596442.2	2.860973123054055e-9	4.471767035838282	1	0.23	9.491850530356439e-5	0.77
AC104211.1	2.2086341154493192e-27	4.4642878860843815	1	0.391	7.327585404826206e-23	0.609
NOTCH4	4.571873999883607e-22	4.460470677703291	1	0.816	1.5168106369413842e-17	0.18400000000000005
PLAT	9.695240010313417e-16	4.422034956173024	1	0.828	3.216589778221682e-11	0.17200000000000004
PODXL	9.520870450522427e-15	4.370954965374953	1	0.77	3.158739189369826e-10	0.22999999999999998
GJA4	1.7523080328150596e-8	4.362272392543185	0.875	0.46	5.813632360470523e-4	0.415
ARHGEF15	1.9256323221680943e-15	4.352958467465062	1	0.724	6.388670355257087e-11	0.276
TM4SF18	4.749409389066312e-10	4.352302155910112	1	0.517	1.5757115530105304e-5	0.483
TMEM88	7.534217132156524e-12	4.33933316598927	1	0.563	2.4996272179355697e-7	0.43700000000000006
PLVAP	1.0345127745394522e-12	4.327368763570629	1	0.782	3.4322030320895405e-8	0.21799999999999997
FCN3	1.0565538043665414e-8	4.281960043511152	1	0.655	3.5053285567468743e-4	0.345
EGFL7	6.007680228547162e-10	4.258213223862925	1	0.77	1.9931680694250917e-5	0.22999999999999998
PCAT19	4.3564604412156585e-9	4.246910179939723	1	0.655	1.445342880582119e-4	0.345
BEX5	2.4722545188249346e-11	4.2460296316644595	0.875	0.448	8.202198817105485e-7	0.427
MPZL2	1.1926988983332247e-6	4.198496902618269	0.875	0.391	0.0395701713500014	0.484
VWA1	1.2864289888695446e-19	4.191619506808403	1	0.575	4.267985456372488e-15	0.42500000000000004
SHANK3	2.4858079241639742e-14	4.174185641396736	1	0.828	8.247164949998817e-10	0.17200000000000004
AC244100.2	1.8059815105719645e-19	4.153909829045597	1	0.644	5.991704857624606e-15	0.356
CAVIN2	2.774812799829299e-10	4.070068098291322	1	0.724	9.205996425993666e-6	0.276
TEK	1.9124369604982796e-12	4.06348755097899	1	0.77	6.344892103845142e-8	0.22999999999999998
RAMP2	1.1846626176889769e-13	4.060542532083082	1	0.655	3.930355166706718e-9	0.345
CRHBP	1.0965870700273797e-13	4.051289070163249	1	0.759	3.6381469222298376e-9	0.241
ESAM	3.1411018962429503e-23	4.042422033825939	1	0.793	1.0421233761165236e-18	0.20699999999999996
CD93	5.531469493844407e-9	4.039401102926749	1	0.724	1.835175633972759e-4	0.276
CD300LG	6.719809486528462e-7	4.0305117141544855	1	0.506	0.02229431193345548	0.494
PCDH17	2.402838958502836e-9	4.020953741321606	1	0.701	7.971898812624859e-5	0.29900000000000004
CXorf36	4.5465349694829126e-10	4.010138554064457	1	0.782	1.5084039068253459e-5	0.21799999999999997
GPM6A	1.0361953252943098e-8	3.9819997598773798	1	0.851	3.4377852307289315e-4	0.14900000000000002
FAM69B	7.790377059414094e-13	3.9421944934264914	1	0.644	2.584613397001814e-8	0.356
SOX17	1.8302531516531515e-8	3.932497819910904	1	0.333	6.072230881239661e-4	0.667
EMCN	1.8569868576238431e-9	3.926309840297665	1	0.805	6.160925297538624e-5	0.19499999999999995
SPAAR	1.5070751408634895e-9	3.9254335708978156	1	0.713	5.000023194842799e-5	0.28700000000000003
PLK2	4.11653148257984e-10	3.9174620680623344	1	0.529	1.3657416499755136e-5	0.471
EDN1	1.2906820837603273e-11	3.862760054629231	1	0.575	4.2820959492916375e-7	0.42500000000000004
GPR17	4.254718062586471e-11	3.8612019357717937	1	0.598	1.4115878116243134e-6	0.402
NOSTRIN	3.657595331096033e-14	3.8574697603164276	1	0.862	1.213480402997731e-9	0.138
CHRM3	6.728097111915491e-7	3.8545308487862666	1	0.828	0.022321807788202024	0.17200000000000004
HYAL2	1.6607408480462967e-8	3.8523515841527898	1	0.69	5.509839911563199e-4	0.31000000000000005
BCL6B	4.5314256225388036e-8	3.8370480098350637	1	0.506	0.001503391078789699	0.494
LIMS2	1.4458135562778285e-15	3.7978705160472663	1	0.793	4.796775635662952e-11	0.20699999999999996
DLL4	6.720934147640121e-7	3.7890755962733205	1	0.609	0.02229804322162563	0.391
NOVA2	1.4716751214894731e-6	3.7856142175055942	1	0.701	0.04882576550565625	0.29900000000000004
TMEM255B	6.6138358010629605e-9	3.7578352631306053	1	0.736	2.1942723037186583e-4	0.264
EXOC3L1	9.985091432537499e-11	3.7543418544425733	1	0.552	3.312753784572966e-6	0.44799999999999995
MYRIP	3.341723332051932e-16	3.71083871850264	1	0.874	1.1086835498748695e-11	0.126
ROBO4	5.171146851962892e-9	3.676280626850076	1	0.701	1.7156313910757288e-4	0.29900000000000004
