gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
ARHGEF15	0	6.051754557479058	0.413	0.013	0	0.39999999999999997
ADGRL4	0	5.855444005331686	0.547	0.025	0	0.522
RAMP3	0	5.5337415679088675	0.459	0.028	0	0.431
EFNB2	0	5.521936752333824	0.401	0.02	0	0.381
KCNIP4	0	5.472627538323459	0.827	0.274	0	0.5529999999999999
EGFL7	0	5.39721833884246	0.566	0.032	0	0.5339999999999999
CCL14	0	5.386707571239182	0.565	0.06	0	0.5049999999999999
TM4SF18	0	5.359192866453997	0.21	0.009	0	0.20099999999999998
AL138689.2	0	5.318644965924826	0.227	0.011	0	0.216
BTNL9	0	5.244162423358352	0.549	0.047	0	0.502
PTPRB	0	5.191629637325116	0.82	0.113	0	0.707
FLT1	0	5.182664291514536	0.682	0.072	0	0.6100000000000001
SLCO2A1	0	5.172165345215353	0.732	0.1	0	0.632
RAMP2	0	5.170642424641827	0.257	0.016	0	0.241
DNASE1L3	0	5.160814524266396	0.549	0.051	0	0.49800000000000005
TEK	0	5.127109658944157	0.524	0.038	0	0.48600000000000004
SEMA3F	0	5.053242234511874	0.243	0.014	0	0.22899999999999998
KDR	0	5.032006752841869	0.458	0.033	0	0.42500000000000004
PODXL	0	4.996641546599124	0.606	0.063	0	0.5429999999999999
SHANK3	0	4.939387184050638	0.537	0.04	0	0.49700000000000005
TLL1	0	4.877396827002441	0.3	0.027	0	0.27299999999999996
PLAT	0	4.872939373104014	0.565	0.072	0	0.49299999999999994
CDH5	0	4.8477632420464865	0.382	0.026	0	0.356
CAVIN2	0	4.808203076155281	0.296	0.018	0	0.27799999999999997
ROBO4	0	4.74997590055121	0.316	0.02	0	0.296
ID1	0	4.7221395504468235	0.247	0.021	0	0.226
ESAM	0	4.702453848445304	0.331	0.024	0	0.307
CXorf36	0	4.678174103982993	0.365	0.029	0	0.33599999999999997
HYAL2	0	4.6549574061928	0.484	0.054	0	0.43
PLVAP	0	4.642902916599482	0.493	0.048	0	0.445
GPM6A	0	4.619179295161319	0.613	0.079	0	0.534
TIE1	0	4.59110570535322	0.334	0.025	0	0.309
EMCN	0	4.571880814828372	0.684	0.089	0	0.5950000000000001
NOTCH4	0	4.560997524556331	0.485	0.049	0	0.436
LDB2	0	4.471865791651387	0.944	0.309	0	0.635
VWF	0	4.460577440567153	0.353	0.07	0	0.283
CRHBP	0	4.450024324472201	0.308	0.033	0	0.275
HECW2	0	4.440995043501798	0.584	0.081	0	0.503
SLC9A3R2	0	4.427913443235284	0.272	0.025	0	0.24700000000000003
CD34	0	4.402307557587645	0.369	0.035	0	0.33399999999999996
LIMS2	0	4.347572878189281	0.423	0.041	0	0.382
NOVA2	0	4.339459391038316	0.292	0.024	0	0.26799999999999996
ANO2	0	4.333822231975611	0.254	0.042	0	0.212
CCM2L	0	4.286094560551278	0.266	0.021	0	0.24500000000000002
TGM2	0	4.254638590719503	0.251	0.024	0	0.227
TM4SF1	0	4.248364473519609	0.234	0.023	0	0.21100000000000002
FLT4	0	4.227151458582625	0.321	0.027	0	0.294
SLC5A4-AS1	0	4.201811590028187	0.296	0.03	0	0.266
RGCC	0	4.197535729616961	0.222	0.024	0	0.198
F8	0	4.1611885646342905	0.522	0.076	0	0.446
ADCY4	0	4.148732770275841	0.288	0.024	0	0.26399999999999996
PKHD1L1	0	4.100331601856368	0.452	0.049	0	0.403
PCDH12	0	4.091975980361196	0.307	0.037	0	0.27
CD93	0	4.056249128610453	0.232	0.024	0	0.20800000000000002
AC119674.2	0	4.037595030183858	0.471	0.071	0	0.39999999999999997
GALNT18	0	4.028633070583107	0.366	0.053	0	0.313
ERG	0	3.995717767357082	0.503	0.062	0	0.441
ST6GALNAC3	0	3.993408390313125	0.839	0.176	0	0.663
NPDC1	0	3.9919920757207024	0.242	0.025	0	0.217
NPR1	0	3.9829230844617434	0.353	0.038	0	0.315
TMEM233	0	3.981398613756816	0.222	0.026	0	0.196
ARHGAP29	0	3.974526166031104	0.516	0.07	0	0.446
TMEM255B	0	3.9702609122543784	0.249	0.027	0	0.222
FGD5	0	3.967403086062047	0.459	0.059	0	0.4
CHRM3	0	3.961375195529983	0.331	0.07	0	0.261
LNX1	0	3.934796157218738	0.315	0.046	0	0.269
ROBO2	0	3.933206233171038	0.34	0.085	0	0.255
HES1	0	3.8996799043394397	0.263	0.042	0	0.221
AC007563.2	0	3.868796036583703	0.602	0.161	0	0.44099999999999995
NRG3	0	3.8531734488198692	0.528	0.123	0	0.405
CRIP2	0	3.8394206297967033	0.206	0.023	0	0.183
LMO2	0	3.8266178793694174	0.231	0.025	0	0.20600000000000002
ZNF366	0	3.816329163955051	0.228	0.027	0	0.201
EFNB1	0	3.7989683761807975	0.213	0.027	0	0.186
KANK3	0	3.7932186287124603	0.383	0.048	0	0.335
RHOJ	0	3.7868279818843065	0.225	0.027	0	0.198
ARAP3	0	3.7701004685331085	0.31	0.039	0	0.271
ABCG2	0	3.7651708929828924	0.314	0.048	0	0.266
IL33	0	3.7610177506579587	0.205	0.026	0	0.179
DYSF	0	3.751599789012484	0.387	0.053	0	0.334
GALNT15	0	3.748732371441977	0.342	0.05	0	0.29200000000000004
IFI27	0	3.7292522296274884	0.354	0.071	0	0.283
LRRC32	0	3.7263906277530587	0.202	0.027	0	0.17500000000000002
GIMAP7	0	3.7029556294658255	0.245	0.03	0	0.215
PLPP1	0	3.6922230239947567	0.905	0.385	0	0.52
AC007100.1	0	3.648406179897365	0.288	0.05	0	0.238
AC002070.1	0	3.636745597807398	0.442	0.084	0	0.358
FAT4	0	3.632528004533883	0.356	0.05	0	0.306
IGFBP5	0	3.623173335616473	0.675	0.249	0	0.42600000000000005
CNTNAP3B	0	3.6100235192616905	0.358	0.057	0	0.301
CASKIN2	0	3.567719045650561	0.385	0.073	0	0.312
NUAK1	0	3.563582867239437	0.341	0.063	0	0.278
GRASP	0	3.5608777097849775	0.257	0.031	0	0.226
PLPP3	0	3.558480212761869	0.719	0.235	0	0.484
MECOM	0	3.547341526141419	0.24	0.066	0	0.174
EPAS1	0	3.4861798433013624	0.692	0.173	0	0.5189999999999999
SPARCL1	0	3.4844144966316066	0.665	0.155	0	0.51
EXOC3L2	0	3.4501241165130634	0.31	0.05	0	0.26
COL8A1	0	3.424073507583038	0.443	0.082	0	0.361
SPRY1	0	3.4118484769043658	0.322	0.064	0	0.258
CALCRL	0	3.3999670589921727	0.654	0.102	0	0.552
ADGRF5	0	3.3957112959387072	0.584	0.1	0	0.484
PLCB4	0	3.392717258606379	0.342	0.064	0	0.278
CD109	0	3.391762632467507	0.203	0.03	0	0.17300000000000001
GIMAP8	0	3.325311418204345	0.335	0.054	0	0.281
RASIP1	0	3.2616852649230084	0.307	0.057	0	0.25
SH3BGRL2	0	3.2559308224388586	0.213	0.04	0	0.173
BMP6	0	3.2542195255082538	0.253	0.05	0	0.203
IFITM3	0	3.2278781596436805	0.478	0.149	0	0.32899999999999996
KCNN3	0	3.225638522166115	0.216	0.04	0	0.176
MCF2L	0	3.18256710217795	0.224	0.037	0	0.187
AFAP1L1	0	3.179287847956236	0.303	0.051	0	0.252
CCDC60	0	3.1753439376931762	0.205	0.039	0	0.16599999999999998
SH2D3C	0	3.138275650093112	0.48	0.089	0	0.391
IKZF1	0	-3.122936859594386	0.062	0.224	0	-0.162
GAS6	0	3.0962563081744396	0.51	0.122	0	0.388
TMEM44	0	3.0714895892477942	0.229	0.042	0	0.187
PTPRC	0	-3.067168683000432	0.057	0.217	0	-0.16
CD59	0	3.0670547010955844	0.344	0.084	0	0.25999999999999995
IFITM2	0	3.057902268400335	0.342	0.09	0	0.252
SEMA3D	0	3.0562928776111358	0.242	0.043	0	0.199
AC119674.1	0	3.027252290728356	0.375	0.093	0	0.28200000000000003
RASGRP3	0	3.013437622574825	0.344	0.068	0	0.27599999999999997
KCNMB4	0	3.010302253430365	0.247	0.063	0	0.184
SHE	0	3.000017772981561	0.231	0.047	0	0.184
GRB10	0	2.9894202040583933	0.652	0.25	0	0.402
HLA-DRB5	0	2.9725472172469694	0.352	0.092	0	0.26
