gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CA1	2.4811095720522543e-27	7.609681658684938	0.625	0.805	8.231577227197764e-23	-0.18000000000000005
SPTA1	1.5592823197690025e-13	7.412735122754347	0.625	0.609	5.173230952297619e-9	0.016000000000000014
AC024267.1	7.23094303934234e-10	7.172028406824236	0.5	0.31	2.399009972162608e-5	0.19
GYPA	1.2068294144688658e-16	6.909101809740514	0.625	0.575	4.003897948383356e-12	0.050000000000000044
KEL	3.634323675602136e-19	6.685590691715776	0.625	0.644	1.2057595658545207e-14	-0.019000000000000017
HBM	7.402045666417328e-11	6.616515042767425	0.5	0.598	2.4557766907472772e-6	-0.09799999999999998
SLC4A1	1.0533755234250759e-14	6.523389805507311	0.625	0.759	3.494783974067374e-10	-0.134
ANLN	3.153317661328848e-14	6.505961126089427	0.875	0.713	1.0461762004990718e-9	0.16200000000000003
HIST1H1B	2.0511568713715007e-9	6.503818743003094	0.5	0.345	6.805123152149227e-5	0.15500000000000003
MKI67	7.069692524104851e-16	6.430336123919986	0.875	0.644	2.3455118887222663e-11	0.23099999999999998
GYPB	4.640685170645656e-17	6.149945367723288	0.5	0.621	1.5396401190651093e-12	-0.121
ALAS2	1.524562331592065e-14	6.148111828553471	0.5	0.621	5.058040447522994e-10	-0.121
KLF1	2.365451429311323e-11	6.055580815648936	0.5	0.402	7.847858207026176e-7	0.09799999999999998
HBD	4.0214382308352335e-7	6.043968426238147	0.5	0.368	0.013341925618442054	0.132
STRIP2	3.288684194810292e-11	6.029539059710087	0.75	0.736	1.0910867553122106e-6	0.014000000000000012
CDK1	1.0088527395996365e-14	6.026576645780901	0.75	0.552	3.347070734169714e-10	0.19799999999999995
RRM2	8.259325610870345e-12	6.024859765152523	0.75	0.586	2.740196457918454e-7	0.16400000000000003
AC100835.2	2.004111910171328e-15	6.014535238674652	0.5	0.575	6.649042084375415e-11	-0.07499999999999996
MYL4	1.4756521556065214e-11	5.920002729421521	0.625	0.621	4.895771156655757e-7	0.0040000000000000036
AL357078.1	8.14978577259929e-10	5.878360406718048	0.25	0.494	2.7038544257752664e-5	-0.244
SPTB	2.430090058325969e-18	5.863086638235742	0.625	0.839	8.062309786508066e-14	-0.21399999999999997
CA2	3.739475781388025e-18	5.826465550736503	0.5	0.713	1.240645879991105e-13	-0.21299999999999997
FHDC1	8.861681652270088e-16	5.7157493170924125	0.625	0.77	2.9400401217736473e-11	-0.14500000000000002
CENPF	5.921124292316563e-16	5.680606296404215	0.75	0.724	1.9644514064618662e-11	0.026000000000000023
KIF20A	1.623195269396922e-9	5.672189439471792	0.5	0.46	5.385274945278168e-5	0.03999999999999998
HIST1H2AJ	6.27487422832538e-12	5.6462791792681735	0.625	0.207	2.0818150227315113e-7	0.41800000000000004
E2F2	4.696376321363991e-9	5.644458283558625	0.625	0.678	1.5581167721389312e-4	-0.05300000000000005
ANK1	1.991278446467716e-16	5.640788724643336	0.625	0.851	6.6064645018459415e-12	-0.22599999999999998
EPB42	1.1565707922080016e-13	5.616273590229725	0.5	0.632	3.837154917308487e-9	-0.132
HJURP	2.3564490337607345e-10	5.595055814789395	0.75	0.575	7.817990959307989e-6	0.17500000000000004
AURKB	3.836110597425615e-13	5.579629212215174	0.75	0.575	1.2727064129078963e-8	0.17500000000000004
RHAG	2.3426444056860233e-14	5.572916515661787	0.5	0.667	7.772191344744519e-10	-0.16700000000000004
AC005288.1	1.523466050485052e-7	5.440720176521087	0.375	0.655	0.005054403315694256	-0.28
NFE2	5.192789805489514e-7	5.437581426543475	0.5	0.414	0.01722811873767256	0.08600000000000002
KIFC1	1.8471586073374658e-10	5.436013166633187	0.75	0.609	6.12831811156351e-6	0.14100000000000001
E2F7	3.779165030901699e-9	5.426593317389638	0.625	0.736	1.2538135823022566e-4	-0.11099999999999999
TOP2A	2.3837322661180088e-11	5.364508873710098	0.75	0.736	7.908508539299718e-7	0.014000000000000012
ARHGAP11B	7.781875866847043e-22	5.321872595442868	0.75	0.724	2.5817929563438434e-17	0.026000000000000023
SLC22A16	1.366060500066843e-12	5.257984380011803	0.5	0.667	4.5321789210717646e-8	-0.16700000000000004
