gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
FHL5	4.629302911484668e-18	5.737925671795562	1	0.632	1.5358638269432683e-13	0.368
STEAP4	4.047230282189869e-15	4.682993686235072	1	0.839	1.342749590722133e-10	0.16100000000000003
PTH1R	1.6184288340067958e-9	4.518208408945162	0.875	0.782	5.3694613425843464e-5	0.09299999999999997
TBX2	1.2254909404129592e-8	4.306149889385389	1	0.632	4.0658112930080746e-4	0.368
FAM163B	1.3212793423910999e-6	4.249238992755863	0.5	0.333	0.043836084742509523	0.16699999999999998
RCAN2	1.0850246037681587e-7	4.062295482346972	1	0.805	0.00359978612792162	0.19499999999999995
PRR16	6.691881391444712e-9	4.022588961975212	1	0.77	2.2201654892396123e-4	0.22999999999999998
PDGFRB	3.598511400765525e-8	3.7962386752206565	1	0.816	0.0011938781274319782	0.18400000000000005
ADAMTSL2	2.778314852864474e-7	3.7822183076306195	0.625	0.782	0.009217615187348465	-0.15700000000000003
SERPINE1	5.252534193041361e-8	3.766285543604279	1	0.839	0.0017426332692253323	0.16100000000000003
CNR1	2.4960632455047278e-8	3.7308437282008122	1	0.759	8.281189029611035e-4	0.241
NFASC	1.828588240775234e-7	3.5833414762406646	1	0.828	0.006066707206419994	0.17200000000000004
PARM1	6.480782550145078e-7	3.5325806680418808	1	0.828	0.021501292266616324	0.17200000000000004
CCDC102B	1.871540844299598e-9	3.431085830921765	1	0.862	6.209211059132776e-5	0.138
PRPS2	5.768789057668187e-8	3.3810011765692725	0.75	0.828	0.0019139111456625746	-0.07799999999999996
CARMN	2.514073966518791e-7	3.36817405478171	1	0.828	0.008340943198719392	0.17200000000000004
RAB40A	2.323943119701413e-7	3.328580817820115	1	0.701	0.007710146088233378	0.29900000000000004
ARHGEF17	1.010441585344688e-6	3.274988913408243	1	0.828	0.03352342047698072	0.17200000000000004
ACTA2	3.1746843456837173e-10	3.259146220908914	0.875	0.839	1.0532650253674868e-5	0.03600000000000003
CALD1	5.70750278388112e-7	2.9493791182752025	1	0.931	0.01893578198608239	0.06899999999999995
TPM1	5.634452899072684e-10	2.9462791932932992	1	0.897	1.8693424383253442e-5	0.10299999999999998
SNCA	1.3562554913268391e-6	-2.675663703091781	0.5	0.793	0.04499648843575054	-0.29300000000000004
TOX	4.5181386269858905e-7	-2.6256011736663627	0.75	0.897	0.014989828522751089	-0.14700000000000002
PPP1R16B	1.0234844795294325e-7	-2.566535214243822	0.875	0.931	0.0033956144577347983	-0.05600000000000005
TAGLN	2.61955313634829e-7	2.5613837404852084	1	0.908	0.008690891440462721	0.09199999999999997
BMP6	1.3199139489315364e-6	-2.4878166493554525	0.625	0.851	0.043790785083701586	-0.22599999999999998
ITGA6	9.70412622656539e-7	-2.471154734983975	0.75	0.874	0.032195379581875995	-0.124
BCL11A	2.3338183172843657e-7	-2.44326123060672	0.625	0.874	0.00774290903125434	-0.249
ST6GAL1	6.37238643834681e-7	-2.317371260839124	0.75	0.931	0.021141666486503213	-0.18100000000000005
POU2AF1	1.3079897245339342e-6	-2.3113061557595374	0.5	0.839	0.04339517509086233	-0.33899999999999997
LAPTM5	5.626177347577922e-8	-2.300934741015096	0.75	0.92	0.0018665968586059273	-0.17000000000000004
TGFB3	4.095024989021217e-8	2.20840041009005	0.75	0.805	0.0013586064406075691	-0.05500000000000005
IFT43	1.6146930801294046e-9	2.1983142756028684	1	0.885	5.3570672319453254e-5	0.11499999999999999
NEDD4L	2.4435168399031456e-7	-2.094745703655418	0.625	0.977	0.008106855819746666	-0.352
AC004687.1	1.3019366635019336e-6	-1.9163680117563522	0.5	0.77	0.04319435268500365	-0.27
EPB41	1.4414857252409262e-7	-1.8839256090220102	1	0.954	0.004782417190631821	0.04600000000000004
LCP1	9.987939748595859e-8	-1.869049629524955	0.75	0.885	0.0033136987703916484	-0.135
MGAT4A	1.252780811540996e-6	-1.8041059921802385	0.75	0.897	0.04156350898449562	-0.14700000000000002
LIPE-AS1	1.5897614121817688e-7	-1.8012231452321763	0.875	0.897	0.005274351437195454	-0.02200000000000002
CCDC88C	1.1330542129839168e-6	-1.7862786768717513	0.875	0.92	0.03759133962416741	-0.04500000000000004
ATP8A1	2.618120674037234e-8	-1.705455032047409	0.625	0.908	8.686138960253331e-4	-0.28300000000000003
ABCA7	3.3789283542165187e-7	-1.695763245473587	0.75	0.908	0.011210270600784144	-0.15800000000000003
FCMR	9.432816602631967e-7	-1.6908452614629805	0.5	0.805	0.031295255642552075	-0.30500000000000005
SEMA4D	7.591878754671138e-7	-1.67305464343782	0.875	0.931	0.025187576144372434	-0.05600000000000005
LPP	1.9165277157403226e-9	1.654005886284251	1	0.977	6.358464002511668e-5	0.02300000000000002
MIAT	5.903516646638822e-7	-1.605498734876023	0.625	0.851	0.01958609717855362	-0.22599999999999998
FAM49B	1.1848571869932854e-7	-1.5970246401097212	0.875	0.943	0.003931000689287623	-0.06799999999999995
TEC	8.144317128656099e-7	-1.5457275554124577	0.625	0.897	0.02702040093774234	-0.272
SAMD12	3.0137956275544895e-7	-1.532116739907325	0.75	0.931	0.00999886975353753	-0.18100000000000005
SNX10	5.565212180866081e-7	-1.5302632277549908	0.75	0.851	0.018463704452459397	-0.10099999999999998
SEPT6	4.903431467731045e-8	-1.376533325134822	1	0.943	0.0016268114580491287	0.05700000000000005
DOCK8	9.888058909538207e-7	-1.3714452279762235	1	0.966	0.03280561304417491	0.03400000000000003
XKR6	5.784665809235433e-7	-1.3554501735285673	0.75	0.931	0.019191785755300395	-0.18100000000000005
LDLRAD4	1.1875757753303185e-6	-1.3197852165308457	1	0.954	0.039400201498133974	0.04600000000000004
SLC16A7	1.3496111784054927e-7	-1.3191631640971861	0.875	0.908	0.0044776050065959035	-0.03300000000000003
NUP210	1.2331364304052484e-6	-1.2685905722627708	0.875	0.897	0.040911767351554926	-0.02200000000000002
RAPGEF1	1.5041320526917745e-6	-1.1980956484550698	0.875	0.954	0.049902589112155005	-0.07899999999999996
RAB11FIP1	9.830635778468471e-8	-1.1044425137519438	0.625	0.885	0.0032615100322224847	-0.26
TMEM154	3.914923259299011e-7	-1.0866216532712252	0.5	0.828	0.012988540897376328	-0.32799999999999996
DENND2D	1.2738835846086187e-6	-1.0029533543619777	0.5	0.816	0.04226363568656014	-0.31599999999999995
KCNN4	8.987071753705578e-7	-0.9470858665985049	0.375	0.77	0.029816407957268996	-0.395
PPP3CA	5.231420537082724e-9	-0.900951934840378	1	0.989	1.7356283915879355e-4	0.01100000000000001
ARID3B	5.82475690275853e-7	-0.8741446650858884	0.75	0.897	0.019324795976281974	-0.14700000000000002
GKAP1	1.3520110861291652e-7	-0.692053298204464	0.625	0.874	0.004485567180450732	-0.249
ZMAT1	4.553235528122355e-7	-0.5711329238816198	0.75	0.839	0.015106269511651537	-0.08899999999999997
MPZL3	1.0459284548931665e-6	-0.053746803959453526	0.375	0.759	0.03470076834799059	-0.384
RASSF7	1.2889339873074905e-6	0.014587709650490055	0.5	0.839	0.04276296289690061	-0.33899999999999997
