gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
PTH1R	0	5.658056348769438	0.816	0.082	0	0.734
FHL5	0	5.4916214552381675	0.265	0.009	0	0.256
LINC02388	0	5.341047342498111	0.509	0.072	0	0.437
LINC00989	0	5.130446717192955	0.222	0.01	0	0.212
PDGFRA	0	4.833563004595524	0.455	0.024	0	0.431
ADAMTSL2	0	4.717252010414185	0.698	0.087	0	0.611
MUM1L1	0	4.696173937981205	0.285	0.016	0	0.26899999999999996
PLCXD3	0	4.64764437867741	0.671	0.079	0	0.5920000000000001
PRPS2	0	4.633412818114969	0.266	0.045	0	0.22100000000000003
LAMA2	0	4.612709628957967	0.929	0.269	0	0.66
SCN7A	0	4.594029235509176	0.332	0.018	0	0.314
RXFP1	0	4.561732109857728	0.622	0.063	0	0.5589999999999999
PRR16	0	4.3323725306099226	0.456	0.045	0	0.41100000000000003
IKZF1	0	-4.310659332106679	0.034	0.223	0	-0.189
AC025280.3	0	4.274429233900103	0.683	0.111	0	0.5720000000000001
AC020637.1	0	4.262315941853032	0.395	0.057	0	0.338
GUCY1A2	0	4.2553351776529516	0.582	0.063	0	0.5189999999999999
C7	0	4.2509657597357355	0.938	0.308	0	0.6299999999999999
NFASC	0	4.241741093530436	0.823	0.135	0	0.688
PDGFRB	0	4.16952223402273	0.651	0.069	0	0.5820000000000001
STEAP4	0	4.144655589815306	0.507	0.071	0	0.436
AC093772.1	0	4.0697419155479535	0.229	0.021	0	0.20800000000000002
WFDC1	0	4.017907515859222	0.337	0.033	0	0.30400000000000005
ADRA1B	0	4.002232017476374	0.251	0.02	0	0.231
ITGA11	0	3.9613456600615455	0.412	0.038	0	0.374
KCNIP1	0	3.959911409973418	0.436	0.086	0	0.35
CRISPLD2	0	3.912846168351685	0.766	0.143	0	0.623
PTGIR	0	3.9005067515128995	0.224	0.02	0	0.20400000000000001
EMILIN1	0	3.895136839539107	0.326	0.025	0	0.301
FREM1	0	3.88653418150901	0.454	0.05	0	0.404
PTPRC	0	-3.8720510929164726	0.044	0.215	0	-0.17099999999999999
COLEC11	0	3.8680798347737864	0.255	0.021	0	0.234
CCDC102B	0	3.8501313881340327	0.542	0.082	0	0.46
HHIP	0	3.842615377046057	0.365	0.046	0	0.319
RIPOR3	0	3.835185812411276	0.781	0.175	0	0.6060000000000001
KIAA1755	0	3.8306924593843923	0.292	0.024	0	0.26799999999999996
SYNPO2	0	3.8042521713993875	0.559	0.068	0	0.49100000000000005
PARM1	0	3.7725358539528306	0.408	0.039	0	0.369
FBLN5	0	3.764838090304918	0.612	0.078	0	0.534
RIPOR2	0	-3.7458471381928113	0.063	0.257	0	-0.194
LINC00924	0	3.735298840495487	0.37	0.035	0	0.33499999999999996
SERPINE1	0	3.7104064064451783	0.362	0.119	0	0.243
CNR1	0	3.698006941891968	0.219	0.021	0	0.198
ARHGEF26	0	3.6907379932793973	0.247	0.025	0	0.222
HGF	0	3.6848032869807925	0.5	0.052	0	0.448
NAA11	0	3.6804478960145053	0.303	0.025	0	0.27799999999999997
CYR61	0	3.679347707076744	0.321	0.054	0	0.267
AC139491.7	0	3.676992196602833	0.38	0.057	0	0.323
NPY1R	0	3.663407734526244	0.422	0.038	0	0.384
AL353653.1	0	3.6215003258453065	0.213	0.021	0	0.192
GGT5	0	3.613242165271515	0.715	0.097	0	0.618
KCNMB1	0	3.5961029349528992	0.242	0.034	0	0.208
DTX1	0	3.593615474880684	0.239	0.024	0	0.215
PLA2G4A	0	3.591790549645171	0.478	0.071	0	0.407
CCDC68	0	3.5266253215330092	0.276	0.028	0	0.24800000000000003
LINC01088	0	3.5193893125729154	0.623	0.089	0	0.534
WISP1	0	3.4922778656028908	0.238	0.027	0	0.211
NEGR1	0	3.4833189683912282	0.667	0.134	0	0.533
KCNT2	0	3.460267898433496	0.405	0.045	0	0.36000000000000004
ADAMTSL3	0	3.4411805384607095	0.709	0.114	0	0.595
PRKCB	1.3690001753634724e-307	-3.426111265427479	0.062	0.233	4.541931881803392e-303	-0.171
EDNRB	0	3.4230823054535584	0.377	0.039	0	0.338
ARHGEF17	0	3.4163055241408533	0.48	0.061	0	0.419
C11orf96	0	3.379664013099254	0.289	0.035	0	0.254
NEURL1B	0	3.3584646425835847	0.676	0.118	0	0.558
PDE1C	0	3.350308262099861	0.428	0.071	0	0.357
BGN	0	3.3204600593314026	0.314	0.043	0	0.271
GPC3	0	3.307525033717928	0.332	0.053	0	0.279
WDR66	0	3.299266482708154	0.347	0.046	0	0.301
TGFB3	0	3.279391139832507	0.202	0.031	0	0.171
CHL1	0	3.25691176278961	0.229	0.032	0	0.197
PTCH1	0	3.245892904600658	0.436	0.071	0	0.365
NGFR	0	3.2414751476573866	0.231	0.024	0	0.20700000000000002
THBS1	0	3.2244462147267106	0.313	0.064	0	0.249
KIAA1211	0	3.2222880429555896	0.324	0.046	0	0.278
NID2	0	3.2188311433410868	0.256	0.029	0	0.227
TNFAIP8	9.989460902851938e-279	-3.2166436598086756	0.061	0.22	3.314203443739188e-274	-0.159
MUSK	0	3.214926828366348	0.204	0.025	0	0.179
SRPX2	0	3.2060590179010804	0.445	0.056	0	0.389
MAMLD1	0	3.20542163848718	0.397	0.065	0	0.332
CARD11	1.2652940438245254e-260	-3.20017860623659	0.063	0.214	4.197866049196628e-256	-0.151
LUM	0	3.180193344364406	0.333	0.043	0	0.29000000000000004
LPAR1	0	3.17877401139224	0.571	0.097	0	0.474
SMTN	0	3.1708144467573636	0.466	0.072	0	0.394
COLGALT2	0	3.1586059388712306	0.244	0.033	0	0.211
BACH2	1.4698380691015858e-197	-3.126859988553895	0.075	0.206	4.876481761858331e-193	-0.131
PCDH7	0	3.121215897174024	0.225	0.046	0	0.179
ANO3	0	3.1156406508140178	0.349	0.052	0	0.297
PCDH9	0	3.1062777472255543	0.661	0.139	0	0.522
ADH1B	0	3.082928090930665	0.509	0.067	0	0.442
CFH	0	3.054480300597462	0.549	0.083	0	0.466
RBMS3-AS3	0	3.042700846579849	0.733	0.167	0	0.566
FBLIM1	0	3.028830405503066	0.41	0.064	0	0.346
CNTN1	0	3.024846409693856	0.229	0.036	0	0.193
PDE1A	0	3.024314442623628	0.578	0.1	0	0.478
PEAR1	0	3.023187880665284	0.36	0.042	0	0.318
KITLG	0	3.019436554948544	0.267	0.037	0	0.23
MSC-AS1	0	2.9751504577587973	0.459	0.064	0	0.395
C22orf34	2.126290720001069e-268	-2.9621946460852167	0.071	0.222	7.054394721747547e-264	-0.15100000000000002
LHFPL6	0	2.9477099311966044	0.775	0.236	0	0.539
MYO1B	0	2.9457408470406206	0.304	0.044	0	0.26
PDE3A	0	2.934335001034	0.232	0.043	0	0.189
CALD1	0	2.9330474365829096	0.927	0.337	0	0.5900000000000001
RBMS3	0	2.9164945350726357	0.818	0.243	0	0.575
TAGLN	0	2.9041868591622477	0.468	0.131	0	0.337
RCAN2	0	2.8953178828480297	0.369	0.073	0	0.296
CSRP1	0	2.876916753947896	0.273	0.039	0	0.234
CNKSR2	0	2.8700351975043548	0.268	0.036	0	0.232
NID1	0	2.8691178550826493	0.692	0.155	0	0.5369999999999999
C1R	0	2.8640916248441024	0.578	0.098	0	0.48
ABCA6	0	2.8630614283226574	0.569	0.089	0	0.48
COL27A1	0	2.860346658710337	0.475	0.101	0	0.374
TEAD3	0	2.8585437820340323	0.22	0.035	0	0.185
RBMS3-AS2	0	2.8527379817128793	0.523	0.11	0	0.41300000000000003
ENOX1	0	2.851610577217607	0.5	0.105	0	0.395
ABCA9	0	2.8486895573567277	0.49	0.074	0	0.416
CARMN	0	2.8412719330506033	0.497	0.129	0	0.368
CTGF	0	2.83329116081043	0.427	0.085	0	0.34199999999999997
FMO2	0	2.825787969858882	0.409	0.058	0	0.351
AEBP1	0	2.8096452792819093	0.504	0.072	0	0.432
AC098650.1	0	2.7952729946906847	0.963	0.546	0	0.4169999999999999
PALLD	0	2.7885640458697285	0.774	0.28	0	0.494
INPP5D	0	-2.784647080528068	0.108	0.303	0	-0.195
NR2F1	0	2.774726797956925	0.464	0.079	0	0.385
PHLDA1	0	2.7733654114973474	0.264	0.048	0	0.21600000000000003
ABCC9	0	2.771681527906236	0.267	0.051	0	0.21600000000000003
GNA14-AS1	0	2.7644518145103465	0.284	0.045	0	0.239
NR2F2-AS1	0	2.7631370583862678	0.876	0.284	0	0.5920000000000001
APBB1IP	8.657368430098821e-296	-2.7407406939373757	0.102	0.268	2.872255124053886e-291	-0.16600000000000004
OSMR	0	2.7399498648631395	0.476	0.142	0	0.33399999999999996
STON1	0	2.726466958417966	0.385	0.071	0	0.314
S1PR3	0	2.7223223646819066	0.206	0.039	0	0.16699999999999998
PXDN	0	2.709768274397423	0.373	0.054	0	0.319
ABCA9-AS1	0	2.7030259224903994	0.34	0.064	0	0.276
DOCK2	0	-2.6993583130823517	0.124	0.317	0	-0.193
AC012409.2	0	2.6500541843323684	0.803	0.244	0	0.559
ARHGAP42	0	2.6398867421514915	0.513	0.114	0	0.399
SVEP1	0	2.636402049563691	0.625	0.112	0	0.513
TPM1	0	2.6217543387539437	0.612	0.178	0	0.434
LINC01197	0	2.613281909701581	0.284	0.046	0	0.238
PKDCC	0	2.6132770952401487	0.291	0.052	0	0.239
AC003991.1	0	2.610558660088237	0.33	0.091	0	0.23900000000000002
SKAP1	0	-2.6078901825241454	0.166	0.376	0	-0.21
MAP1B	0	2.603402879059608	0.535	0.125	0	0.41000000000000003
ADGRF5	0	2.603026624961565	0.548	0.113	0	0.43500000000000005
PDLIM7	0	2.5906369035913634	0.258	0.046	0	0.21200000000000002
ZFPM2	0	2.586923592010015	0.821	0.207	0	0.614
DGKG	0	2.58473181764827	0.511	0.23	0	0.281
COL12A1	0	2.5775416236358195	0.358	0.06	0	0.298
PHLDB1	0	2.5588291397910354	0.7	0.195	0	0.5049999999999999
PRICKLE1	0	2.5516631549701803	0.488	0.104	0	0.384
FXYD6-FXYD2	0	2.551275555802373	0.22	0.037	0	0.183
AASS	0	2.5475863898229054	0.336	0.063	0	0.273
RAPGEF5	0	2.5469404780564404	0.586	0.123	0	0.46299999999999997
INMT-MINDY4	0	2.544018875087429	0.385	0.09	0	0.29500000000000004
HIF3A	0	2.541096036377612	0.701	0.185	0	0.516
MAMDC2-AS1	0	2.5238927989130877	0.314	0.068	0	0.246
MAP2	0	2.5237876339005023	0.292	0.058	0	0.23399999999999999
SMAP2	1.6739616371459306e-263	-2.5196694149252066	0.113	0.269	5.553702523559054e-259	-0.15600000000000003
SEMA5A	0	2.5187876015197164	0.228	0.052	0	0.17600000000000002
SETBP1	0	2.51126555462535	0.763	0.196	0	0.567
FLVCR2	0	2.509835302692104	0.672	0.27	0	0.402
COL4A1	0	2.4969791166552406	0.624	0.168	0	0.45599999999999996
BICC1	0	2.49416055969954	0.663	0.165	0	0.498
MYO10	0	2.4929607576113058	0.587	0.165	0	0.42199999999999993
MMP2	0	2.492017767369671	0.258	0.046	0	0.21200000000000002
ACTA2	0	2.4872747888637976	0.323	0.135	0	0.188
IGFBP7	0	2.484148729980337	0.864	0.306	0	0.558
AL445426.1	0	2.476402515244632	0.384	0.071	0	0.313
PLEKHA6	0	2.47496956852625	0.218	0.041	0	0.177
FBLN1	0	2.471897069446396	0.539	0.113	0	0.42600000000000005
ADAMTS12	0	2.465678403789204	0.619	0.177	0	0.442
CDH11	0	2.465489661568821	0.457	0.088	0	0.369
PLA2R1	0	2.46419140656507	0.513	0.119	0	0.394
ARHGAP10	0	2.454478654193208	0.855	0.385	0	0.47
MFGE8	0	2.4522875124879144	0.504	0.109	0	0.395
ADCY3	0	2.451818139920107	0.466	0.097	0	0.369
TRERF1	0	2.449709556757628	0.829	0.414	0	0.415
MRC2	0	2.4462414177474407	0.495	0.093	0	0.402
PLEKHH2	0	2.444908976589447	0.473	0.11	0	0.363
SLC16A10	1.0348405002984545e-196	-2.440954094183291	0.097	0.244	3.4332903278401825e-192	-0.147
MATN2	0	2.4391180141153335	0.404	0.089	0	0.31500000000000006
MPP3	0	2.434674956986952	0.204	0.038	0	0.16599999999999998
MSRB3	0	2.4308889387723482	0.448	0.097	0	0.351
SYTL4	0	2.4203165203479835	0.276	0.048	0	0.22800000000000004
PAK3	0	2.418984502682771	0.209	0.039	0	0.16999999999999998
SLC7A2	0	2.40641872557851	0.251	0.056	0	0.195
PIK3R5	2.4399467804428767e-196	-2.3976059683865136	0.097	0.222	8.095011433475333e-192	-0.125
NR2F2	0	2.394027163625065	0.639	0.156	0	0.483
ZCCHC24	0	2.3814412724490186	0.384	0.087	0	0.29700000000000004
ANGPTL4	0	2.3717265617000236	0.239	0.05	0	0.189
LINC00894	0	2.3660019830222776	0.59	0.248	0	0.34199999999999997
COL6A3	0	2.3567925256325193	0.285	0.052	0	0.23299999999999998
