gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGHG4	2.0991531646085353e-12	-8.90818513499114	0	0.046	6.964360454221737e-8	-0.046
CDCP2	3.7033764536654875e-16	8.454097099444338	0.017	0	1.2286692060325988e-11	0.017
IGLL5	9.13179917788645e-8	-8.090653362550048	0	0.027	0.0030296570132473874	-0.027
SLC26A3	2.665695641414448e-25	-7.93298297313704	0.002	0.107	8.843978429520715e-21	-0.105
AC004687.1	4.9369076677760216e-17	-7.885687604816205	0	0.065	1.6379178569380506e-12	-0.065
P2RX5-TAX1BP3	7.127630713201096e-16	-7.7925918422472655	0	0.06	2.3647340417187278e-11	-0.06
TNFSF8	9.05421507223095e-17	-7.713467566574793	0	0.063	3.0039169345140624e-12	-0.063
MS4A1	1.723921554851488e-12	-7.522460286796945	0	0.046	5.719454542530782e-8	-0.046
CCL21	0	7.5016156649849854	0.583	0.017	0	0.566
CD52	1.3444994224116909e-13	-7.397951170364143	0	0.051	4.4606457337352665e-9	-0.051
BLK	3.1616631158236364e-17	-7.144373523172311	0.002	0.075	1.0489449719368078e-12	-0.073
RHEX	4.2611591162672393e-10	-7.0564084931735325	0	0.037	1.413724760003982e-5	-0.037
TBX1	0	7.035778858165401	0.581	0.015	0	0.566
MZB1	8.284589200674836e-7	-6.999576188909039	0	0.023	0.027485781591078902	-0.023
LY9	3.641698797526166e-11	-6.958877403471476	0	0.041	1.208206410055256e-6	-0.041
CD3G	1.8915730297740006e-9	-6.906470332153614	0	0.034	6.275671840881202e-5	-0.034
IGHD	9.507756552744432e-8	-6.843024110372015	0	0.027	0.00315438839150402	-0.027
TRBC2	2.758222073481337e-8	-6.726697738018888	0	0.029	9.150953373189032e-4	-0.029
IGHM	7.138228970045847e-16	-6.70838741212729	0.002	0.071	2.3682502253921105e-11	-0.06899999999999999
IGHA1	3.795973292273527e-18	-6.7006820663157765	0.002	0.08	1.259390059177588e-13	-0.078
MMRN1	0	6.60923115394678	0.776	0.021	0	0.755
ZNF365	6.149095868374467e-9	-6.451864596988237	0	0.032	2.0400855362505968e-4	-0.032
DAPP1	4.811516470403213e-10	-6.435141930023041	0	0.036	1.596316819385674e-5	-0.036
TNFRSF13B	2.606574077954491e-7	-6.41478447492997	0	0.025	0.008647830818429614	-0.025
FCRL1	4.437411490153674e-17	-6.403629889038571	0.002	0.076	1.4722000100882844e-12	-0.074
TMEM71	1.9570840077245566e-8	-6.397391633873296	0	0.03	6.493017612427761e-4	-0.03
RAC2	1.756406180944998e-9	-6.369684143861564	0	0.034	5.8272287865212204e-5	-0.034
AC243829.2	2.486748772465046e-7	-6.360911617165852	0	0.025	0.008250286402407284	-0.025
CD79A	3.575168142871722e-7	-6.332360472925374	0	0.025	0.011861335347605513	-0.025
P2RX5	5.840325833108751e-7	-6.306201063681456	0	0.024	0.019376449016504906	-0.024
SUSD3	5.01907792631835e-8	-6.297579601368147	0	0.028	0.001665179483614639	-0.028
MYO1G	9.193410444427082e-8	-6.235964739685723	0	0.027	0.003050097783147573	-0.027
SLAMF1	4.145051926970622e-7	-6.213580661664475	0	0.025	0.013752038778110433	-0.025
FCRL2	4.3447818494508494e-7	-6.166533223310973	0	0.024	0.014414682741923084	-0.024
GPD1	5.609424842025028e-7	-6.14918095712712	0	0.024	0.018610388798386435	-0.024
LINC02360	1.6683278725236862e-157	6.104130566155808	0.219	0.007	5.535011382671834e-153	0.212
LINC00930	7.1104846596546006e-12	6.085346221472878	0.017	0	2.359045495533607e-7	0.017
AL118508.1	2.855473183537151e-14	5.955180240050391	0.022	0.001	9.473603381021205e-10	0.020999999999999998
PLA2G7	5.052948170020351e-8	-5.94219409907173	0	0.028	0.0016764166143676518	-0.028
TNFRSF13C	1.4379000912914584e-6	-5.895975364142072	0	0.022	0.04770521132877671	-0.022
AL034397.3	2.3724314551273003e-7	-5.846788706295323	0	0.026	0.007871015838675844	-0.026
AC009313.1	9.571903614609421e-8	-5.815104887208697	0	0.027	0.0031756704622189678	-0.027
GNAT3	2.0813991388805987e-97	5.791566986992435	0.15	0.005	6.905457923064162e-93	0.145
HBA2	4.238048334349079e-17	-5.785939137466281	0.004	0.082	1.4060572958869939e-12	-0.078
AF067845.2	5.1074299846818977e-20	5.7479416138407124	0.032	0.001	1.6944920460179133e-15	0.031
LINC00393	1.5849079774821953e-7	-5.7461920938418185	0	0.026	0.00525824919689268	-0.026
EIF1AY	3.53773661096549e-8	-5.729698094707848	0	0.029	0.0011737148754200205	-0.029
CLECL1	3.3427158537747787e-7	-5.714888175862027	0	0.025	0.011090128388068584	-0.025
IGHG1	2.7384704785599115e-14	-5.708940084707184	0.004	0.07	9.085423506718218e-10	-0.066
AC022639.1	5.497420966632001e-7	-5.631494421510858	0	0.024	0.01823879354099499	-0.024
TTTY10	5.121375621647569e-8	-5.60244316471546	0	0.028	0.001699118789994014	-0.028
HP	2.3293678840574155e-23	5.597334344722377	0.039	0.001	7.728143828937287e-19	0.038
CLEC12A	2.1593195546331868e-7	-5.554254395833858	0	0.026	0.007163974486406524	-0.026
GABRB1	1.0342682097237638e-6	-5.539144156777639	0	0.023	0.034313916394005314	-0.023
PAX5	1.0925144337422276e-15	-5.5338395863736265	0.002	0.07	3.6246351368265886e-11	-0.068
CORO1A	3.3728063119505035e-11	-5.513389070960287	0.002	0.051	1.1189959501158185e-6	-0.048999999999999995
PLCB2	6.072656061937553e-9	-5.469797488301024	0.002	0.041	2.014725101669022e-4	-0.039
FCMR	6.214605718564641e-12	-5.469611714819389	0.002	0.055	2.061819739248191e-7	-0.053
IGLC2	5.83836811563761e-12	-5.457116562863201	0.007	0.07	1.93699538972509e-7	-0.063
TFCP2L1	9.696734034070925e-8	-5.446265067260935	0.002	0.035	0.003217085450483711	-0.033
AC005699.1	6.252864746973048e-254	5.420754420864963	0.36	0.034	2.0745129371032482e-249	0.32599999999999996
LINC01748	5.765909256188201e-79	5.399685468721709	0.132	0.006	1.9129557139255597e-74	0.126
LRCOL1	7.200993890103772e-86	5.389631111566046	0.143	0.006	2.3890737429197284e-81	0.13699999999999998
ITK	3.2395285940061867e-18	-5.3557023809508575	0.006	0.091	1.0747784016334325e-13	-0.08499999999999999
LINC02197	5.708966900233572e-121	5.335995080455412	0.193	0.011	1.8940639484904923e-116	0.182
HBA1	1.1035634521778074e-10	-5.318447924639548	0.004	0.055	3.6612924652903117e-6	-0.051000000000000004
IL7R	6.059682118485131e-21	-5.290881356331637	0.007	0.107	2.010420736449812e-16	-0.09999999999999999
LVRN	9.678849620939886e-7	-5.254768618042121	0.002	0.032	0.03211151938739226	-0.03
AC010609.1	2.610222109750804e-8	-5.2510636174303364	0.002	0.039	8.659933893520243e-4	-0.037
AF067845.1	6.438573184614455e-11	5.2463104362874455	0.019	0.001	2.136125425459538e-6	0.018
AC004448.3	1.1026795671591842e-9	5.217269544113188	0.017	0.001	3.6583599999640255e-5	0.016
PKHD1L1	0	5.200654518939124	0.904	0.078	0	0.8260000000000001
BTLA	7.645582582479454e-10	-5.159043110665767	0.002	0.046	2.5365749333892084e-5	-0.044
SEMA3A	0	5.151644723429075	0.59	0.053	0	0.5369999999999999
CD247	1.296096236997323e-29	-5.080351783415288	0.013	0.153	4.300058485486019e-25	-0.13999999999999999
C6orf141	7.085018668118848e-58	5.062181039793657	0.102	0.004	2.3505966435217905e-53	0.09799999999999999
