gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CHGA	2.6798790613888104e-7	5.264059097924981	0.875	0.402	0.008891034761969657	0.473
HAND2	4.761720019734084e-10	4.912288762996541	1	0.333	1.5797958509471773e-5	0.667
NRXN1	2.8180941219402954e-25	4.883056363745005	1	0.793	9.349590868361318e-21	0.20699999999999996
CDH19	1.1328552942779634e-8	4.738643131974706	1	0.517	3.758474009825999e-4	0.483
XKR4	9.210580655452386e-32	4.62257685320048	1	0.782	3.0557943440594382e-27	0.21799999999999997
PTPRZ1	5.508613130243255e-21	4.478405875352864	1	0.609	1.827592578220805e-16	0.391
AC008056.1	8.83585204056128e-22	4.29658175429225	1	0.621	2.931470631497016e-17	0.379
PRIMA1	7.9639461121971365e-22	4.275494185352024	1	0.609	2.642198401643644e-17	0.391
SLC18A1	2.674945972751109e-11	4.267394182541874	1	0.414	8.874668253796354e-7	0.5860000000000001
AC022679.2	1.870244835124743e-10	4.2102706696061345	1	0.356	6.20491128949336e-6	0.644
L1CAM	3.998607609584662e-8	4.199896333430641	1	0.391	0.0013266180466319033	0.609
SHISA9	6.423504448610935e-21	4.146681337384665	1	0.759	2.1311260709156497e-16	0.241
RBPJL	3.2422150513858937e-21	4.14548464562121	1	0.529	1.0756696875982979e-16	0.471
SLC24A2	1.0249415021728394e-15	4.079657709426034	1	0.655	3.400448421758829e-11	0.345
PLP1	6.465579289925302e-10	4.075392383296296	0.875	0.345	2.1450852410185175e-5	0.53
SLCO6A1	3.697683911296837e-15	4.073121611602027	1	0.54	1.2267805912509515e-10	0.45999999999999996
LINC00635	1.353769971678203e-15	4.072628625482797	1	0.448	4.491402635036774e-11	0.552
CHGB	7.024912218490225e-7	4.065602893052034	1	0.54	0.02330655126728502	0.45999999999999996
FOXA3	6.878243568689034e-21	4.064164791650528	1	0.54	2.281994868783961e-16	0.45999999999999996
EPHA5	2.941273789768637e-16	4.059235266149173	1	0.575	9.758264052315408e-12	0.42500000000000004
LINC01663	1.8617739506058982e-7	4.046637990018985	0.875	0.46	0.006176807435925189	0.415
TFAP2B	5.516885864218595e-7	4.044524344758644	1	0.264	0.018303372231718032	0.736
LINGO2	6.850048713799718e-21	4.031762182995898	1	0.747	2.2726406617773327e-16	0.253
AP003900.1	7.228106672066123e-15	4.028332048363368	0.875	0.506	2.3980689505913777e-10	0.369
ERBB3	4.128664054959589e-28	4.0168145300812546	1	0.632	1.3697668735139428e-23	0.368
AC099567.1	1.0090960255147379e-10	4.01371117976251	1	0.425	3.347877883850246e-6	0.575
AC095350.1	8.38217190701767e-14	4.009834865095736	1	0.414	2.7809531735912525e-9	0.5860000000000001
TMCO5A	3.0867409002580716e-11	4.002291931079123	1	0.402	1.0240880284786205e-6	0.598
