gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
MS4A6A	4.557954801922703e-32	5.112942983717195	1	0.839	1.5121926646338952e-27	0.16100000000000003
AC079015.1	2.8079764228067573e-13	5.041835704455331	1	0.529	9.316023377945978e-9	0.471
VSIG4	2.3367212407259325e-37	5.004547071644721	1	0.701	7.752540060356426e-33	0.29900000000000004
CD163	1.8796794616217224e-24	4.954984501391792	1	0.885	6.236212549822389e-20	0.11499999999999999
MS4A14	1.5366637331222983e-17	4.923210131077074	1	0.563	5.09818926737985e-13	0.43700000000000006
CD163L1	1.173147410244497e-16	4.922082947027831	1	0.782	3.892151162968168e-12	0.21799999999999997
VENTX	8.219646147316362e-24	4.825792236668652	1	0.437	2.7270320022951494e-19	0.563
F13A1	5.262184911394879e-13	4.785167038740658	1	0.759	1.745835088053479e-8	0.241
MS4A6E	3.567364870406279e-19	4.729577642394398	1	0.839	1.1835446430546912e-14	0.16100000000000003
LILRB5	4.0304336516483373e-23	4.71463624862032	1	0.69	1.337176972607369e-18	0.31000000000000005
MS4A4E	3.112419648485991e-23	4.712064936394465	1	0.793	1.0326074667781973e-18	0.20699999999999996
SLC1A3	2.2329063606739485e-23	4.53144631955624	1	0.885	7.408113432807959e-19	0.11499999999999999
TLR2	1.6908029494748822e-20	4.509206387298931	1	0.805	5.609576945472817e-16	0.19499999999999995
SIGLEC1	1.1833009973852732e-16	4.472560686844977	1	0.793	3.925837719025121e-12	0.20699999999999996
NLRP3	8.6994818342429e-9	4.422532180184888	1	0.713	2.886227088146767e-4	0.28700000000000003
HMOX1	6.265609818468017e-12	4.416652226727396	1	0.828	2.0787413694731338e-7	0.17200000000000004
CLEC7A	1.6149392324574675e-14	4.366151257119205	1	0.736	5.35788389152414e-10	0.264
FPR3	1.3808794530166494e-19	4.347933783162711	1	0.724	4.581343761273338e-15	0.276
ADORA3	1.0857881166453277e-12	4.338535693278775	1	0.448	3.602319234594204e-8	0.552
LILRB2	1.0075091713143895e-7	4.326604305362547	1	0.575	0.00334261317766975	0.42500000000000004
ALOX15B	2.3729521835687466e-9	4.2205769456896025	1	0.632	7.872743459426031e-5	0.368
CCL3L1	1.5666468996555865e-11	4.20807619581036	1	0.609	5.197664418987339e-7	0.391
CD86	2.342255089377096e-11	4.1922837569726035	1	0.77	7.770899710026391e-7	0.22999999999999998
CSF3R	8.628888449844278e-10	4.184036232215627	1	0.759	2.8628063210048362e-5	0.241
FMN1	2.5640969926378193e-13	4.173874742456097	1	0.885	8.506904592474493e-9	0.11499999999999999
PLA2G7	4.03257892237889e-7	4.172277899706197	1	0.644	0.013378887090776443	0.356
C3AR1	2.5898005248262586e-12	4.1493533969397625	1	0.69	8.592181201216079e-8	0.31000000000000005
IL10	6.700600019950846e-8	4.13521336788064	1	0.448	0.002223058068619092	0.552
FOLR2	8.781169037946988e-26	4.1276431135240506	1	0.655	2.9133284517196723e-21	0.345
LILRA2	1.227621601019631e-6	4.121077931839652	1	0.483	0.0407288018570283	0.517
CCL3	1.5365764888880326e-8	4.086500224730918	1	0.644	5.097899817183826e-4	0.356
FCGR2A	5.907209410109101e-16	4.083811421066088	1	0.816	1.9598348659918962e-11	0.18400000000000005
SLC11A1	5.483623746772149e-16	4.059273763924288	1	0.851	1.819301850466596e-11	0.14900000000000002
TREM2	1.1726239481776099e-7	4.020626975603049	1	0.402	0.0038904144728688565	0.598
MS4A4A	2.0186546226584007e-16	4.0181030910619695	1	0.828	6.697290441593776e-12	0.17200000000000004
DLEU7-AS1	4.0177525364902266e-7	3.9938519764067877	1	0.667	0.013329697590313624	0.33299999999999996
AC100849.1	1.1140976316282044e-8	3.9776869464453837	1	0.793	3.6962417124528936e-4	0.20699999999999996
PRSS36	2.9769050029263214e-8	3.968021740091629	1	0.517	9.876477728208656e-4	0.483
MS4A7	1.8137975582003775e-23	3.966243034669425	1	0.862	6.017636158841393e-19	0.138
CARD9	4.34073940412232e-12	3.962870838124422	1	0.529	1.4401271121056621e-7	0.471
LINC02432	2.9244619546917272e-8	3.9532474574204652	1	0.425	9.702487427080743e-4	0.575
CLEC4E	1.7816047668646423e-9	3.943326680575829	1	0.586	5.9108301350268236e-5	0.41400000000000003
LST1	3.775094053640679e-9	3.9300509062426516	1	0.598	1.252462954176368e-4	0.402
AC008957.2	5.4867602941127264e-17	3.9260086409589805	1	0.839	1.8203424627777793e-12	0.16100000000000003
MARCO	1.3723016317932365e-9	3.9245819810993243	1	0.621	4.5528851238004206e-5	0.379
AC020922.2	2.57450835819573e-14	3.903379089103529	1	0.437	8.541446379985973e-10	0.563
IGSF21	6.423545024007481e-9	3.891268667585921	1	0.782	2.131139532614962e-4	0.21799999999999997
C5AR1	3.3404829694622136e-10	3.8825769324418244	1	0.77	1.1082720347784785e-5	0.22999999999999998
HSPA6	3.846761553267409e-8	3.870879814739838	1	0.506	0.0012762400805275283	0.494
TYROBP	7.189486519140662e-17	3.8664741998111865	1	0.77	2.3852559424552973e-12	0.22999999999999998
CD33	2.5180746454315233e-11	3.8582841811352147	1	0.575	8.354216251148164e-7	0.42500000000000004
