gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CD163	0	5.363640237834929	0.836	0.073	0	0.763
MS4A6A	0	5.34843088457534	0.62	0.036	0	0.584
NLRP3	0	5.31223252269521	0.234	0.017	0	0.21700000000000003
TLR2	0	5.261441770834897	0.465	0.025	0	0.44
MS4A14	0	5.225836972210837	0.201	0.006	0	0.195
CD163L1	0	5.171227588001122	0.675	0.05	0	0.625
VSIG4	0	5.156403706022708	0.447	0.024	0	0.423
F13A1	0	5.011816438848605	0.647	0.096	0	0.551
SLC1A3	0	4.971142929355413	0.88	0.142	0	0.738
MS4A7	0	4.885296588499098	0.69	0.065	0	0.625
MS4A6E	0	4.839439209132392	0.75	0.085	0	0.665
MS4A4E	0	4.745000787520449	0.552	0.045	0	0.507
CLEC7A	0	4.674405896580074	0.354	0.025	0	0.32899999999999996
FPR3	0	4.646609345352611	0.347	0.022	0	0.32499999999999996
SIGLEC1	0	4.593397628816293	0.534	0.048	0	0.48600000000000004
AC008957.2	0	4.564997109141735	0.571	0.055	0	0.5159999999999999
ALOX15B	0	4.497791310485181	0.204	0.014	0	0.18999999999999997
FCGR2A	0	4.4909592391760995	0.455	0.037	0	0.41800000000000004
RGS1	0	4.461562683321128	0.213	0.02	0	0.193
KCNE1	0	4.4468032776105915	0.294	0.021	0	0.27299999999999996
MRC1	0	4.443473175496863	0.857	0.201	0	0.6559999999999999
CSF3R	0	4.438521952413317	0.379	0.024	0	0.355
NCF4	0	4.437296709489403	0.509	0.038	0	0.47100000000000003
IGSF21	0	4.426142541746233	0.442	0.045	0	0.397
CD86	0	4.424514750313673	0.386	0.029	0	0.357
HMOX1	0	4.40947642061254	0.361	0.07	0	0.291
LILRB5	0	4.398884455729203	0.373	0.028	0	0.345
TRPM2	0	4.377602086181813	0.53	0.049	0	0.48100000000000004
AP000812.1	0	4.319648780723781	0.267	0.025	0	0.24200000000000002
FMN1	0	4.303017659562499	0.813	0.134	0	0.6789999999999999
ARHGAP22	0	4.25370435596024	0.45	0.04	0	0.41000000000000003
SLC11A1	0	4.239175518545085	0.441	0.054	0	0.387
STAB1	0	4.221446959493386	0.744	0.128	0	0.616
AC100849.1	0	4.2155838032166795	0.418	0.052	0	0.366
ADAP2	0	4.183734100547058	0.65	0.086	0	0.5640000000000001
MSR1	0	4.18007783200596	0.585	0.081	0	0.504
C5AR1	0	4.14856410525068	0.449	0.059	0	0.39
C3AR1	0	4.142549761402733	0.256	0.02	0	0.23600000000000002
CSF1R	0	4.0965681152635725	0.507	0.053	0	0.454
MS4A4A	0	4.0741965557216115	0.582	0.076	0	0.506
GAS2L3	0	4.063129255424423	0.277	0.023	0	0.254
COLEC12	0	4.05758703609191	0.509	0.077	0	0.432
HS3ST2	0	4.023793195800314	0.242	0.086	0	0.156
AC244021.1	0	4.023067287862106	0.23	0.019	0	0.21100000000000002
NPL	0	3.993100476400625	0.549	0.073	0	0.47600000000000003
EMILIN2	0	3.932161029064015	0.266	0.028	0	0.23800000000000002
LGMN	0	3.8975710735320135	0.555	0.11	0	0.44500000000000006
ATP8B4	0	3.8968309946976163	0.59	0.071	0	0.519
STX11	0	3.877081529292389	0.213	0.026	0	0.187
RNF144B	0	3.875573552988694	0.46	0.06	0	0.4
TBXAS1	0	3.8520060693342497	0.847	0.165	0	0.6819999999999999
AL035446.2	0	3.837498724718067	0.472	0.068	0	0.40399999999999997
PLEK	0	3.8251661389220333	0.252	0.023	0	0.229
RTN1	0	3.808049686810281	0.358	0.043	0	0.315
HCK	0	3.8068882704672466	0.45	0.046	0	0.404
TYROBP	0	3.8053317358487213	0.371	0.036	0	0.335
SLCO2B1	0	3.7911578025434394	0.822	0.202	0	0.6199999999999999
AL163541.1	0	3.7902048307240612	0.271	0.055	0	0.21600000000000003
TMIGD3	0	3.786159772334647	0.221	0.018	0	0.203
GFRA2	0	3.769232237576553	0.233	0.027	0	0.20600000000000002
OTULINL	0	3.6964067692662206	0.291	0.023	0	0.26799999999999996
TNFRSF21	0	3.6852327698896956	0.27	0.029	0	0.24100000000000002
CD83	0	3.685208006304975	0.295	0.046	0	0.249
RCN3	0	3.682537615399601	0.377	0.041	0	0.336
CPVL	0	3.6392742703769683	0.601	0.092	0	0.509
MCTP1	0	3.635542095005645	0.653	0.097	0	0.556
THEMIS2	0	3.6354223337639446	0.498	0.055	0	0.443
KCNQ3	0	3.6082985690797984	0.275	0.062	0	0.21300000000000002
HCLS1	0	3.5598822862407955	0.676	0.094	0	0.5820000000000001
MEIS1-AS2	0	-3.540932980322147	0.03	0.231	0	-0.201
PLAUR	0	3.5344410041816303	0.212	0.039	0	0.173
TGFBI	0	3.523077636475412	0.384	0.052	0	0.332
SAMSN1	0	3.5179238627645946	0.41	0.051	0	0.359
IL18	0	3.5127502726570796	0.377	0.045	0	0.332
LGALS9	0	3.5068900228771303	0.23	0.023	0	0.20700000000000002
ITGAM	0	3.4892488609615033	0.361	0.037	0	0.324
FGF13	0	3.4858262312220214	0.319	0.06	0	0.259
SAT1	0	3.4579185646331387	0.844	0.257	0	0.587
CYBB	0	3.4505598773678665	0.228	0.021	0	0.20700000000000002
GPR141	0	3.4260541631863086	0.263	0.031	0	0.232
GPR34	0	3.4238284043598193	0.22	0.027	0	0.193
SPI1	0	3.4151979832030577	0.334	0.036	0	0.29800000000000004
FRMD4B	0	3.4035387140586	0.858	0.235	0	0.623
FAM20A	0	3.3961707079092704	0.313	0.05	0	0.263
LINC01684	0	3.3912982180272198	0.219	0.021	0	0.198
SRGN	0	3.389301338764964	0.688	0.203	0	0.48499999999999993
ADGRG6	0	3.3780635899298708	0.353	0.034	0	0.31899999999999995
FGD2	0	3.374240566242654	0.562	0.075	0	0.48700000000000004
TNFAIP2	0	3.3618721412399095	0.601	0.116	0	0.485
SLC8A1	0	3.350603441106667	0.72	0.164	0	0.5559999999999999
JDP2	0	3.344922222378109	0.475	0.11	0	0.365
FGL2	0	3.339978718548017	0.325	0.045	0	0.28
CTSB	0	3.3362061183463885	0.777	0.255	0	0.522
TFEC	0	3.328264872336986	0.355	0.033	0	0.32199999999999995
MAFB	0	3.3272290030990406	0.211	0.022	0	0.189
DAPK1	0	3.3118207263449886	0.685	0.127	0	0.558
GABRB2	0	3.28718517401855	0.288	0.066	0	0.22199999999999998
CTTNBP2	0	3.2815731911969186	0.408	0.058	0	0.35
VWA5B2	0	-3.278875562268582	0.039	0.219	0	-0.18
STON2	0	3.2700301906108513	0.302	0.038	0	0.264
SIGLEC9	0	3.26981305982159	0.206	0.023	0	0.183
CMKLR1	0	3.2687099851520207	0.417	0.062	0	0.355
KCNMA1	0	3.2587891964858953	0.718	0.227	0	0.491
PSTPIP2	0	3.2185909745041164	0.424	0.082	0	0.34199999999999997
AC004593.3	0	3.2019756123174843	0.777	0.202	0	0.575
C1QB	0	3.1648801222242557	0.313	0.048	0	0.265
PIK3R5	0	3.163748652157844	0.74	0.15	0	0.59
MPPED2	0	3.135614135515466	0.448	0.138	0	0.31
LY96	0	3.1194424884437435	0.201	0.024	0	0.17700000000000002
C1QC	0	3.1186975602041764	0.233	0.036	0	0.197
AC078880.3	0	-3.11212100945837	0.044	0.217	0	-0.173
SEMA3B	0	-3.1096738065370566	0.118	0.448	0	-0.33
STK19	0	-3.1044887092532787	0.079	0.309	0	-0.22999999999999998
RGL1	0	3.102104891615412	0.67	0.209	0	0.4610000000000001
FES	0	3.0998456040010014	0.242	0.03	0	0.212
APBA1	0	3.0876526323681968	0.298	0.051	0	0.247
PTPRJ	0	3.0806066223499005	0.793	0.209	0	0.5840000000000001
HDAC9	0	3.078048904319832	0.695	0.158	0	0.5369999999999999
RNF135	0	3.074332866967824	0.405	0.066	0	0.339
NFKBID	0	3.0617309649451268	0.355	0.073	0	0.282
LYVE1	0	3.0499483861299708	0.534	0.145	0	0.389
RILPL2	0	3.0495800843775274	0.391	0.106	0	0.28500000000000003
TNXB	0	-3.0416971170781135	0.145	0.472	0	-0.32699999999999996
ELL2	0	3.037803745996216	0.628	0.202	0	0.426
MUC6	0	3.0272348122099957	0.415	0.106	0	0.309
RASSF4	0	3.0210641705357744	0.298	0.042	0	0.256
SH3TC1	0	3.005305066571306	0.385	0.066	0	0.319
C1QA	0	2.9970988990267617	0.381	0.07	0	0.311
SLC9A9	0	2.99563724590319	0.776	0.252	0	0.524
GAS7	0	2.987101396309614	0.657	0.165	0	0.492
TMEM106A	0	2.9812253946781726	0.366	0.057	0	0.309
TBC1D16	0	2.9712215452715616	0.647	0.181	0	0.466
NRROS	0	2.9589957180522566	0.358	0.055	0	0.303
NAMPT	0	2.9587881046439395	0.362	0.131	0	0.23099999999999998
PTAFR	0	2.9513772798730638	0.242	0.037	0	0.205
FCHO2	0	2.9492995540559703	0.69	0.214	0	0.476
MAP3K8	0	2.9457446627613963	0.44	0.086	0	0.354
NR2F2	0	-2.9413913186923324	0.055	0.203	0	-0.14800000000000002
MICALL2	0	-2.9367188663223294	0.066	0.302	0	-0.236
SFMBT2	0	2.9305585588272334	0.836	0.402	0	0.43399999999999994
KCNIP4	7.031011431176863e-232	-2.9285284493153663	0.241	0.331	2.332678662521548e-227	-0.09000000000000002
LIFR	0	-2.927836064725538	0.094	0.279	0	-0.18500000000000003
NR4A3	0	2.927071877554661	0.206	0.075	0	0.131
PDGFD	0	-2.9208169639149055	0.228	0.569	0	-0.34099999999999997
