gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
FHL5	4.6293029095994205e-18	5.737925671795562	1	0.632	1.5358638263177998e-13	0.368
STEAP4	4.047230288686474e-15	4.682993686235072	1	0.839	1.3427495928775116e-10	0.16100000000000003
PTH1R	1.6184288366943342e-9	4.518208408945162	0.875	0.782	5.3694613515007926e-5	0.09299999999999997
TBX2	1.2254909389738928e-8	4.306149889385389	1	0.632	4.065811288233684e-4	0.368
FAM163B	1.3212793321896767e-6	4.249238992755863	0.5	0.333	0.0438360844040569	0.16699999999999998
RCAN2	1.0850246048557216e-7	4.062295482346972	1	0.805	0.0035997861315298276	0.19499999999999995
PRR16	6.6918813929722924e-9	4.022588961975212	1	0.77	2.2201654897464174e-4	0.22999999999999998
PDGFRB	3.5985114044159405e-8	3.7962386752206565	1	0.816	0.0011938781286430767	0.18400000000000005
ADAMTSL2	2.778314856515386e-7	3.7822183076306195	0.625	0.782	0.009217615199461097	-0.15700000000000003
SERPINE1	5.2525341983604836e-8	3.766285543604279	1	0.839	0.0017426332709900576	0.16100000000000003
CNR1	2.4960632445608816e-8	3.7308437282008122	1	0.759	8.281189026479637e-4	0.241
NFASC	1.8285882424192286e-7	3.5833414762406646	1	0.828	0.006066707211874274	0.17200000000000004
PARM1	6.480782556128254e-7	3.5325806680418808	1	0.828	0.021501292286466706	0.17200000000000004
CCDC102B	1.871540845267061e-9	3.431085830921765	1	0.862	6.209211062342528e-5	0.138
PRPS2	5.7687890584965934e-8	3.3810011765692725	0.75	0.828	0.0019139111459374148	-0.07799999999999996
CARMN	2.5140739687336617e-7	3.36817405478171	1	0.828	0.00834094320606767	0.17200000000000004
RAB40A	2.3239431133066274e-7	3.328580817820115	1	0.701	0.007710146067017398	0.29900000000000004
ARHGEF17	1.0104415856106062e-6	3.274988913408243	1	0.828	0.033523420485803083	0.17200000000000004
ACTA2	3.1746843471193533e-10	3.259146220908914	0.875	0.839	1.0532650258437879e-5	0.03600000000000003
CALD1	5.707502786138663e-7	2.9493791182752025	1	0.931	0.018935781993572244	0.06899999999999995
TPM1	5.634452902013139e-10	2.9462791932932992	1	0.897	1.869342439300899e-5	0.10299999999999998
SNCA	1.3562554913268027e-6	-2.675663703091781	0.5	0.793	0.044996488435749334	-0.29300000000000004
TOX	4.518138631309326e-7	-2.6256011736663627	0.75	0.897	0.014989828537094952	-0.14700000000000002
PPP1R16B	1.0234844803359678e-7	-2.566535214243822	0.875	0.931	0.00339561446041064	-0.05600000000000005
TAGLN	2.6195531375343225e-7	2.5613837404852084	1	0.908	0.008690891444397622	0.09199999999999997
BMP6	1.319913950191243e-6	-2.4878166493554525	0.625	0.851	0.04379078512549487	-0.22599999999999998
ITGA6	9.704126234776078e-7	-2.471154734983975	0.75	0.874	0.032195379609116594	-0.124
BCL11A	2.3338183195888337e-7	-2.44326123060672	0.625	0.874	0.007742909038899874	-0.249
ST6GAL1	6.372386440760311e-7	-2.317371260839124	0.75	0.931	0.02114166649451048	-0.18100000000000005
POU2AF1	1.3079897245340284e-6	-2.3113061557595374	0.5	0.839	0.04339517509086546	-0.33899999999999997
LAPTM5	5.626177352481148e-8	-2.300934741015096	0.75	0.92	0.0018665968602326704	-0.17000000000000004
TGFB3	4.095024981612918e-8	2.20840041009005	0.75	0.805	0.0013586064381497177	-0.05500000000000005
IFT43	1.6146930782778036e-9	2.1983142756028684	1	0.885	5.357067225802269e-5	0.11499999999999999
NEDD4L	2.4435168405886843e-7	-2.094745703655418	0.625	0.977	0.008106855822021078	-0.352
AC004687.1	1.3019366650102367e-6	-1.9163680117563522	0.5	0.77	0.04319435273504462	-0.27
EPB41	1.4414857257970327e-7	-1.8839256090220102	1	0.954	0.0047824171924768155	0.04600000000000004
LCP1	9.987939756978681e-8	-1.869049629524955	0.75	0.885	0.003313698773172817	-0.135
MGAT4A	1.2527808122543133e-6	-1.8041059921802385	0.75	0.897	0.04156350900816135	-0.14700000000000002
LIPE-AS1	1.5897614125105873e-7	-1.8012231452321763	0.875	0.897	0.005274351438286375	-0.02200000000000002
CCDC88C	1.1330542138908026e-6	-1.7862786768717513	0.875	0.92	0.03759133965425516	-0.04500000000000004
ATP8A1	2.6181206748360323e-8	-1.705455032047409	0.625	0.908	8.686138962903505e-4	-0.28300000000000003
ABCA7	3.378928357105648e-7	-1.695763245473587	0.75	0.908	0.01121027061036941	-0.15800000000000003
FCMR	9.432816613084883e-7	-1.6908452614629805	0.5	0.805	0.031295255677231716	-0.30500000000000005
SEMA4D	7.591878757965056e-7	-1.67305464343782	0.875	0.931	0.025187576155300664	-0.05600000000000005
LPP	1.9165277114455003e-9	1.654005886284251	1	0.977	6.358463988262736e-5	0.02300000000000002
MIAT	5.903516650632675e-7	-1.605498734876023	0.625	0.851	0.019586097191804028	-0.22599999999999998
FAM49B	1.1848571871342941e-7	-1.5970246401097212	0.875	0.943	0.003931000689755448	-0.06799999999999995
TEC	8.144317132940259e-7	-1.5457275554124577	0.625	0.897	0.0270204009519559	-0.272
SAMD12	3.01379562887806e-7	-1.532116739907325	0.75	0.931	0.00999886975792874	-0.18100000000000005
SNX10	5.565212184081416e-7	-1.5302632277549908	0.75	0.851	0.018463704463126916	-0.10099999999999998
SEPT6	4.903431467224262e-8	-1.376533325134822	1	0.943	0.0016268114578809932	0.05700000000000005
DOCK8	9.8880589087185e-7	-1.3714452279762235	1	0.966	0.03280561304145537	0.03400000000000003
XKR6	5.784665809216093e-7	-1.3554501735285673	0.75	0.931	0.01919178575523623	-0.18100000000000005
LDLRAD4	1.1875757751217269e-6	-1.3197852165308457	1	0.954	0.03940020149121353	0.04600000000000004
SLC16A7	1.3496111786516243e-7	-1.3191631640971861	0.875	0.908	0.004477605007412494	-0.03300000000000003
NUP210	1.233136431368793e-6	-1.2685905722627708	0.875	0.897	0.040911767383522445	-0.02200000000000002
RAPGEF1	1.5041320524410468e-6	-1.1980956484550698	0.875	0.954	0.04990258910383661	-0.07899999999999996
RAB11FIP1	9.830635780011322e-8	-1.1044425137519438	0.625	0.885	0.003261510032734356	-0.26
TMEM154	3.9149232617893024e-7	-1.0866216532712252	0.5	0.828	0.012988540905638368	-0.32799999999999996
DENND2D	1.273883584977649e-6	-1.0029533543619777	0.5	0.816	0.04226363569880346	-0.31599999999999995
KCNN4	8.987071760960437e-7	-0.9470858665985049	0.375	0.77	0.029816407981338444	-0.395
PPP3CA	5.231420528655002e-9	-0.900951934840378	1	0.989	1.73562838879187e-4	0.01100000000000001
ARID3B	5.824756902534318e-7	-0.8741446650858884	0.75	0.897	0.019324795975538107	-0.14700000000000002
GKAP1	1.3520110850385722e-7	-0.692053298204464	0.625	0.874	0.004485567176832471	-0.249
ZMAT1	4.5532355226330257e-7	-0.5711329238816198	0.75	0.839	0.01510626949343959	-0.08899999999999997
MPZL3	1.0459284549188094e-6	-0.053746803959453526	0.375	0.759	0.03470076834884134	-0.384
RASSF7	1.2889339869247822e-6	0.014587709650490055	0.5	0.839	0.0427629628842035	-0.33899999999999997
