gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGLC2	5.947933238353828e-19	8.231545562691409	1	0.818	1.9733458104886495e-14	0.18200000000000005
IGLC3	3.104968486609652e-17	8.027233091172908	1	0.682	1.0301353948024842e-12	0.31799999999999995
IGHG1	5.027289760845836e-15	7.842125676617367	1	0.807	1.667903923955823e-10	0.19299999999999995
IGHGP	1.851280586827908e-11	7.785505837427134	1	0.636	6.141993602918951e-7	0.364
IGHG3	2.314315155121376e-12	7.116282489429451	1	0.818	7.678203390146189e-8	0.18200000000000005
IGHG4	4.833198746222491e-9	7.055968185942815	1	0.682	1.6035103480342358e-4	0.31799999999999995
IGLL5	7.028176489022048e-13	7.020689895835719	1	0.75	2.331738113762845e-8	0.25
IGKC	2.1011734680041054e-12	6.989773548370385	1	0.852	6.97106321479722e-8	0.14800000000000002
MZB1	1.341389027760571e-13	6.658003365950352	1	0.739	4.450326377401247e-9	0.261
JCHAIN	6.2210839202419545e-15	6.628163392799379	0.857	0.727	2.0639690122186733e-10	0.13
IGHG2	5.997578449257858e-8	6.447858378049636	0.857	0.557	0.0019898166021102798	0.29999999999999993
IGHM	5.824087371122295e-8	6.319130967611858	1	0.773	0.0019322574671172437	0.22699999999999998
IGLV3-19	1.1157091377067199e-7	6.087534170489628	0.714	0.239	0.0037015882061695845	0.475
DERL3	9.643823378343485e-14	5.990124830462905	1	0.739	3.1995312822330182e-9	0.261
IGHA1	7.033343022170638e-7	5.973943013079541	1	0.75	0.023334522144655524	0.25
PIM2	1.819412295870843e-19	5.685834426801462	1	0.727	6.036264174010696e-15	0.273
AC092546.1	2.4082122833751212e-8	5.39032726518187	1	0.636	7.989725892553639e-4	0.364
MEI1	1.3133280698762991e-11	5.248044673823702	1	0.852	4.3572285374285977e-7	0.14800000000000002
AMPD1	1.4057109527594537e-8	5.2143618160343594	1	0.58	4.6637272279700394e-4	0.42000000000000004
SLC17A9	5.018806141539919e-13	5.064879196757588	1	0.67	1.665089313578699e-8	0.32999999999999996
ENAM	5.086318392038924e-7	5.001347984202489	1	0.693	0.01687487852926754	0.30700000000000005
JSRP1	2.4127086367428993e-12	4.9226996088689186	1	0.739	8.004643444121917e-8	0.261
AC060809.1	1.1252027548212691e-8	4.8701796903055925	1	0.761	3.733085179670525e-4	0.239
TMC3-AS1	8.432275341767524e-12	4.8651903566431844	1	0.852	2.7975759901382113e-7	0.14800000000000002
TENT5C	4.7181294417841375e-7	4.8490090069817855	1	0.75	0.01565333804900723	0.25
ZNF215	1.2996463791774977e-10	4.750146192788362	1	0.705	4.311836792197185e-6	0.29500000000000004
SPAG4	9.477170068093789e-24	4.7165392683878435	1	0.614	3.1442407134914763e-19	0.386
TNFRSF17	3.2937192094367816e-8	4.703501881342809	0.571	0.364	0.001092757222114841	0.20699999999999996
