gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGHA1	1.088529935188933e-8	-4.598871530827653	0.75	0.769	3.611415765976323e-4	-0.019000000000000017
PPARG	8.215256896947934e-10	-3.9675837905226508	1	0.89	2.725575780700416e-5	0.10999999999999999
EBF1	2.103910102200872e-8	-3.8809889894121428	1	0.912	6.980142546071834e-4	0.08799999999999997
BCL2	1.1229254251556071e-11	-3.5776726363660005	1	0.945	3.725529683038758e-7	0.05500000000000005
CELF2	2.594330124501828e-10	-3.5228689511088076	1	0.967	8.607209054059715e-6	0.03300000000000003
ARHGAP15	4.6214150074229265e-9	-3.5192256138064044	1	0.956	1.5332468570127043e-4	0.04400000000000004
FKBP5	8.043577879005217e-13	-3.3781129924730875	1	0.978	2.6686178329175607e-8	0.02200000000000002
PRKCB	3.707018369031777e-9	-3.36971632060819	1	0.934	1.2298774842936728e-4	0.06599999999999995
PDE3B	5.410413358927855e-8	-3.196480458610759	1	0.857	0.0017950128400914945	0.14300000000000002
IKZF1	2.395018445881393e-8	-3.1583079850901514	1	0.923	7.945952697900698e-4	0.07699999999999996
RCSD1	1.0458750286903153e-9	-3.156438906470763	1	0.945	3.469899582685859e-5	0.05500000000000005
TNFAIP8	6.400711133224115e-10	-3.149566835416408	1	0.901	2.1235639326697647e-5	0.09899999999999998
RAB39B	1.2735113190500502e-6	3.1223570739096633	0.75	0.56	0.04225128503212351	0.18999999999999995
CD36	3.5218887169645136e-7	-3.076768449647086	1	0.879	0.011684570196273166	0.121
PTPRC	2.130402513345884e-7	-2.931440331428216	1	0.901	0.007068036418527639	0.09899999999999998
LAG3	6.976991125898881e-7	2.8887762203490563	1	0.516	0.023147563458394717	0.484
ELMO1	9.2246990903655792e-09	-2.8462279882201265	1	0.989	3.0604784172105884e-4	0.01100000000000001
NAV2	1.210942804984916e-6	-2.804031174329537	1	0.934	0.040175449440984556	0.06599999999999995
PDE4D	1.1263969138303562e-9	-2.7550961423218676	1	0.901	3.7370470410149727e-5	0.09899999999999998
FYN	1.0456220894611728e-8	-2.751123124387475	1	0.901	3.4690604062053327e-4	0.09899999999999998
INPP5D	7.112449986171242e-8	-2.7455571074016456	1	0.945	0.002359697531912033	0.05500000000000005
AC107464.3	6.96920974588122e-7	2.6804786153190037	0.75	0.582	0.023121747173910124	0.16800000000000004
IFNG-AS1	8.488916938477576e-8	-2.6280649614824787	1	0.857	0.0028163679726787056	0.14300000000000002
IRGM	1.1728289829932316e-6	2.624126258913984	1	0.637	0.03891094716876645	0.363
DUSP8	4.653306438130452e-7	2.534538438919744	1	0.615	0.015438274769785402	0.385
APBB1IP	2.412773577643377e-7	-2.5232869223417174	1	0.934	0.008004858898547431	0.06599999999999995
LRFN1	4.880798568796193e-7	2.5216987594029003	1	0.681	0.01619302541169513	0.31899999999999995
CARD11	1.3601579862294307e-6	-2.5165858118201587	1	0.912	0.045125961509133825	0.08799999999999997
TSPAN5	2.288549171335761e-7	-2.4972674255970415	1	0.901	0.007592719585740654	0.09899999999999998
VAV3	8.129927298929015e-9	-2.483201226893115	1	0.934	2.697265979965679e-4	0.06599999999999995
FLI1	1.9296758396377472e-10	-2.475629619504005	1	0.945	6.402085533166154e-6	0.05500000000000005
RHOH	1.1589944028439947e-7	-2.4672709752796087	1	0.868	0.003845195730315521	0.132
