gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
PPARG	0	-5.0985527746312815	0.041	0.23	0	-0.189
PDE3B	0	-5.033263988867933	0.034	0.202	0	-0.168
TNFAIP8	0	-4.92888056679129	0.037	0.249	0	-0.212
IKZF1	0	-4.917931441607072	0.036	0.25	0	-0.214
PRKCB	0	-4.8422662774178065	0.046	0.262	0	-0.21600000000000003
PTPRC	0	-4.712488334876944	0.038	0.241	0	-0.20299999999999999
ARHGAP15	0	-4.40572765704813	0.103	0.379	0	-0.276
RCSD1	0	-4.37945047738334	0.071	0.303	0	-0.23199999999999998
BCL2	0	-4.211192922928066	0.069	0.277	0	-0.20800000000000002
EBF1	0	-4.0179195094828835	0.127	0.344	0	-0.21699999999999997
CELF2	0	-3.978399933176565	0.158	0.459	0	-0.30100000000000005
FYN	0	-3.828579666938631	0.077	0.278	0	-0.201
BACH2	0	-3.784809183687533	0.084	0.224	0	-0.14
CARD11	0	-3.739954186006723	0.069	0.235	0	-0.16599999999999998
RIPOR2	0	-3.6930787295538847	0.104	0.277	0	-0.17300000000000004
FLI1	0	-3.550994937238162	0.08	0.29	0	-0.20999999999999996
APBB1IP	0	-3.4955954175470643	0.103	0.293	0	-0.19
VAV3	0	-3.4695863717056343	0.058	0.208	0	-0.15
C22orf34	0	-3.4514348119753246	0.074	0.243	0	-0.16899999999999998
ETS1	0	-3.4165009451846076	0.085	0.244	0	-0.15899999999999997
INPP5D	0	-3.3711621870547948	0.121	0.329	0	-0.20800000000000002
DOCK11	0	-3.3588768962628253	0.08	0.259	0	-0.179
FMN1	0	-3.2766370740168385	0.116	0.227	0	-0.111
SMAP2	0	-3.1916538694622894	0.126	0.29	0	-0.16399999999999998
PDE4D	0	-3.189478457742515	0.093	0.247	0	-0.154
FKBP5	0	-3.1198243726627317	0.596	0.778	0	-0.18200000000000005
FYB1	0	-3.09060781039428	0.086	0.213	0	-0.127
HDAC9	0	-3.0899674360744758	0.109	0.24	0	-0.131
SLC1A3	0	-3.080623825412018	0.16	0.235	0	-0.07499999999999998
ELMO1	0	-3.0718414478794176	0.239	0.453	0	-0.21400000000000002
