gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGHA1	1.7517428567687528e-7	-4.5741636471535605	0.75	0.769	0.005811757275901691	-0.019000000000000017
DACH1	4.347875963014749e-7	4.461590077190642	1	0.868	0.014424948082494032	0.132
PPARG	1.071485490323262e-8	-3.8946456822804523	1	0.89	3.5548674112454863e-4	0.10999999999999999
BCL2	3.283400429001405e-11	-3.5834091818924905	1	0.945	1.089333760329796e-6	0.05500000000000005
ARHGAP15	8.327979333397623e-9	-3.538549153063962	1	0.956	2.762973703441329e-4	0.04400000000000004
PRKCB	8.925543089186716e-9	-3.3710274478764264	1	0.934	2.961227430699477e-4	0.06599999999999995
PDE3B	1.856407381735126e-7	-3.180441149049596	1	0.857	0.006159002770382628	0.14300000000000002
RCSD1	2.3889453239427398e-9	-3.1658136661626637	1	0.945	7.925803901244828e-5	0.05500000000000005
IKZF1	8.893564131012596e-8	-3.1348164062784942	1	0.923	0.002950617771746049	0.07699999999999996
TNFAIP8	5.460040522765219e-8	-2.991797874382187	1	0.901	0.0018114776442378167	0.09899999999999998
PTPRC	2.21656621488442e-7	-2.965686369807413	1	0.901	0.007353901731122041	0.09899999999999998
ELMO1	3.329619559407631e-8	-2.8152515684964126	1	0.989	0.0011046678812246696	0.01100000000000001
INPP5D	1.579474509855494e-7	-2.741668687179355	1	0.945	0.005240222581347573	0.05500000000000005
FYN	3.354550189594821e-8	-2.7332374128997596	1	0.901	0.0011129391164018739	0.09899999999999998
PDE4D	1.0572327093914553e-8	-2.690537563222028	1	0.901	3.5075809599480315e-4	0.09899999999999998
ZSCAN1	1.4071186701003704e-6	2.659649126524668	0.5	0.593	0.04668397611791999	-0.09299999999999997
IFNG-AS1	1.984531367220643e-7	-2.629231542679844	1	0.857	0.006584079717027927	0.14300000000000002
CARD11	7.98625564636365e-7	-2.5973072281771357	1	0.912	0.026496000357940683	0.08799999999999997
SMAP2	1.0327391949328498e-6	-2.554595883059141	1	0.934	0.03426318827028716	0.06599999999999995
APBB1IP	3.7479365948603573e-7	-2.542525487303193	1	0.934	0.012434529240768207	0.06599999999999995
RHOH	9.637273874339635e-8	-2.4973114608239446	1	0.868	0.0031973583532896605	0.132
VAV3	6.424467607500092e-8	-2.4394073198317736	1	0.934	0.0021314456181403055	0.06599999999999995
TMC8	4.899738913403772e-8	-2.424660876870126	0.75	0.901	0.0016255863792999695	-0.15100000000000002
FLI1	2.595100663101504e-9	-2.422555352621252	1	0.945	8.60976546997186e-5	0.05500000000000005
ETS1	7.776812081622795e-7	-2.386318425668769	1	0.912	0.025801129443199948	0.08799999999999997
UGCG	1.1845242983719601e-7	2.3732908095843164	1	0.923	0.003929896264708652	0.07699999999999996
C22orf34	1.9277877907884998e-7	-2.349880661996121	1	0.923	0.006395821553499006	0.07699999999999996
MAML2	1.3418217389138299e-11	-2.348867483794778	1	0.978	4.451761983194413e-7	0.02200000000000002
NEDD9	6.896403380706819e-7	-2.3347185866250775	1	0.934	0.022880197496171012	0.06599999999999995
