gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
SOCS1	2.46580152819013e-13	6.903271656946276	0.857	0.716	8.180789730076394e-9	0.14100000000000001
VASN	2.760631715780958e-20	6.535037117671746	0.714	0.864	9.158947843446484e-16	-0.15000000000000002
SNHG19	2.7414719955638243e-18	5.905730943694456	0.857	0.807	9.0953816396821e-14	0.04999999999999993
PPARG	4.252092524939194e-7	-4.778853309343054	0.571	0.92	0.014107167369990764	-0.3490000000000001
EBF1	1.643371659701908e-7	-4.6305556528029035	0.571	0.943	0.005452214155393021	-0.372
NACA2	1.5329651173470523e-7	4.622252587744416	0.429	0.386	0.005085918369822315	0.04299999999999998
AC011468.3	7.272057913499241e-7	4.349464400950454	0.714	0.443	0.02412650653961643	0.27099999999999996
CELF2	6.799945956689157e-10	-4.317998426141061	0.571	1	2.2560180700507614e-5	-0.42900000000000005
RPL39	1.19644041103057e-21	4.1432326137729785	0.714	0.898	3.969430351676122e-17	-0.18400000000000005
RPS27A	8.474463343699603e-18	3.9134316963390208	1	0.898	2.811572703539217e-13	0.10199999999999998
RPS12	1.1932193471816759e-15	3.8669072091595655	0.857	0.943	3.958743828144646e-11	-0.08599999999999997
RPL17	2.756730538390711e-19	3.7055822822945252	0.714	0.864	9.146004907218862e-15	-0.15000000000000002
NAV2	9.072926024759472e-7	-3.6963312747673864	0.571	0.966	0.0301012466723445	-0.395
RPS10-NUDT3	2.5431766703630012e-18	3.6851498588436944	0.714	0.898	8.437497239263329e-14	-0.18400000000000005
RPS10	1.7367846724759568e-19	3.6506455665584863	0.714	0.943	5.762130507873482e-15	-0.22899999999999998
RPS27	1.9211167372862567e-16	3.617436504692167	0.714	0.955	6.3736889992946136e-12	-0.241
RPS15A	1.5890145293565717e-16	3.6119810216040227	0.714	0.92	5.271873504046298e-12	-0.20600000000000007
AL136454.1	7.831473238050206e-7	3.5856907617461764	0.714	0.636	0.02598247876187917	0.07799999999999996
RPS23	1.924016999176886e-15	3.577303426824526	0.857	0.92	6.383311198169155e-11	-0.06300000000000006
RPL18A	2.5425805969161517e-15	3.5635750223451614	0.714	0.886	8.435519646388716e-11	-0.17200000000000004
OOEP	1.5862412416445311e-15	3.4672144095026765	0.714	0.886	5.262672567404061e-11	-0.17200000000000004
RPS3	9.348643817019943e-18	3.4630864362249687	0.857	0.943	3.1015995591727063e-13	-0.08599999999999997
RPS3A	1.8683204957200543e-18	3.43784857018066	0.714	0.943	6.198526908650425e-14	-0.22899999999999998
RPL30	1.2307980621599214e-16	3.427450881683148	0.714	0.932	4.083418730827971e-12	-0.21800000000000008
RPL21	1.7001508351230935e-18	3.426705163687227	0.714	0.943	5.6405904256878874e-14	-0.22899999999999998
RPL9	6.076078688320206e-19	3.4132467971882154	0.857	0.943	2.0158606264239945e-14	-0.08599999999999997
RPS5	3.5674055172696907e-16	3.3474810816861043	0.714	0.909	1.1835581284645654e-11	-0.19500000000000006
PDE4D	8.926605002336978e-7	-3.346233942053899	0.571	0.932	0.029615797416253392	-0.3610000000000001
RPS25	2.920718441165665e-16	3.309964379911799	0.857	0.966	9.690067572255326e-12	-0.10899999999999999
RPL32	1.4477899575287254e-15	3.243096221500462	0.714	0.92	4.803332742093052e-11	-0.20600000000000007
RPL29	5.420159088003945e-16	3.225165271023854	0.714	0.943	1.798246180627069e-11	-0.22899999999999998
RPS16	9.192183328702684e-17	3.214450338345006	0.714	0.92	3.0496906629636893e-12	-0.20600000000000007
AC016708.1	1.906777626958105e-11	3.21084302115396	0.714	0.818	6.326116132958905e-7	-0.10399999999999998
RPS28	4.57299223259622e-15	3.206890358061687	0.857	0.943	1.517181633008448e-10	-0.08599999999999997
RPS20	2.9195376480601595e-14	3.2033191967531156	0.857	0.932	9.686150054969191e-10	-0.07500000000000007
RPS21	9.798588786725072e-14	3.1987607628683414	0.714	0.909	3.250877801771777e-9	-0.19500000000000006
RPS29	1.9882925533941517e-16	3.1977802034442884	0.714	0.955	6.596558204395777e-12	-0.241
RPL38	3.6357739876500043e-13	3.1716557020553946	0.857	0.92	1.206240735882642e-8	-0.06300000000000006
