gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
EBF3	0	5.3945696633275135	0.393	0.034	0	0.359
ITGBL1	0	5.143710477855215	0.434	0.042	0	0.392
PDZRN4	0	4.98297745033119	0.575	0.095	0	0.48
RSPO3	0	4.9602053752931194	0.318	0.027	0	0.291
CXCL12	0	4.5828532731566565	0.394	0.087	0	0.30700000000000005
FGF7	0	4.567079364866268	0.225	0.019	0	0.20600000000000002
COL1A2	0	4.4990288586644684	0.563	0.09	0	0.473
PODN	0	4.491129510148875	0.268	0.02	0	0.24800000000000003
DCLK1	0	4.480064003600657	0.452	0.076	0	0.376
CFD	0	4.411846779547347	0.269	0.052	0	0.21700000000000003
CCDC80	0	4.405171313347869	0.269	0.036	0	0.233
IGFBP6	0	4.387092167135394	0.325	0.058	0	0.267
COL1A1	0	4.324980964247972	0.413	0.072	0	0.34099999999999997
PTGDS	0	4.318783913172736	0.238	0.055	0	0.183
OLFML2B	0	4.316248419502511	0.252	0.033	0	0.219
COL3A1	0	4.310166759096909	0.414	0.067	0	0.347
SMOC2	0	4.23912288337817	0.356	0.042	0	0.314
COL16A1	0	4.217700365038192	0.32	0.032	0	0.28800000000000003
PAPPA	0	4.1752537265540255	0.419	0.082	0	0.33699999999999997
LEPR	0	4.075374071892708	0.544	0.176	0	0.36800000000000005
NLGN1	0	4.048381507580812	0.415	0.06	0	0.355
EYA1	0	4.045058775465364	0.296	0.038	0	0.258
COL12A1	0	3.993722216833703	0.416	0.059	0	0.357
NTRK2	0	3.9593624786965407	0.297	0.033	0	0.264
COL11A1	0	3.9155324248924415	0.209	0.039	0	0.16999999999999998
MXRA8	0	3.852240287885277	0.241	0.027	0	0.214
CLSTN2	0	3.7632230742595967	0.257	0.059	0	0.198
HMCN1	0	3.760628178054196	0.337	0.053	0	0.28400000000000003
COL6A3	0	3.7370004270548107	0.339	0.051	0	0.28800000000000003
CNTNAP2	0	3.6918571623290237	0.405	0.154	0	0.251
TRABD2B	0	3.6439676438583284	0.307	0.064	0	0.243
EFEMP1	0	3.6110593724877713	0.281	0.053	0	0.22800000000000004
CDH11	0	3.548344872663109	0.516	0.088	0	0.42800000000000005
ABI3BP	0	3.499862426524553	0.46	0.095	0	0.365
IGFBP2	0	3.499082776834295	0.227	0.051	0	0.17600000000000002
IGF2	0	3.4808045982629117	0.339	0.102	0	0.23700000000000004
ANGPT1	0	3.470207634550731	0.416	0.117	0	0.299
ZNF385D	0	3.432691685185441	0.25	0.069	0	0.181
PAK3	0	3.4226925274705353	0.232	0.039	0	0.193
ABCA9	0	3.404723013802997	0.418	0.082	0	0.33599999999999997
BOC	0	3.404241884199153	0.338	0.055	0	0.28300000000000003
CP	0	3.3930682835752544	0.242	0.057	0	0.185
FBLN1	0	3.3428403703068583	0.485	0.12	0	0.365
ABCA10	0	3.340779063821847	0.462	0.131	0	0.331
AEBP1	0	3.330370627480133	0.445	0.079	0	0.366
ELN	0	3.3139921678818167	0.445	0.099	0	0.346
WDR86	0	3.3000439250640223	0.273	0.041	0	0.232
SLC7A2	0	3.2929395636287015	0.305	0.055	0	0.25
FBN1	0	3.2747367368575566	0.511	0.181	0	0.33
COL6A1	0	3.1910198026044347	0.426	0.109	0	0.317
DYNC1I1	0	3.1373760990926582	0.293	0.069	0	0.22399999999999998
VWA5B2	9.733622073901006e-272	-3.12708173496028	0.031	0.209	3.2293237954581366e-267	-0.178
COL6A2	0	3.1184742814514266	0.417	0.093	0	0.32399999999999995
LINC01088	0	3.0916946063835207	0.411	0.107	0	0.304
FRAS1	0	3.0703185068945986	0.236	0.058	0	0.178
C1R	0	3.0561860228084026	0.443	0.111	0	0.332
MRC2	0	3.04391983400273	0.471	0.098	0	0.373
NPR3	0	3.029487091700826	0.253	0.059	0	0.194
NCKAP5	0	3.0126010935816634	0.372	0.129	0	0.243
PRELP	0	3.009865850549947	0.223	0.046	0	0.177
NR5A1	0	-3.0054929439516314	0.047	0.26	0	-0.21300000000000002
ABCA6	0	2.991032590697472	0.422	0.102	0	0.32
NRXN3	0	2.9884802186758836	0.305	0.115	0	0.19
TWIST2	0	2.985188848452963	0.257	0.042	0	0.215
CHSY3	0	2.984380286668443	0.327	0.095	0	0.232
IGF1	0	2.9731525626917477	0.222	0.059	0	0.163
PRICKLE1	0	2.9581357031261963	0.436	0.111	0	0.325
MID1	0	2.9576441256519668	0.326	0.107	0	0.21900000000000003
FHL1	0	2.95488876013352	0.354	0.077	0	0.27699999999999997
RGS6	0	2.9396178341823864	0.383	0.092	0	0.29100000000000004
BICC1	0	2.918464069831343	0.635	0.172	0	0.463
MAMDC2-AS1	0	2.916942797789523	0.305	0.071	0	0.23399999999999999
COL5A2	0	2.893809495635349	0.38	0.096	0	0.28400000000000003
PCSK5	0	2.890988767469919	0.642	0.257	0	0.385
SLC5A3	0	2.8815318058415347	0.201	0.074	0	0.127
AC078880.3	2.1242911986747287e-241	-2.874147509076057	0.039	0.208	7.047760909843147e-237	-0.16899999999999998
PDE1A	0	2.8463722563721854	0.459	0.111	0	0.34800000000000003
CFH	0	2.8099206237885497	0.433	0.094	0	0.33899999999999997
MYLK	0	2.801568836288501	0.467	0.113	0	0.35400000000000004
MAMDC2	0	2.7822963613448906	0.407	0.11	0	0.297
FN1	0	2.779865889332121	0.295	0.097	0	0.19799999999999998
SETBP1	0	2.7746009885322653	0.693	0.205	0	0.488
LTBP2	0	2.771091846055791	0.275	0.058	0	0.21700000000000003
SYTL4	0	2.761090194285834	0.248	0.052	0	0.196
MFGE8	0	2.746289598408257	0.431	0.117	0	0.314
AL445426.1	0	2.742510665976554	0.337	0.077	0	0.26
EYA4	0	2.7418461965104752	0.214	0.05	0	0.16399999999999998
CTGF	0	2.7397559179114364	0.327	0.094	0	0.233
KCNT2	0	2.7313320295690913	0.283	0.056	0	0.22699999999999998
PDE1C	0	2.730117389741009	0.297	0.082	0	0.21499999999999997
COL5A3	0	2.718484320431872	0.201	0.053	0	0.14800000000000002
NAV2	0	2.694694624986793	0.828	0.304	0	0.524
FMO2	0	2.693314616710457	0.254	0.07	0	0.184
HGF	8.178598983e-315	2.690567050842132	0.21	0.073	2.713413784498e-310	0.137
DANT2	0	2.6879473347568816	0.211	0.044	0	0.16699999999999998
USP53	0	2.685672176986619	0.554	0.26	0	0.29400000000000004
CYP11B1	0	-2.6779628042483123	0.334	0.629	0	-0.295
ANO3	0	2.6734004935489595	0.248	0.061	0	0.187
NXPH1	0	-2.6729813092819876	0.133	0.394	0	-0.261
GGT5	0	2.665640817236399	0.457	0.118	0	0.339
MYO6	0	2.6635385194255425	0.43	0.192	0	0.238
NEGR1	0	2.6488651474140767	0.455	0.152	0	0.30300000000000005
LTBP1	0	2.6231227419639267	0.46	0.132	0	0.328
RALYL	0	-2.613312598312495	0.294	0.591	0	-0.297
ADAMTSL3	0	2.602336745586642	0.389	0.139	0	0.25
COL8A1	0	2.592256543589879	0.396	0.096	0	0.30000000000000004
TENM2	0	2.573087168431109	0.357	0.146	0	0.211
ZFPM2	0	2.5696159176894096	0.499	0.232	0	0.267
LAMA4	0	2.5610510290478326	0.501	0.115	0	0.386
CYYR1	2.3764573733381404e-283	-2.5562290762802755	0.066	0.27	7.884372627523948e-279	-0.20400000000000001
EDIL3	0	2.549025100515108	0.297	0.106	0	0.191
CALD1	0	2.544298976360804	0.811	0.349	0	0.4620000000000001
FSTL1	0	2.542132070042902	0.527	0.239	0	0.28800000000000003
GREB1	0	2.537737068705702	0.294	0.099	0	0.19499999999999998
ADAMTS1	0	2.5295401160388176	0.234	0.055	0	0.17900000000000002
VCAM1	0	2.5285139843277067	0.245	0.089	0	0.156
EYA2	0	2.52436502338017	0.362	0.101	0	0.261
CYP1B1	0	2.5072614055000493	0.23	0.07	0	0.16
ABCB1	0	-2.50626888608652	0.113	0.384	0	-0.271
COL14A1	0	2.495746583680652	0.252	0.099	0	0.153
BNC2	0	2.487863848266217	0.641	0.27	0	0.371
EBF1	0	2.4873293679230244	0.699	0.28	0	0.41899999999999993
DCN	0	2.485104436433782	0.514	0.264	0	0.25
CDH13	0	2.4764014902355322	0.35	0.123	0	0.22699999999999998
PDLIM7	1.3725e-320	2.4600367390908957	0.216	0.05	4.5535909e-316	0.16599999999999998
ECM2	0	2.4559039615134606	0.384	0.122	0	0.262
ST6GALNAC3	9.688991132043756e-151	-2.454578847526348	0.118	0.239	3.214516587878157e-146	-0.121
SEMA6A	0	-2.453022415267834	0.111	0.402	0	-0.29100000000000004
PPM1H	1.85490573153e-312	2.443342583051037	0.239	0.083	6.154020745491879e-308	0.15599999999999997
CNTN6	2.8221519038848423e-202	-2.443032907460507	0.051	0.207	9.363053371518741e-198	-0.156
LINC01197	1.0737494e-317	2.4332891152482774	0.217	0.052	3.5623784164e-313	0.165
ADGRA2	1.029689463301863e-300	2.4279928765440077	0.209	0.05	3.416200732396591e-296	0.15899999999999997
MGP	0	2.4237784990049316	0.487	0.239	0	0.248
MCOLN3	2.8558528946513775e-266	-2.416220569930579	0.077	0.28	9.474863148584875e-262	-0.203
GLI2	0	2.403214423844417	0.238	0.063	0	0.175
RGN	0	-2.3991843012443788	0.116	0.356	0	-0.24
SFRP4	2.4650743163455326e-269	2.3977457439999004	0.211	0.089	8.178377059339574e-265	0.122
SMAD6	0	2.397332388829836	0.235	0.054	0	0.181
FDXR	0	-2.3926078852350017	0.103	0.359	0	-0.256
ARHGAP28	3.929526403464e-311	2.3830148355441785	0.242	0.076	1.3036989748772745e-306	0.16599999999999998
PDE5A	0	2.3768915063885956	0.41	0.162	0	0.24799999999999997
PDGFRB	0	2.3642676561560267	0.388	0.09	0	0.29800000000000004
MCRIP2	1.3286753851633394e-209	-2.361677932854268	0.049	0.211	4.408146325356411e-205	-0.16199999999999998
EFNA5	0	2.3596933530403494	0.326	0.084	0	0.242
NNMT	0	2.357264289081692	0.322	0.109	0	0.21300000000000002
CYP1B1-AS1	0	2.35589585436772	0.29	0.114	0	0.176
LINC01807	0	-2.352583177685586	0.144	0.411	0	-0.267
GRAMD1B	0	-2.337326692060892	0.339	0.636	0	-0.297
FRMD5	0	-2.3318344607574897	0.185	0.443	0	-0.258
RAP1GAP	2.60401197391383e-259	-2.3303658447373268	0.073	0.269	8.639330525853914e-255	-0.196
PIK3R1	0	2.3242988780428666	0.654	0.279	0	0.375
RAI14	0	2.3234622538949248	0.431	0.172	0	0.259
KCNIP4	2.2686194611166664e-82	-2.323073756808934	0.223	0.327	7.526598786146764e-78	-0.10400000000000001
SCARB1	0	-2.322574211000683	0.386	0.668	0	-0.28200000000000003
AL139220.2	1.4626337826958878e-205	-2.3202221479419998	0.065	0.228	4.852580100850147e-201	-0.163
PLA2R1	0	2.3192689043791264	0.412	0.128	0	0.284
DPP10	0	-2.3097848680224993	0.207	0.488	0	-0.281
GPX3	7.394393175430222e-222	2.308010072285073	0.206	0.076	2.4532378238124846e-217	0.13
MRC1	8.913213592553255e-138	-2.301992108823699	0.17	0.278	2.9571368736013935e-133	-0.10800000000000001
MICAL2	0	2.2975859093339768	0.337	0.135	0	0.202
COL21A1	3.4856997978130862e-307	2.2904073207124065	0.206	0.046	1.1564506219204477e-302	0.15999999999999998
LMO7	0	2.288764698921746	0.395	0.164	0	0.231
