gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
LAMA2	3.7567998462526644e-12	-5.578437119225111	1	1	1.2463934849912465e-7	0
CYP17A1	2.123545953967422e-41	-4.47218988599433	0.75	1	7.045288411477716e-37	-0.25
CYP11B1	1.011765759608703e-9	-4.275751055434083	0.25	1	3.356735260653794e-5	-0.75
GML	4.039908892216706e-24	-3.7689081030954457	0.5	1	1.3403205731707366e-19	-0.5
IGF1	2.6966148035959515e-8	-3.593003279197909	1	1	8.946558933890288e-4	0
SCARB1	1.4083378439915459e-14	-3.518427201473817	1	1	4.672442465010752e-10	0
ZFPM2	8.313196572998482e-24	-3.442358355789377	1	1	2.758069227023706e-19	0
MEG3	1.18860777474357e-22	-3.4384179336178313	1	1	3.943444014266742e-18	0
RIMS2	7.914592397952922e-17	-3.2697951101650347	1	1	2.625824319868841e-12	0
SLIT2	1.5257368165324387e-8	-3.261266338330472	1	1	5.061937036209672e-4	0
AL109930.1	3.9479225177451395e-17	-3.2518294256091522	1	1	1.309802253712305e-12	0
ABCC3	9.396893143475498e-9	-3.2473594488502426	1	1	3.1176072382108663e-4	0
FOXP2	2.0898572238679319e-16	-3.1789368020347903	1	1	6.933519311626637e-12	0
CALN1	5.277500487190138e-11	-3.164971725973437	1	1	1.750916336635072e-6	0
RALYL	5.331179519548659e-19	-3.048081549610994	1	1	1.7687254292006586e-14	0
PGM5	1.0472122023392123e-22	-2.9973138351882893	1	1	3.474335923700804e-18	0
WDR63	7.123154701066485e-10	-2.9876606016309157	0.75	1	2.3632490351728277e-5	-0.25
MEIS2	1.1662599708254443e-14	-2.9785441724267714	1	1	3.869300705207577e-10	0
NRCAM	1.1104886914092903e-9	-2.976221774568246	1	1	3.684268331488602e-5	0
AOX1	2.052700879186691e-7	-2.9667286136651088	1	1	0.006810245706877684	0
PDK4	1.2425894827049912e-8	-2.9421111908333635	1	1	4.122539126770349e-4	0
ZBTB7C	3.5476524540164563e-10	-2.8833597398341793	1	1	1.1770046546690397e-5	0
ANGPT1	2.6351221166282473e-13	2.7889905057946374	1	1	8.742544646337536e-9	0
PCDH15	2.9440245504328253e-9	-2.760414697832865	1	1	9.767390250970984e-5	0
ARHGEF26	1.2708462648662052e-9	-2.732144767184326	1	1	4.216286652946609e-5	0
GREB1L	9.601109656497516e-7	-2.7304934315578904	1	1	0.03185360150736181	0
PSD3	1.6662994267482767e-19	-2.7304055345377036	1	1	5.528281608122758e-15	0
MCF2L2	5.609661896036293e-17	-2.714166195370506	1	1	1.861117527247961e-12	0
SRPX	2.017385966428524e-9	-2.693820773422188	1	1	6.693081420819914e-5	0
TSHZ2	3.4859477658578162e-15	-2.6848699376206393	1	1	1.1565328902786477e-10	0
GRAMD1B	1.5448524554524505e-11	-2.6501819772227915	1	1	5.125356991454596e-7	0
PDE10A	2.629279174234533e-13	-2.648221209159697	1	1	8.72315951635791e-9	0
GPHN	7.220187249111885e-12	-2.6381071101363727	1	1	2.39544152363785e-7	0
LINC01807	3.623825964246107e-18	-2.6291575679624377	1	1	1.2022767401579308e-13	0
CYP21A2	2.0804513995231302e-16	-2.6140646000586556	0.5	1	6.902313608197889e-12	-0.5
STAR	1.7004426618578393e-17	-2.610044824510188	0.75	1	5.641558619245753e-13	-0.25
MUM1L1	2.818651173812994e-12	-2.600566663584531	0.5	1	9.35143899935937e-8	-0.5
MEIS1	2.023801160805972e-8	-2.594128798358402	1	1	6.714365111205973e-4	0
ST3GAL5	3.307147338793877e-8	-2.5882893344510984	1	1	0.0010972122725916445	0
SCD5	1.2608210725329755e-12	-2.5862156523548583	1	1	4.183026072342653e-8	0
HSD3B2	4.973901772488779e-15	-2.5748929084369623	0.25	1	1.6501913910586024e-10	-0.75
FRMD5	1.3131852708578381e-9	-2.5451404053831244	1	1	4.35675477312505e-5	0
MAP3K15	1.0239943657933106e-12	-2.533113736525601	1	1	3.397306107392467e-8	0
SLC16A9	1.279559463598606e-12	-2.484648060509853	1	1	4.245194432381095e-8	0
AC024145.1	2.0622062971572101e-13	-2.481674400678488	1	1	6.841781832078476e-9	0
LSAMP	2.5325677627839203e-07	-2.469043737109833	1	1	0.008402300066588212	0
MEG8	4.4631238485293496e-14	-2.4612947528881732	0.75	1	1.4807305992265823e-9	-0.25
CYP11A1	5.64071076773458e-15	-2.456416709126044	1	1	1.8714186114113016e-10	0
CECR2	3.0052927446720905e-7	-2.447602382081393	1	1	0.009970659738998595	0
ATRNL1	1.752005248098733e-8	-2.44675304229362	0.75	1	5.812627811617166e-4	-0.25
TMEM45A	3.7909801451519006e-15	-2.444581516015674	1	1	1.2577334827570461e-10	0
DEPTOR	3.4144541060873987e-7	-2.415363147635298	1	1	0.011328134387766163	0
AC004593.3	8.39131038535264e-7	-2.412924292398191	1	1	0.027839850465484456	0
C7	7.79158870859717e-10	-2.4015760792648244	1	1	2.5850153858512832e-5	0
LINC00290	6.349545593055047e-9	-2.4004349056494236	0.5	1	2.1065887414078728e-4	-0.5
CDH20	4.6048870607842266e-10	-2.397168421037695	0.75	1	1.527763380156383e-5	-0.25
KCNK2	3.248912243129931e-12	-2.3842866573915424	0.75	1	1.0778916149032171e-7	-0.25
DHCR24	9.709354031560525e-12	-2.384067846982117	1	1	3.2212723870508354e-7	0
AC098864.1	8.515697240667751e-7	-2.37148298357179	1	1	0.028252528735363398	0
ABLIM1	3.6005229849978644e-8	-2.3671030013710816	1	1	0.0011945455107327415	0
NAV3	5.2241414480253385e-8	2.3667473683625553	1	1	0.0017332134082113666	0
APOC1	2.984637054563354e-9	-2.3648639620040166	0.75	1	9.90213035592484e-5	-0.25
MAMSTR	2.0311969504791164e-11	-2.3576526605222026	1	1	6.738902122604565e-7	0
NGF-AS1	3.9195077415355314e-8	-2.3531447826961163	1	1	0.0013003750834092432	0
SHISA6	2.223440024912104e-9	-2.352542169781705	1	1	7.376706970650888e-5	0
P3H2	4.219133052813899e-11	-2.3254505614840184	1	1	1.3997817729320673e-6	0
GATA6	3.603968742371756e-13	-2.3069260137746155	1	1	1.1956887096566775e-8	0
LEMD1	5.846549912349329e-10	-2.298010468381401	0.75	1	1.939709864420137e-5	-0.25
NOVA1	7.796307529978127e-10	-2.2916012136567985	0.75	1	2.5865809492208434e-5	-0.25
FDX1	5.208073511711386e-7	-2.291181670151752	1	1	0.017278825489804864	0
KIAA1217	1.1361717849475365e-6	-2.2905174112641187	1	1	0.03769477130920442	0
PROX1	9.766981865056774e-11	-2.24783798891382	0.5	1	3.240391573369886e-6	-0.5
NCAM1	2.6748421814449097e-7	-2.2376467861717164	0.75	1	0.008874323905379776	-0.25
ARNTL2	5.76036535084322e-9	-2.1924034648396336	0.75	1	1.911116412449255e-4	-0.25
PEG10	6.254466086736552e-11	-2.1811652919944855	0.5	1	2.075044213596586e-6	-0.5
LINC02388	7.40701924051891e-9	-2.1685924304793622	1	1	2.4574267734269584e-4	0
AFF2	8.561831894803124e-7	-2.164355165122129	1	1	0.028405589677388324	0
NXPH1	1.8251505103860031e-7	-2.1600788083038203	0.75	1	0.006055301848307643	-0.25
SLC39A1	1.4238196206570719e-6	-2.156360710970094	1	1	0.047238063554539675	0
FADS2	2.725070501602896e-7	-2.1507117601066317	1	1	0.009040966403167927	0
