gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	7.550513247180203e-59	-5.6752769850467075	0.25	1	2.505033780016976e-54	-0.75
CYP17A1	7.800321219943995e-41	-4.699483021391228	0.5	1	2.587912571140819e-36	-0.5
GML	6.2200977598799014e-24	-4.088161261945088	0.5	1	2.063641833795355e-19	-0.5
RARRES2	5.716433999417504e-19	-3.9989465263412134	0.75	1	1.8965413079867452e-14	-0.25
DHCR24	1.2738538648912695e-30	-3.8152655276745806	1	1	4.226264967549765e-26	0
MEG3	9.798656793923963e-23	-3.7090600082051	1	0.667	3.2509003645201533e-18	0.33299999999999996
SCARB1	3.736904952817852e-35	-3.70322799286627	1	1	1.239792956196379e-30	0
HSD3B2	5.935985815000863e-28	-3.6328624783695114	0.25	1	1.9693820138428362e-23	-0.75
STAR	2.08048954745628e-31	-3.555181186150345	0.75	1	6.902440171595701e-27	-0.25
FDX1	2.6202727693992543e-24	-3.4455572470877405	1	1	8.693278967035906e-20	0
MGST1	7.632452128647617e-10	-3.3224260374717023	1	1	2.5322186427214197e-5	0
SEMA3B	2.8890180242656624e-9	-3.2046149573833294	0.25	1	9.584895099106188e-5	-0.75
TNXB	6.831748024558247e-8	-3.162695069106652	1	1	0.0022665690421076897	0
TBX3	8.754582527021313e-20	-3.121359012039272	0.25	1	2.904507844989861e-15	-0.75
GRAMD1B	2.4948858693206357e-7	-3.105387510308274	1	1	0.008277282848645073	0
ALAS1	7.497246692033327e-15	-3.074378944861036	1	1	2.4873615350158966e-10	0
COX6C	8.681369145697022e-8	-3.0207072270702	1	1	0.002880217841467901	0
CYP11A1	3.3610150541552005e-23	-2.982654397099542	0.75	1	1.1150839645170708e-18	-0.25
RALYL	1.2938097790492197e-11	-2.9823929853602094	1	0.667	4.292472703951596e-7	0.33299999999999996
PDE10A	2.4637856893730325e-11	-2.9620690430508647	1	1	8.17410178163291e-7	0
SLC16A9	8.474540944826681e-16	-2.9476976555659027	0.75	1	2.811598449265148e-11	-0.25
AOX1	6.86196557192586e-10	-2.8948981323912903	1	1	2.2765943177978423e-5	0
GSTA1	1.3362286909174293e-9	-2.85319312500377	0.25	1	4.433205927856755e-5	-0.75
EPS8L2	5.51044864655942e-7	-2.771437256834157	1	0.667	0.01828201547469019	0.33299999999999996
FADS2	3.736943682110394e-9	-2.751596847358444	1	1	1.2398058054137654e-4	0
LINC00290	5.059551954852102e-9	-2.7237897192722573	0.75	1	1.678607552061282e-4	-0.25
FADS1	1.645307312479925e-8	-2.7077153006790757	0.75	1	5.458636070614646e-4	-0.25
APOE	1.0397870027385344e-6	-2.6974833915681042	1	1	0.034497013389856356	0
TMEM97	8.218797536427631e-11	-2.6329309138394246	0.5	0.667	2.726750458660595e-6	-0.16700000000000004
MC2R	1.1523647773223522e-9	-2.620435129488434	0.5	0.667	3.823200621722368e-5	-0.16700000000000004
PEBP1	2.2359924188947804e-10	-2.576615129054014	1	1	7.418352048167213e-6	0
C7	7.530245001568487e-14	-2.5661443205759222	1	0.667	2.498309384170377e-9	0.33299999999999996
HSPB1	1.1352825002198976e-7	-2.5470192251736785	1	1	0.0037665267509795542	0
AKR1B1	1.5442126060200887e-10	-2.5326869307389948	1	1	5.123234162992848e-6	0
FAM198B	4.5429623445692905e-10	-2.515680507493232	0.75	1	1.5072186170577536e-5	-0.25
FRMD5	1.2405217496137582e-6	-2.5052628477927716	1	1	0.04115679008693566	0
PRKG1	7.07637445511377e-11	-2.480516898206079	1	1	2.3477287529730953e-6	0
MRPL51	5.326851043448408e-7	-2.4534747585150023	0.75	1	0.017672893706848783	-0.25
PAPSS2	6.5845648681149206e-9	-2.3775469589810125	1	0.667	2.184561086294487e-4	0.33299999999999996
SDC3	3.573918695607444e-7	-2.3547573538827153	1	1	0.011857190056416817	0
FBXL7	1.3277964980932078e-11	-2.3497511361711356	1	1	4.4052304417238355e-7	0
C3	2.509446862910502e-10	-2.3496778259601028	1	1	8.325591857078173e-6	0
TSPAN12	4.99687277989739e-8	-2.3400268610727384	0.75	1	0.001657812482186557	-0.25
