gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGFBP5	3.9950548470633584e-86	-5.50558938431325	1	1	1.3254393466102104e-81	0
CYP11B1	4.537520503608665e-33	-5.040259917653001	0.25	1	1.5054131774822468e-28	-0.75
CYP17A1	4.50568007906105e-36	-4.793754473753826	0.75	1	1.4948494798300846e-31	-0.25
AC007563.2	1.8199350241617028e-57	-4.723843972830199	1	1	6.037998429661281e-53	0
GML	5.869438951561207e-60	-3.96011470615323	0.75	1	1.9473037609594617e-55	-0.25
IGKC	9.514727437362078e-7	3.8475794533468894	1	0.75	0.03156701121893617	0.25
MEG3	1.4534181353078472e-57	-3.7720709303214055	1	1	4.822005347510844e-53	0
FABP4	1.5379577271633966e-19	3.7229904572109946	1	0.75	5.102482351410001e-15	0.25
ADAMTS18	1.0996640086986425e-11	3.4223974956435654	1	1	3.648355281659486e-7	0
HSD3B2	2.1335507934601286e-22	-3.2443283362844193	0.25	1	7.078481467462668e-18	-0.75
STAR	4.007370279857629e-16	-3.227011552879227	1	1	1.3295252377483656e-11	0
ANO2	2.792841675609986e-15	3.1460870391764253	1	1	9.26581082717125e-11	0
RARRES2	4.448381373566518e-24	-3.069435683973073	0.75	1	1.4758394883081635e-19	-0.25
GRAMD1B	6.336405719659505e-26	-3.042141770088753	1	1	2.1022293256114342e-21	0
FCN3	6.45269063195288e-13	-2.9774640120846225	1	1	2.140809170963007e-8	0
CD96	4.498242096638012e-32	2.9750880582651145	1	1	1.4923817804015932e-27	0
DHCR24	2.571484454419437e-22	-2.9647535170289445	1	1	8.531413974427367e-18	0
PEBP1	3.596374131340529e-21	-2.9633987372324446	1	1	1.1931690455548472e-16	0
AKR1B1	8.921622649901552e-23	-2.959346678942204	0.75	1	2.9599267465578378e-18	-0.25
MCTP1	7.205855111876023e-17	2.958164656219016	1	1	2.390686550467108e-12	0
IGHA1	1.656245544192243e-9	2.952616882258755	1	0.75	5.494925841966605e-5	0.25
SCARB1	3.3806156138691314e-23	-2.949845193565478	1	1	1.1215868422133616e-18	0
CYP21A2	5.469849533036232e-21	-2.9415630829979387	0	1	1.8147319795754308e-16	-1
APOC1	1.940177796851794e-8	-2.9074442769397835	0.75	1	6.436927876615196e-4	-0.25
SLCO2A1	4.5713639431218976e-11	-2.8879141782863482	1	1	1.5166414154095519e-6	0
RALYL	5.059671102463201e-7	-2.8752997066175787	1	1	0.01678647081664216	0
APOE	2.976957561251183e-7	-2.859099317610818	1	1	0.00987665210096305	0
VWF	6.357688455703719e-12	2.839949821642106	1	1	2.109290298948823e-7	0
ADAMTS9	1.2651087657570716e-10	2.8134459399998804	1	1	4.1972513521522366e-6	0
CYP11A1	3.241549355390751e-31	-2.8057339494071587	0.75	1	1.0754488296379894e-26	-0.25
FGF13	1.1789653087244922e-17	2.7631576350003635	1	1	3.911453204755248e-13	0
NOV	3.937664230094547e-20	-2.744119323455549	0.75	1	1.306398861618468e-15	-0.25
PDGFD	2.2922642368714628e-32	-2.7262295382487967	1	1	7.605045058668452e-28	0
AL117190.1	1.1724758775581736e-32	-2.723352578177413	1	1	3.8899232189747526e-28	0
FCN2	5.255100998193665e-8	-2.711818672050555	0	1	0.0017434848581707122	-1
MEIS2	2.254666696156757e-20	-2.7028424303419647	1	1	7.480307697839273e-16	0
CASC15	2.1674844959108724e-20	2.6785655138025	1	1	7.1910633120835015e-16	0
CCSER1	6.765880014394486e-15	2.6563112974662215	1	1	2.2447160123756587e-10	0
AC007998.3	7.906916539700692e-11	2.6268632111274184	1	1	2.6232777003764985e-6	0
DDIT4	8.4682836992283155e-16	-2.61494585809716	1	1	2.8095224828929784e-11	0
CD74	3.789728015080942e-15	-2.610202826062368	1	1	1.2573180635634042e-10	0
STAB2	5.477167894497079e-37	2.605104360619337	1	1	1.817159992357296e-32	0
LIFR	1.5941559571067586e-13	-2.585547878298676	1	1	5.288931218893093e-9	0
PLXNA4	9.652455665054307e-23	2.537334736298675	1	1	3.2023952159950675e-18	0
GSTA1	4.1676870345676306e-18	-2.527278870960096	0.25	1	1.3827135274585027e-13	-0.75
RAB3C	1.2815380411031348e-24	2.5223559948882164	1	1	4.25175875896787e-20	0
FAM167B	4.610685229993223e-8	-2.509396136022895	1	1	0.0015296870387548516	0
