gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
SLC25A21	5.140251961751864e-10	6.322291651548101	1	0	1.7053813933504157e-5	1
CYP17A1	3.624855854191669e-7	-6.182579661148811	0	1	0.0120261842674517	-1
ANK1	1.7197178000635463e-10	6.0090026726858845	1	0.25	5.705507745270827e-6	0.75
CYP11B1	2.509636438431468e-14	-5.471610076997436	0	1	8.326220811784081e-10	-1
TMEM131L	8.741379681342176e-8	5.439271369154794	1	0	0.0029001275368788935	1
RIMS2	5.2334279607742596e-8	-5.281521025927288	0.5	1	0.0017362943945460761	-0.5
LTBP1	2.8239473892604716e-7	5.1981703416435145	1	0	0.009369010253349467	1
KAT2B	6.760043019535928e-7	5.115880292052387	1	0	0.022427794725914347	1
CA2	7.048245520740915e-7	5.101466524316862	1	0	0.023383964164162132	1
RHCE	5.573075729235746e-7	5.096869267111626	1	0	0.018489793346885434	1
TFR2	7.701954154036086e-7	5.046744938259872	1	0	0.02555277329684552	1
MEG3	4.376768488547968e-9	-4.987154212409637	0.5	1	1.4520804814455594e-4	-0.5
DENND4A	1.067289329977226e-6	4.986156362824526	1	0	0.03540945810065443	1
GML	1.0295390373118411e-8	-4.8286423073990274	0.5	1	3.415701664089495e-4	-0.5
SLIT2	1.2650055794794984e-9	-4.560008939607526	0.5	0.75	4.196909011039132e-5	-0.25
PEBP1	5.531722560637707e-7	-4.524962624149075	0.5	1	0.01835259593942772	-0.5
ST5	1.8322919258456392e-7	-4.410691856149874	1	0.75	0.0060789949223780775	0.25
FAM198B	2.2421375305952747e-7	-4.299833771114239	0.25	0.75	0.007438739685255943	-0.5
BORCS7-ASMT	1.3555281593067716e-6	-4.245039029481309	0.5	0.75	0.04497235774132076	-0.25
DHCR24	2.844697800144854e-7	-4.217448850084644	0.25	0.75	0.009437853891540582	-0.5
TBC1D4	5.898168252166897e-9	-4.200244881912235	0.5	1	1.9568352810214114e-4	-0.5
RALYL	7.55005603184542e-8	-3.902286136642099	0.75	0.75	0.002504882089685355	0
FBXL7	4.294013119354312e-8	-3.902074888944177	1	0.75	0.0014246247326081803	0.25
ABCC3	1.4869411493669222e-7	-3.860006844251293	1	0.75	0.004933224651254638	0.25
LINC01807	5.7881271288487925e-8	-3.84957246323726	0	0.75	0.0019203269375381638	-0.75
FDX1	9.02690386425754e-7	-3.818166071991558	0.75	0.75	0.029948558950447242	0
SOX6	1.7162696145098204e-7	3.7687352700649575	1	0.5	0.005694067700059232	0.5
SPECC1	3.4725405253336746e-7	3.767228485010584	1	0.5	0.011520847700899532	0.5
SCARB1	1.1854216353453146e-7	-3.4817762214758643	1	0.75	0.00393287335958515	0.25
SLC4A1	1.4143193934736967e-9	3.4528905529126637	1	0.25	4.6922874517276834e-5	0.75
MGST1	1.960762532203845e-7	-3.44196175462692	1	0.5	0.006505221853092697	0.5
LRMDA	3.185405354102045e-8	-3.2907432736063438	1	1	0.0010568219343304356	0
CA1	9.161024669004293e-12	3.24485617296537	1	0.25	3.039353154435554e-7	0.75
SLC25A37	1.4385119496705546e-16	2.7559271466600266	1	0.75	4.772551095421999e-12	0.25
EPB41	4.209893991172795e-8	2.7170789186707087	1	0.25	0.0013967165294513982	0.75
RABGAP1L	4.9152730456873804e-09	2.3408611168277216	1	0.5	1.6307401383677022e-4	0.5
JAZF1	4.5910811054170373e-8	2.306460896546171	1	0.75	0.0015231829783442104	0.25
CD36	5.412263664818327e-7	2.30070940834575	1	0.25	0.017956267160767765	0.75
SPTB	7.007973360597207e-7	2.2992852138527238	1	0.25	0.023250353218453354	0.75
TFRC	2.2518372246376482e-10	1.5270111805444322	1	0.75	7.470920360180325e-6	0.25
