gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
KIAA1217	6.5370628617983765e-68	-5.390578831056358	1	1	2.1688013456588475e-63	0
LSAMP	2.8190838069205094e-43	-5.175568555346903	1	1	9.352874346220174e-39	0
PPARG	3.0745375878697314e-70	5.085269233341752	1	1	1.0200393355275407e-65	0
ZFPM2	8.346904629427706e-50	-5.031807548619907	1	1	2.76925254890523e-45	0
EBF3	3.3033876536687316e-15	4.983015328310807	1	1	1.095964921857675e-10	0
CYP11B1	1.3511312779337142e-41	-4.887205628349262	0.25	1	4.482648240800683e-37	-0.75
AC092691.1	3.2220965965599536e-65	-4.707590989007709	1	1	1.0689949878406958e-60	0
CYP17A1	5.371613665297912e-54	-4.655184255952976	0.5	1	1.7821402657358883e-49	-0.5
EYA1	4.4066387658749185e-50	4.534480014137622	1	1	1.4619905433543215e-45	0
CXCL12	1.5026551172027428e-9	4.508262433517149	1	1	4.9853588823435396e-5	0
RSPO3	3.055191828755148e-52	-4.421460174557272	1	1	1.0136209930260954e-47	0
IGFBP6	2.5229349678855982e-14	-4.374783243223046	1	1	8.370341342954049e-10	0
ANGPT1	1.1589940486365101e-55	4.365105010282823	1	1	3.8451945551613497e-51	0
CNTNAP2	7.233369257060416e-19	4.2732958909488055	1	1	2.3998149184149343e-14	0
ZBTB7C	1.7159651980380374e-41	-4.105248743523611	1	1	5.693057737530797e-37	0
RUNX1	5.801550755879021e-33	4.082373427432632	1	1	1.9247804942779828e-28	0
PAK3	2.2873162733789992e-54	-3.922166401369889	0.75	1	7.588629200189506e-50	-0.25
GML	2.2152589900789055e-59	-3.920320132122171	0.75	1	7.349564751384785e-55	-0.25
NCKAP5	4.591799978314951e-68	3.8861586523465723	1	1	1.5234214788055513e-63	0
NRXN3	1.685874998848659e-9	3.849808604473557	1	1	5.593227483680196e-5	0
NR2F1	8.788543883432231e-69	-3.7943542205127954	1	1	2.9157752042063113e-64	0
RAPGEF5	7.953227722633907e-51	-3.766973063619458	1	1	2.6386423615382514e-46	0
ITGBL1	1.1819189491041346e-7	3.7505811090375603	1	1	0.0039212524974427876	0
AC139491.7	2.7436023917571007e-15	-3.735464895187682	0.75	1	9.102449655132534e-11	-0.25
LEPR	4.1979806478804904e-22	3.720603167762318	1	1	1.3927640395473104e-17	0
FOXP2	1.196658352538305e-35	-3.719501408693265	1	1	3.970153416216334e-31	0
IGKC	1.1504317919230909e-8	3.7126258213456955	1	0.75	3.8167875560632386e-4	0.25
PDE1C	2.397673353674775e-36	3.6934599793068985	1	1	7.954760885486801e-32	0
PAPPA	1.3584576899015617e-50	3.692628292680627	1	1	4.506955077786411e-46	0
LINC02388	5.137360484915134e-10	-3.6342120207290103	1	1	1.704422088080294e-5	0
SCARB1	2.2606805426162824e-29	-3.6322952197359744	1	1	7.50025983623804e-25	0
MICAL2	1.3307101600801935e-53	-3.613642347509376	1	1	4.414897098098058e-49	0
HHIP	4.0051038723130906e-12	-3.5843956331821794	0.75	1	1.328773311717314e-7	-0.25
VCAN	1.5051178349272043e-17	3.5609247387064777	1	1	4.993529440937985e-13	0
TRABD2B	6.025024522225486e-54	3.5462651776002874	1	1	1.9989223857387495e-49	0
TNXB	1.9140650364135687e-28	-3.543034627563754	1	1	6.350293571309297e-24	0
EDIL3	5.100770581238197e-54	3.5219281617508793	1	1	1.6922826557373966e-49	0
SCN7A	8.218198832165019e-12	-3.521339505631958	0.5	1	2.7265518265473884e-7	-0.5
VCAM1	3.249333452354775e-67	3.4911346767579055	1	1	1.0780313594877436e-62	0
MEIS1	9.598579210496704e-31	-3.490243736169907	1	1	3.1845206246664914e-26	0
USP53	8.527693518668376e-26	-3.4720541019817044	1	1	2.829232878688607e-21	0
LPL	1.9787688470277879e-35	3.4308576060383436	1	1	6.564961403784092e-31	0
GREB1	2.6763270645806466e-42	-3.3995887475936195	1	1	8.879250302159212e-38	0
ADAMTS17	1.1013203323825435e-10	3.382839673473637	1	1	3.6538504667455643e-6	0
