gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	0	-9.930216642311477	0.001	0.735	0	-0.734
CYP21A2	0	-9.515701266163482	0.001	0.34	0	-0.339
HSD3B2	0	-9.324119341774985	0.001	0.373	0	-0.372
NOV	0	-8.921972768300176	0.001	0.345	0	-0.344
CYP17A1	0	-8.861830544418105	0.004	0.744	0	-0.74
DLK1	0	-7.771195139395284	0.001	0.202	0	-0.201
FCRL1	0	7.193899893606379	0.271	0.003	0	0.268
TBX3	0	-6.835394740984914	0.003	0.244	0	-0.241
RARRES2	0	-6.7136819616357615	0.004	0.358	0	-0.354
STAR	0	-6.712858021309605	0.004	0.364	0	-0.36
GSTA1	0	-6.674970592328726	0.003	0.236	0	-0.23299999999999998
IGFBP5	0	-6.524477393835815	0.031	0.54	0	-0.509
IGHM	0	6.119530475145452	0.251	0.003	0	0.248
BLK	0	6.000164805274212	0.268	0.008	0	0.26
AL117190.2	0	-5.503726657993167	0.008	0.272	0	-0.264
GML	0	-5.502863505070539	0.023	0.63	0	-0.607
CYP11A1	0	-5.331419224373598	0.011	0.345	0	-0.33399999999999996
DHCR24	0	-5.250818804288643	0.015	0.445	0	-0.43
P2RX5-TAX1BP3	0	5.175096825913899	0.205	0.009	0	0.19599999999999998
MEG3	0	-5.090376999721586	0.034	0.632	0	-0.598
IFI27	0	-5.079900335602984	0.012	0.244	0	-0.23199999999999998
PAX5	0	5.05489248282164	0.232	0.016	0	0.21600000000000003
RGN	0	-5.013999716944927	0.007	0.231	0	-0.224
AC007563.2	0	-4.971051172902645	0.064	0.429	0	-0.365
IGHA1	0	4.9289703259084146	0.25	0.006	0	0.244
SEMA3B	0	-4.881822443958323	0.01	0.215	0	-0.205
MT2A	0	-4.788674571655543	0.019	0.434	0	-0.415
HSPA1A	0	-4.7718153397221705	0.018	0.253	0	-0.23500000000000001
CASKIN2	0	-4.749396773311183	0.015	0.249	0	-0.23399999999999999
SLCO2A1	0	-4.689534005000573	0.054	0.474	0	-0.42
MEIS2	0	-4.663218046993414	0.069	0.609	0	-0.54
GATA6	0	-4.658765195129995	0.015	0.256	0	-0.241
HYAL2	0	-4.6440444883213186	0.021	0.307	0	-0.286
FAM129C	0	4.614696629442131	0.265	0.023	0	0.24200000000000002
RAMP3	0	-4.548720055046898	0.021	0.273	0	-0.252
AL117190.1	0	-4.451805686389461	0.02	0.322	0	-0.302
IGKC	0	4.3877367676356025	0.485	0.028	0	0.45699999999999996
CD34	0	-4.377295246997415	0.016	0.226	0	-0.21000000000000002
BANK1	0	4.320235018164538	0.367	0.059	0	0.308
PODXL	0	-4.31006199053698	0.041	0.378	0	-0.337
GSTA4	0	-4.205351258051033	0.02	0.293	0	-0.27299999999999996
BACH2	0	4.147412264814345	0.509	0.086	0	0.42300000000000004
MEG8	0	-4.109740964439775	0.021	0.314	0	-0.293
LIFR	0	-4.091632759575467	0.061	0.425	0	-0.364
DCN	0	-4.049591004594055	0.02	0.257	0	-0.23700000000000002
CLU	0	-3.9850563987556074	0.018	0.327	0	-0.309
IFITM3	0	-3.9791684935725313	0.045	0.364	0	-0.319
KCNK3	0	-3.916292360413829	0.018	0.247	0	-0.229
KDR	0	-3.874066170097189	0.029	0.274	0	-0.24500000000000002
KCNIP4	0	-3.8715567196144276	0.208	0.595	0	-0.387
IL7R	0	3.8329225719304953	0.347	0.033	0	0.31399999999999995
CD9	0	-3.8217761163192416	0.029	0.3	0	-0.27099999999999996
LINC01807	0	-3.8159357187629372	0.023	0.266	0	-0.24300000000000002
LINC00290	0	-3.7806753569998572	0.019	0.217	0	-0.198
AOX1	0	-3.7764869533388823	0.025	0.292	0	-0.26699999999999996
ALAS1	0	-3.7699630300194347	0.022	0.271	0	-0.24900000000000003
SLC16A9	0	-3.757892161811565	0.024	0.282	0	-0.25799999999999995
SLIT2	0	-3.748275522704416	0.064	0.485	0	-0.421
EFNB2	0	-3.7461054406568515	0.022	0.227	0	-0.20500000000000002
HSPB1	0	-3.7365073483399853	0.024	0.254	0	-0.23
PGM5	0	-3.7315531322156703	0.048	0.424	0	-0.376
IGHG1	0	3.711790002720009	0.212	0.01	0	0.20199999999999999
PTPRB	0	-3.702218348845225	0.102	0.533	0	-0.43100000000000005
MEIS1	0	-3.6525555197777506	0.04	0.389	0	-0.34900000000000003
NPR1	0	-3.6124798942933136	0.024	0.211	0	-0.187
NR2F2	0	-3.609630586117161	0.031	0.284	0	-0.253
APOC1	0	-3.59325154632545	0.034	0.293	0	-0.259
RALYL	0	-3.5794457026554567	0.076	0.547	0	-0.47100000000000003
PBX1	0	-3.555943288421682	0.126	0.671	0	-0.545
SCARB1	0	-3.5508953025859906	0.142	0.762	0	-0.62
IGHG3	0	3.546926530908039	0.23	0.017	0	0.21300000000000002
CNN3	0	-3.536356261258175	0.026	0.236	0	-0.21
PEBP1	0	-3.528530958402297	0.048	0.448	0	-0.4
AC119674.2	0	-3.494716108254826	0.049	0.301	0	-0.252
CCL14	0	-3.4612387260112625	0.042	0.336	0	-0.29400000000000004
SULT2A1	0	-3.454435250514777	0.022	0.204	0	-0.182
CAMK4	0	3.4263103542807816	0.318	0.052	0	0.266
SEMA6A	0	-3.383745868808889	0.074	0.471	0	-0.39699999999999996
ARHGEF15	0	-3.357076954841565	0.026	0.225	0	-0.199
MGP	0	-3.3504428189440763	0.035	0.336	0	-0.30100000000000005
FAM198B	0	-3.3488105866092344	0.043	0.381	0	-0.338
PCDH12	0	-3.3412353599470497	0.032	0.223	0	-0.191
IKZF3	0	3.3352781205522484	0.401	0.055	0	0.34600000000000003
