gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	1.812005132404159e-73	-5.417911678389143	0.75	1	6.011689427777278e-69	-0.25
CYP17A1	2.347144117811747e-66	-4.8240412063925415	1	1	7.787120039664034e-62	0
MT2A	1.2122414949537425e-16	-4.081895060646258	1	1	4.0218536078080316e-12	0
GML	1.2839082371223625e-60	-3.7375813081280844	1	1	4.259622358300862e-56	0
MEG3	9.770973312752321e-26	-3.719570455457121	1	1	3.2417158159718373e-21	0
HSD3B2	3.21008221417343e-70	-3.606496928721409	0.75	1	1.065008976196319e-65	-0.25
SCARB1	1.0415142158071325e-26	-3.5816506281690974	1	1	3.4554317137833237e-22	0
STAR	1.020549498324022e-47	-3.508474869573399	1	1	3.385877070589608e-43	0
DHCR24	2.9956433563162297e-49	-3.3701335638314833	1	1	9.938645963250355e-45	0
CYP21A2	8.083689481827892e-41	-3.3110416481602094	0.75	1	2.6819256593860397e-36	-0.25
RARRES2	1.7766959286990545e-51	-3.309004064147448	1	1	5.894544082644853e-47	0
APOE	1.2939459018143239e-9	-3.2673264518785508	0.75	1	4.2929243184493825e-5	-0.25
PEBP1	5.0831056851942734e-52	-3.2623806613099644	1	1	1.686421973176904e-47	0
SEMA3B	5.122182890463223e-27	-3.205745792922184	1	1	1.6993866175689835e-22	0
AKR1B1	1.6308346508706133e-39	-3.1631815581067686	1	1	5.410620121193433e-35	0
CDH19	7.23536363485626e-8	-3.1602039156284243	1	1	0.0024004765931362614	0
FDX1	5.29924836490852e-35	-3.1516526693295335	1	1	1.7581316300257e-30	0
CYP11A1	3.0393194378584754e-34	-3.124884353094955	1	1	1.0083550098983064e-29	0
NOV	1.1964510377438452e-29	-3.096446987729008	0.5	1	3.969465607922755e-25	-0.5
AL117190.1	6.272290092399977e-11	-3.060319446714123	1	1	2.0809576839555404e-6	0
GSTA4	7.868444420231614e-32	-2.939008052505491	1	1	2.6105138053002425e-27	0
MT-CO3	3.347545898743551e-29	-2.897651889820777	1	1	1.1106153028261479e-24	0
RGN	3.1810238735712554e-9	-2.8837379749709013	0.75	1	1.0553682905347354e-4	-0.25
CLU	1.8538967948746677e-35	-2.8568403465014818	0.75	1	6.150673396355685e-31	-0.25
TBX3	2.125604870629165e-31	-2.8502554765050405	0.75	1	7.052119279286381e-27	-0.25
MEG8	9.837894927380075e-24	-2.848898753573605	1	1	3.2639184000568875e-19	0
GSTA1	2.9125577089798023e-40	-2.839194529938971	0.75	1	9.66299271108229e-36	-0.25
MT-CO1	2.7500482192795107e-20	-2.7912027795569694	1	1	9.123834977103632e-16	0
RALYL	1.55622945353255e-10	-2.7231479662318336	1	1	5.163102457984941e-6	0
SORBS2	4.78399270858771e-14	-2.7112244675326016	1	1	1.5871852609281444e-9	0
APOC1	1.4949136664448824e-18	-2.6973545260839926	1	1	4.9596750711641864e-14	0
MT-ATP6	2.217339972754327e-25	-2.6696405317982235	1	1	7.35646882760703e-21	0
AL117190.2	6.698643749937202e-27	-2.598945530953835	0.75	1	2.2224090369166655e-22	-0.25
MT-ND4	1.0860428865194616e-16	-2.5909712733335386	1	1	3.603164484605618e-12	0
ALAS1	6.3793064050533185e-47	-2.5698558981278232	1	1	2.1164624860045396e-42	0
ABCC3	2.474569784933651e-16	-2.552929974413915	1	1	8.209880175474373e-12	0
CCND3	6.550824296376386e-26	2.535406129336452	1	1	2.1733669768087936e-21	0
DLK1	2.5500738707925653e-12	-2.5097200650943208	0.5	1	8.460380081128494e-8	-0.5
FCRL1	5.998922924595566e-16	2.480948810431708	1	0.75	1.990262658693071e-11	0.25
MEIS1	1.4599474200142934e-14	-2.4551833490679953	1	1	4.843667555381422e-10	0
NCAM1	1.8066558862835838e-11	-2.454589320777539	1	1	5.993942233923046e-7	0
IGHG1	4.9164662474078e-7	2.444198300501367	1	1	0.01631136006902486	0
MT-CYB	4.1478356169999056e-17	-2.4327169131502937	1	1	1.3761274226520588e-12	0
RPL41	8.441907793088423e-12	-2.4096558097468277	1	1	2.800771748512946e-7	0
GRAMD1B	6.243822811178392e-15	-2.3730294230712334	1	1	2.071513094064655e-10	0
PBX1	8.569408177952861e-15	-2.3696752459207593	1	1	2.8430725511994206e-10	0
MT-ND3	1.1266412924950349e-20	-2.369490300696348	1	1	3.7378578161107773e-16	0
MT-ND1	2.231972734500731e-17	-2.3686540677638046	1	1	7.405015941253075e-13	0
SLC16A9	8.067176653538033e-21	-2.3669866425462125	1	1	2.676447198344313e-16	0
IGHM	1.189947466470098e-11	2.357782318029391	1	0.5	3.947888709507844e-7	0.5
MT1E	7.475850767982551e-11	-2.348266479959033	0.75	1	2.480263009293571e-6	-0.25
FAM198B	4.495223830787334e-17	-2.3445951452929146	1	1	1.491380410340314e-12	0
AOX1	4.7819676412129687e-20	-2.307327585555261	1	1	1.5865134043252265e-15	0
MT-CO2	1.2542858709086055e-13	-2.3049481259523388	1	1	4.161344233913481e-9	0
FBXL7	5.9719679573835474e-15	-2.24731651170271	1	1	1.9813198092211396e-10	0
CD247	2.4373913126842986e-16	2.243174219953417	1	1	8.086533158092697e-12	0
PAPSS2	1.8613431856072648e-24	-2.2276993488490504	1	1	6.175378286889222e-20	0
RPS8	5.619653749497923e-15	-2.225678289310942	1	1	1.864432524470926e-10	0
TNFAIP8	2.354603794520492e-13	2.2098475711157994	1	1	7.811869009080635e-9	0
HDHD3	9.748498519698795e-17	-2.201588801290187	1	1	3.234259353880469e-12	0
C2CD2	9.812040789989585e-13	-2.1993505757676504	1	1	3.255340772894844e-8	0
IKZF1	8.72056044406891e-18	2.165501167960649	1	1	2.8932203385287423e-13	0
IGFBP5	6.603702752933235e-29	-2.161144173567419	1	1	2.1909104623406596e-24	0
FADS2	1.7587268468795464e-32	-2.157224135399594	1	1	5.834928059892271e-28	0
MGP	4.251685196702362e-7	-2.1507556126372047	1	1	0.014105815977099426	0
TMC8	8.387613383471771e-11	2.1422196390022563	1	1	2.7827584922344296e-6	0
MYL9	5.133363393281995e-30	-2.136602706136764	1	1	1.7030959729891674e-25	0
LINC01807	4.105312801582112e-21	-2.13341778145785	1	1	1.3620196281808974e-16	0
HSPE1	4.314345400984358e-18	-2.1117366958643204	1	1	1.4313703736845805e-13	0
PTPRC	1.594620189694974e-17	2.065233572076232	1	1	5.290471403351015e-13	0
RHOH	9.503596496294417e-16	2.0640751702113773	1	1	3.153008209575599e-11	0
MCOLN3	8.475896968135142e-14	-2.059592248758439	1	1	2.812048337118196e-9	0
PDGFD	3.6913673835675365e-13	-2.0589093309455166	1	1	1.2246849568462016e-8	0
IKZF3	7.980626823195664e-13	2.0539377308951177	1	1	2.6477325611316255e-8	0
WHRN	2.292702700097502e-20	-2.0383533469243043	1	1	7.606499748113482e-16	0
NEAT1	3.372295586044015e-8	-2.037740148646793	1	1	0.0011188265065818228	0
RIMS2	3.5285105734493792e-9	-2.0377396429872467	1	1	1.1706539529533006e-4	0
FDXR	6.319253235734082e-28	-2.029337558021928	1	1	2.0965386460194964e-23	0
SOAT1	1.041834314011198e-18	-2.029072009754472	1	1	3.456493703594952e-14	0
KCNK3	1.0220971957363747e-19	-2.0262263400439826	1	1	3.3910118662945704e-15	0
KCNQ1OT1	2.892704862253648e-13	-2.0230435220921876	1	1	9.597126921498928e-9	0
BORCS7-ASMT	5.091480473529935e-17	-2.0145824905654153	1	1	1.6892004767030265e-12	0
IFITM10	1.1229411156619663e-17	-2.0075994908008905	0.75	1	3.725581739431706e-13	-0.25
PEG10	4.97783573488328e-21	-2.002194797867356	0.75	1	1.6514965617622257e-16	-0.25
TBC1D4	4.3356655789208825e-17	-1.9915421542658192	1	1	1.4384437691185813e-12	0
LRMDA	1.9009583347900663e-9	-1.9876111259454472	1	1	6.306809467333003e-5	0
NDRG2	1.6920989994568478e-13	-1.9866754557565105	1	1	5.613876850497984e-9	0
ST3GAL5	1.0902573605907051e-10	-1.9800308811511669	1	1	3.617146845231782e-6	0
SLIT2	1.329766880911404e-10	-1.9561542827378204	1	1	4.4117675807997655e-6	0
KCNQ1	1.826842651851973e-14	-1.953707385049142	1	1	6.060915866049291e-10	0
NR5A1	2.380302574341491e-16	-1.95342781440662	0.75	1	7.897129850892764e-12	-0.25
PEG3	1.4204041735613954e-22	-1.9472708739514597	0.5	1	4.7124749266246414e-18	-0.5
COBLL1	4.816767296115955e-12	-1.939292887689859	1	1	1.5980588858323903e-7	0
MAP3K5	1.359536245203794e-10	-1.9326764212191263	1	1	4.510533400712628e-6	0
RCSD1	1.2444367977309154e-13	1.926058971054925	1	1	4.128667963831858e-9	0
PDZRN3	7.858157413452622e-10	-1.9109726870935941	1	1	2.6071008850611763e-5	0
RPL7A	1.0838699081074395e-21	-1.9085532181528153	1	1	3.595955194128052e-17	0
UBB	7.44059719687839e-16	-1.905579580381647	0.75	1	2.4685669320083437e-11	-0.25
FADS1	6.734865674084092e-28	-1.8980568629439174	1	1	2.234426384690879e-23	0
RPL23	3.9610595379898094e-20	-1.8842086810148873	1	1	1.3141607229188791e-15	0
SEMA6A	8.397084201276407e-15	-1.8704182302410437	1	1	2.7859006254574736e-10	0
ARHGAP45	6.488716906143845e-12	1.8675506183411208	1	0.75	2.1527616079513436e-7	0.25
RIPOR2	2.7046136527793168e-8	1.8632024171374575	1	1	8.973096715825939e-4	0
WDR63	1.0840229996496487e-8	-1.8486727452653058	1	1	3.5964631059376396e-4	0
EEF1A1	4.2848784785499636e-10	-1.844882600114613	1	1	1.4215941328285214e-5	0
CPEB4	1.489685859473786e-8	-1.827481635030794	1	1	4.94233077597618e-4	0
MT-ND2	1.9867938186650694e-8	-1.8254586117790612	1	1	6.591585852185101e-4	0
RPLP1	2.0351931561857692e-10	-1.8230706654340807	1	1	6.752160334277527e-6	0
UQCRQ	4.725536987132521e-16	-1.8219380516039867	0.75	1	1.5677914062209564e-11	-0.25
SULT2A1	1.8771382295341683e-12	-1.8200235294568259	1	1	6.22778150412551e-8	0
KCTD3	1.0658626129356284e-15	-1.8199202397939491	1	1	3.536212390936534e-11	0
RPS18	3.2169952320445325e-11	-1.8193006013719328	1	1	1.0673025081354144e-6	0
DCN	1.0683472197954004e-24	-1.8175333366879447	1	1	3.5444555711152e-20	0
LONRF2	1.0728033578794684e-11	-1.81191920694509	1	1	3.5592397004367125e-7	0
AC078880.3	8.267665842301604e-15	-1.8077316480174515	0.75	1	2.742963496500403e-10	-0.25
TNXB	2.3219210005903593e-14	-1.8058895051816444	1	1	7.703437303658636e-10	0
