gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	6.578312199836349e-55	-4.784586822863346	0.5	1	2.1824866385397054e-50	-0.5
CYP17A1	1.8827722110701085e-85	-4.59847572674766	1	1	6.246473364667299e-81	0
GML	5.330124684938439e-92	-3.9304599336248183	0.75	1	1.768375466722026e-87	-0.25
IGKC	2.6667038870025498e-11	3.6629081512278576	1	1	8.84732348590836e-7	0
MEG3	8.000928475056813e-73	-3.601624392260825	1	1	2.654468040169599e-68	0
KCNQ3	1.0069965821528012e-47	-3.3948982889692485	1	1	3.3409125606083483e-43	0
STAR	6.091937057579612e-37	-3.146372229887527	0.75	1	2.0211219575931877e-32	-0.25
RALYL	4.131320567437153e-9	-3.115454033318211	1	1	1.3706482246586243e-4	0
VCAM1	1.590945948240766e-29	3.0919133801305136	1	1	5.278281372478389e-25	0
SORBS2	1.2280468046437536e-21	-3.0573299265467653	1	1	4.0742908837665814e-17	0
DHCR24	7.363276128873402e-51	-3.0313290130693282	1	1	2.4429141212763285e-46	0
FBXL7	1.3961712504025104e-8	-3.0050415548412794	1	1	4.632077357460409e-4	0
HSD3B2	1.7737548934555112e-47	-2.989348538502953	0.5	1	5.884786610017349e-43	-0.5
RARRES2	1.2945608290504014e-38	-2.918549218735796	0.75	1	4.2949644625405165e-34	-0.25
IGHA1	2.3428638377589036e-10	2.7866050458897234	1	1	7.772919354532715e-6	0
SLIT2	7.433240609958254e-8	-2.773044873478735	1	1	0.00246612623716585	0
CYP21A2	4.320885496947167e-34	-2.7562328632048767	0.25	1	1.4335401813221615e-29	-0.75
CYP11A1	7.228354672021972e-55	-2.7407208689908145	0.75	1	2.3981512295367296e-50	-0.25
C3	9.521785314084703e-28	-2.645559915976249	1	1	3.159042713653882e-23	0
ITGAD	3.2479543202986045e-31	2.6378301967347952	1	1	1.077573804845468e-26	0
TIMD4	7.603675124549026e-15	2.6303571643262456	1	1	2.52267129607163e-10	0
NOV	7.763924332336092e-14	-2.5575575208412555	0.75	1	2.575837175739145e-9	-0.25
HMOX1	1.3288914508105743e-8	2.494487702504475	1	1	4.4088631663542424e-4	0
SDC2	1.731675774418643e-22	2.4653082700498925	1	1	5.745180716788732e-18	0
PPARG	1.9546787840363428e-15	2.447462485190169	1	1	6.485037801797374e-11	0
