gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
LINC02388	1.0139874545134854e-14	-5.808519643153694	0	1	3.3641061778393904e-10	-1
DCN	3.004762975744922e-12	-5.12878437645998	0.25	1	9.968902124628928e-8	-0.75
ADAMTSL2	1.7252394003259916e-12	-5.10146823857214	0.25	1	5.7238267584615425e-8	-0.75
LSAMP	2.927518201681928e-19	-5.049578113403676	0.5	1	9.712627137720133e-15	-0.5
PLCXD3	1.7080258816407722e-14	-5.005157739984506	0.25	1	5.66671746751959e-10	-0.75
DCLK1	5.0375015678429754e-30	4.884731998406541	1	1	1.671291895163264e-25	0
CYP11B1	5.521841302702888e-13	-4.7550969340544444	0	1	1.8319812889977373e-8	-1
CYP17A1	4.556416173287691e-12	-4.559064190929895	0	1	1.5116821938116572e-7	-1
C7	8.510400105844513e-25	-4.340793275027511	1	1	2.823495443116034e-20	0
AC092691.1	1.4134676477556222e-10	-4.3191349335578035	0.25	1	4.689461614958827e-6	-0.75
COL4A4	7.731122977145479e-12	-4.2727690004686645	0.5	1	2.5649546701275554e-7	-0.5
RXFP1	4.717340614203801e-12	-4.203428621232501	0.5	1	1.565072095574395e-7	-0.5
PTH1R	5.653091142009517e-14	-4.1606683643773295	0.75	1	1.8755260481844974e-9	-0.25
EBF3	2.1514181446401256e-12	4.08724041872687	1	1	7.137759978472545e-8	0
NRXN3	8.989433041670373e-21	4.030692761169234	1	1	2.9824242002349795e-16	0
GML	5.475723692292687e-10	-3.984968872322545	0.25	1	1.816680849391945e-5	-0.75
MEG3	1.0755797410205761e-21	-3.738073185640142	0.75	1	3.5684509067839654e-17	-0.25
LEPR	2.8690441521981926e-49	3.700622615155728	1	1	9.518627783747944e-45	0
ADAMTSL3	2.9134489860903945e-16	-3.6658845910320013	0.75	1	9.665949701152101e-12	-0.25
PRPS2	6.992431831495506e-10	-3.6125719600427786	0.5	1	2.3198791087352642e-5	-0.5
SCN7A	9.67538232739756e-8	-3.6117580236308426	0.25	1	0.0032100015947606883	-0.75
COL4A3	8.421032665501681e-10	-3.602932105214693	0.25	1	2.7938460074334928e-5	-0.75
IGHA1	1.2255580556874023e-7	3.5968560504546576	1	0.75	0.004066033961354095	0.25
FLVCR2	8.164981418147825e-15	-3.5799336487535696	0.75	1	2.708895885098904e-10	-0.25
PRKCH	2.7886561845879622e-24	3.565628908549938	1	1	9.251924623607483e-20	0
DACH1	1.4918466541529102e-11	-3.5607445890675655	0.5	1	4.94949964448311e-7	-0.5
FREM1	9.541767753775775e-8	-3.509478294813047	0.5	1	0.003165672287670189	-0.5
MEIS1	2.356648393656897e-19	-3.50134739784277	0.75	1	7.818652375635488e-15	-0.25
CD36	9.571254139604956e-20	3.4832827561611848	1	1	3.175454985896736e-15	0
HHIP	1.3700378146862604e-8	-3.478882031136421	0.25	1	4.545374457784606e-4	-0.75
NR2F1	4.483107429410022e-8	-3.476811158453075	0.25	1	0.001487360551855363	-0.75
LGI4	1.1412421870937613e-37	3.444925025606781	1	1	3.786299204120972e-33	0
KCNIP1	2.6771849582826157e-8	-3.389130368889594	0.75	1	8.882096536094234e-4	-0.25
SCARB1	1.5621282841543959e-12	-3.3833096663104802	0.75	1	5.182673008339039e-8	-0.25
KCNAB1	3.864341878547256e-17	3.3816254824472933	1	1	1.2820727050456232e-12	0
AC099066.2	1.4611738564599387e-14	3.352056026619975	1	1	4.847736503577138e-10	0
AC058822.1	1.8063068016112468e-19	-3.351880336455856	0.75	1	5.992784075705633e-15	-0.25
LINC02398	3.6488687734473336e-16	3.345810139262039	1	1	1.210585192966622e-11	0
AC020637.1	1.4634396506005597e-8	-3.329248387064216	0.25	1	4.855253728797477e-4	-0.75
ZFPM2	9.04601159173985e-24	-3.306761159184742	1	1	3.00119526579153e-19	0
ARHGAP6	5.577314503582721e-29	3.2975687600942485	1	1	1.8503856328536393e-24	0
RAPGEF5	3.5869736541873326e-12	-3.2936612406416854	0.75	1	1.1900502492497313e-7	-0.25
PLA2G4A	2.1562541011128853e-8	-3.292197776649154	0.75	1	7.153804231262219e-4	-0.25
CLMP	3.6314367310435376e-7	-3.2883019921792616	0.5	1	0.012048017642583144	-0.5
MUM1L1	5.7155065584544725e-8	-3.2775991540444034	0	1	0.0018962336108984403	-1
KIAA1217	1.4512530314477209e-22	-3.266463898427881	1	1	4.814822182434104e-18	0
AC024901.1	3.4280686839715056e-12	3.2617791695707004	1	1	1.1373303472812264e-7	0
WFDC1	1.6960866067950556e-7	-3.2591002043970203	0.25	1	0.005627106535363956	-0.75
LAMC3	3.118359885417586e-7	-3.247972829433784	0.5	1	0.010345782591849925	-0.5
MCAM	5.917526185268054e-23	3.237268814677363	1	1	1.9632576624863824e-18	0
CDH13	2.513856100803084e-12	3.188737885961277	1	1	8.340220385634391e-8	0
RGS6	6.627537860726739e-17	3.1686631772890053	1	1	2.19881823605331e-12	0
EDIL3	2.690583975457317e-32	3.159915745085829	1	1	8.926550455374739e-28	0
GRAMD1B	2.3404345615896466e-8	-3.1205453425295975	0.75	1	7.764859744985971e-4	-0.25
PDE4D	1.707999594964224e-9	3.1154264551501547	1	1	5.6666302562128064e-5	0
STAR	3.601396754477247e-7	-3.0828327195084926	0	1	0.011948354012329163	-1
SOX6	4.980866827144394e-11	-3.0786591567113986	0.5	1	1.6525021872416956e-6	-0.5
NFASC	7.238441448757314e-22	-3.0741650474955216	1	1	2.401497719454214e-17	0
TSHZ2	5.374586771248164e-11	-3.0707054540530963	0.75	1	1.7831266530970034e-6	-0.25
TENM3	5.240512608007356e-7	-3.064367112852339	0.25	1	0.017386448679586004	-0.75
AL160272.2	8.597058731248511e-7	-3.033402936134979	0.25	1	0.028522461752663184	-0.75
ZBTB7C	1.986038421151058e-16	-3.030233961850199	0.5	1	6.589079669852865e-12	-0.5
DHCR24	6.763358896908849e-7	-3.0262501532069805	0.5	1	0.022438795812274488	-0.5
EYA1	4.1726905083740805e-28	3.0047212747210663	1	1	1.3843735299632687e-23	0
PDGFRA	2.9519253414293985e-7	-3.0008409670645206	0.5	1	0.009793602705260316	-0.5
AL035446.2	3.3791084537145805e-9	2.9996932458628236	0.75	1	1.1210868116888863e-4	-0.25
LRFN5	5.550527052421073e-8	-2.9830776996137494	0	1	0.0018414983601817395	-1
ADGRB3	1.271122203212639e-7	-2.981717812308305	0.5	1	0.004217202133598573	-0.5
RNF144A	5.029946805922796e-7	-2.9727440226025945	0.5	1	0.01668785451801006	-0.5
TBX15	4.9078503958839663e-45	2.943123519713324	1	1	1.6282775258424236e-40	0
CLSTN2	8.696940919478123e-10	2.9327952329299523	1	1	2.885384088855257e-5	0
HSD3B2	1.4080280946270333e-7	-2.9286555818790583	0	1	0.0046714148095441084	-1
CYP26B1	9.652134758270066e-16	2.9269416773026915	0.75	1	3.2022887487512596e-11	-0.25
MYOM1	2.563564501844585e-36	2.926910478162984	1	1	8.50513794776978e-32	0
ADGRL3	1.5776947045428457e-13	2.901924846684611	1	1	5.2343177212617995e-9	0
HIVEP3	4.413778111992255e-11	-2.881068397713028	0.75	1	1.4643591642156705e-6	-0.25
KIAA1211	1.1927232554740015e-6	-2.8583654867295687	0	1	0.03957097944686095	-1
AGMO	1.8674749679940949e-13	2.8448593125674213	1	1	6.195721701314008e-9	0
IL16	8.827792823545509e-7	-2.828835026997542	0.25	1	0.029287968250676935	-0.75
TRERF1	1.364501532990464e-14	-2.8208369515640395	1	1	4.527006736002462e-10	0
EBF2	1.0182295479117324e-18	2.8026174085478237	1	1	3.3781801711067545e-14	0
MEG8	1.8274377599350186e-9	-2.7887457525379276	0.5	1	6.062890256136411e-5	-0.5
TRPC6	3.001326771347393e-29	2.775542773007335	1	1	9.957501829299246e-25	0
NCKAP5	4.134376415503723e-17	2.7693488192565905	1	1	1.37166206337167e-12	0
OLFML2B	8.524925514978498e-13	2.7583920218179827	1	1	2.8283145381044163e-8	0
PRRX1	2.0022366667862605e-7	2.725549975568024	1	1	0.006642820589396777	0
SGIP1	4.871756450353889e-10	2.7175640428313597	1	1	1.6163026375339095e-5	0
DYNC1I1	3.725872204642823e-11	2.704079075516666	1	1	1.2361326213343493e-6	0
ANKS1A	1.0760548257786722e-14	-2.6899136507816728	1	1	3.5700270954859005e-10	0
AL117190.1	6.612179476463296e-12	-2.6880861918696266	0.5	1	2.1937227849062278e-7	-0.5
HS3ST2	2.596598231026096e-27	2.654541987522749	1	1	8.614733951075279e-23	0
CYP21A2	5.337333146752386e-7	-2.6465934139044633	0	1	0.01770767018098039	-1
CHSY3	9.157318009555521e-12	2.6273661277425413	1	1	3.0381233960302354e-7	0
PAPSS2	6.201832836162229e-7	-2.6038018296303465	0.75	1	0.020575820800535424	-0.25
FAT3	4.616228124916698e-11	2.599498355546281	1	1	1.5315260050036129e-6	0
PPARG	2.353020870261876e-11	2.5952053223162572	1	1	7.806617341267826e-7	0
NOTCH3	1.838197269405248e-19	2.58713588727256	1	1	6.0985870807057916e-15	0
GPR176	2.126507737861765e-16	2.561877957248753	0.75	1	7.055114721903978e-12	-0.25
TEX41	4.0152820873698527e-17	2.550692036820231	1	1	1.332150138126696e-12	0
DEPTOR	4.747843070178704e-9	-2.55038687135883	0.5	1	1.5751918953931887e-4	-0.5
COL11A1	1.9116194202234663e-15	2.547360608343434	0.75	1	6.342179750475394e-11	-0.25
PTCH1	8.443585483989635e-7	-2.545401877511228	0.5	1	0.028013283560232412	-0.5
