gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	1.3080759972846213e-20	-5.471817630651929	0.25	1	4.339803736191188e-16	-0.75
IGHG2	2.2337936467518832e-10	5.1553284277329965	1	0.667	7.411057181828723e-6	0.33299999999999996
CYP17A1	5.653604182051033e-18	-4.7897072301146935	0	1	1.8756962594790714e-13	-1
RALYL	4.5222562451878675e-28	-4.452848862268551	0.75	1	1.5003489544659788e-23	-0.25
GML	1.5653582413303697e-18	-4.386933460038923	0.25	1	5.193389037261767e-14	-0.75
SCARB1	2.1751586967576282e-30	-4.317613020010499	1	1	7.216524008232783e-26	0
MEG3	9.824288299979301e-23	-4.092126031752259	0.75	1	3.259404129284133e-18	-0.25
RIMS2	3.2530372579854778e-18	-3.8904125800409757	1	1	1.079260171081842e-13	0
ABCC3	4.372449816058685e-18	-3.805404396289927	1	1	1.45064767547379e-13	0
LRMDA	2.3681459601669517e-15	-3.7681661150887655	1	1	7.856797852045895e-11	0
MEIS1	3.5568131017152016e-16	-3.689235341218513	1	1	1.1800438827560524e-11	0
GRAMD1B	3.407910679418205e-17	-3.561763816081937	1	1	1.1306425261105778e-12	0
DHCR24	1.1084868549555177e-12	-3.551277020089681	0.5	1	3.6776268386859214e-8	-0.5
AL117190.1	7.2303433122461585e-12	-3.5442133339537314	0.25	1	2.398811000703908e-7	-0.75
SORBS2	8.714266306271929e-20	-3.4905406555627563	1	1	2.8911321324318378e-15	0
LINC01807	5.930252781131681e-12	-3.4895996489740124	0.75	1	1.967479965196058e-7	-0.25
SLC16A9	6.54070335717193e-11	-3.435204028263232	0.5	1	2.1700091528089314e-6	-0.5
SLIT2	3.70160012133159e-12	-3.378429413764813	0.5	1	1.2280798722541815e-7	-0.5
CYP11A1	9.754064273335772e-11	-3.3762218331280978	0	1	3.236105903964609e-6	-1
SEMA3B	4.728724807588354e-10	-3.362572449742663	0.25	1	1.568849029413588e-5	-0.75
AOX1	1.0609934744380292e-11	-3.3331355084986445	0.25	1	3.5200580501430497e-7	-0.75
FBXL7	1.1355140625735716e-12	-3.3103498210411675	1	1	3.7672950054003386e-8	0
ATRNL1	6.2497974641712555e-12	-3.2650422594353126	0.5	1	2.0734953046880974e-7	-0.5
PCDH15	1.780638914347805e-13	-3.132382368398876	1	1	5.907625726131713e-9	0
NXPH1	6.6681100789650216e-12	-3.107711727213778	0.75	1	2.2122788808982252e-7	-0.25
WDR63	7.022828897025351e-10	-3.0940966948597017	0.5	1	2.3299639431661007e-5	-0.5
CCBE1	3.6999520251596004e-9	-3.071440773135759	0.75	1	1.2275330833872006e-4	-0.25
