gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	7.227247614438504e-66	-5.031815191072621	0.5	1	2.3977839410422627e-61	-0.5
CYP11B1	2.700806240759843e-54	-4.824012170810952	1	1	8.960464864968931e-50	0
IGKC	4.454955425295469e-10	4.05535999873189	1	0.75	1.4780205614502777e-5	0.25
MT2A	9.073370568296639e-12	-4.018440327032354	1	1	3.010272153443776e-7	0
SCARB1	1.4951749324305811e-55	-3.808943310564543	1	1	4.9605418733249387e-51	0
MEG3	8.319282766417426e-70	-3.5672441032388873	1	1	2.7600884434143096e-65	0
GML	1.6713389870709293e-45	-3.417953095790194	1	1	5.545001357405223e-41	0
STAR	3.9592828175206924e-19	-3.316255075691649	0.75	1	1.3135712603688401e-14	-0.25
DHCR24	4.70477013923522e-37	-3.1831840181460205	1	1	1.560901589094069e-32	0
RARRES2	1.0162903895398078e-38	-3.152716302297947	1	1	3.3717466253762203e-34	0
PEBP1	7.493968267646979e-25	-3.1287293473414053	1	1	2.4862738521572382e-20	0
HSD3B2	1.9793345744344844e-35	-3.1006332348584023	0.25	1	6.566838317601288e-31	-0.75
NOV	1.744482387678467e-21	-3.0999284241367757	0.25	1	5.787669217600851e-17	-0.75
CYP21A2	2.2054557981072136e-33	-3.0820735811308912	0.5	1	7.317040701380303e-29	-0.5
APOC1	1.5217106539310248e-12	-3.0689035730359677	1	1	5.048579436546961e-8	0
CYP11A1	8.283549918043475e-15	-3.03608861504939	0.5	1	2.748233356309284e-10	-0.5
APOE	3.9990127428747786e-9	-3.0146732248636026	1	1	1.3267524577035653e-4	0
RALYL	2.434714562241906e-28	-2.8654967799639626	1	1	8.077652503149971e-24	0
IGLC2	7.8832174959888e-9	2.8540826494847398	1	0.5	2.615415068644204e-4	0.5
ABCC3	1.2807092992786177e-10	-2.8127199258187536	1	1	4.24900924221667e-6	0
IGHG1	1.2192411416864272e-6	2.7938596631525057	1	0.75	0.040450763357730596	0.25
IGHM	8.832867064603722e-13	2.7457081099384655	1	0.25	2.930480306023577e-8	0.75
SORBS2	1.7351567776108367e-21	-2.6170048150933374	1	1	5.756729641079474e-17	0
SLIT2	2.0128611680829432e-8	-2.604154206748286	1	1	6.67806949734878e-4	0
FBXL7	1.6528821469431386e-18	-2.591444261726636	1	1	5.483767098913251e-14	0
RIMS2	8.6375309230881e-18	-2.566399582109151	1	1	2.865673634352939e-13	0
BACH2	7.214183429657119e-14	2.5177175625014	1	1	2.3934496364573425e-9	0
FCRL1	3.899499364125734e-11	2.5072250619071568	1	0.25	1.2937369040359947e-6	0.75
CLU	8.628799247474487e-28	-2.5063657082962134	1	1	2.8627767263346106e-23	0
FDX1	3.900836899787516e-24	-2.4575895816535533	1	1	1.2941806582425042e-19	0
GSTA1	6.6229639970219235e-34	-2.4478566445361643	0.5	1	2.1973007652919635e-29	-0.5
C7	2.525781576167535e-46	-2.4473704812168156	1	1	8.379785535251032e-42	0
