gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
SOCS1	3.0309606808431105e-23	6.860753264345826	0.667	1	1.0055818250833189e-18	-0.33299999999999996
VASN	1.1017591222549802e-10	6.811388428072188	0.333	1	3.655306239905348e-6	-0.667
RNF165	9.130825419641891e-14	5.400259919940634	0.333	1	3.02933394947459e-9	-0.667
CDH13	7.737958935139176e-7	5.360315106883935	0.333	1	0.025672226359111244	-0.667
SNHG19	1.0869562406202104e-14	5.353853534343562	0.667	1	3.6061947195056717e-10	-0.33299999999999996
KDM8	1.7185048974707077e-13	5.353339077573269	0.333	1	5.701483698338567e-9	-0.667
AC025287.4	5.142780952628179e-13	5.329865791866599	0.333	1	1.7062204366534512e-8	-0.667
IRX3	7.298745780934212e-14	5.120035702753505	0.333	1	2.4215048877405434e-9	-0.667
MEX3C	6.948368716447733e-9	5.097381059190344	0.333	1	2.3052602890558644e-4	-0.667
ZFPM1	6.193960405804566e-9	5.072363353116073	0.333	1	2.054970243833781e-4	-0.667
CORO7-PAM16	9.193207931170371e-9	5.048846157684106	0.333	1	3.050030595324394e-4	-0.667
NGFR	1.2885116366339139e-8	5.048750494106763	0.333	1	4.274895056860336e-4	-0.667
CD52	1.0744418229781167e-43	5.045713940137157	0.667	1	3.564675636094498e-39	-0.33299999999999996
MPO	3.4342960893868663e-15	4.970806274044496	0.333	1	1.1393964135758806e-10	-0.667
DSEL	2.0136730706149706e-8	4.950936164376433	0.333	1	6.680763146379288e-4	-0.667
AZU1	4.623783869696413e-17	4.740649043565675	0.333	1	1.534032774449179e-12	-0.667
FUT7	3.5207817399363216e-15	4.66184543498438	0.333	0.5	1.1680897578586735e-10	-0.16699999999999998
ANKS4B	1.5609013132058845e-13	4.649435800900653	0.333	1	5.178602286823163e-9	-0.667
APOBR	1.2360031235775922e-12	4.647111925548965	0.333	0.75	4.100687563093378e-8	-0.417
IL7R	2.3993993934619338e-21	4.645840013061758	0.667	1	7.960487367688657e-17	-0.33299999999999996
C18orf54	2.842629495346267e-12	4.634152935959734	0.333	1	9.43099187671031e-8	-0.667
PLA2G10	1.0875167596446856e-11	4.625383485318211	0.333	1	3.6080543534731736e-7	-0.667
EGR2	4.556961356583245e-11	4.623828558446103	0.667	1	1.5118630692736232e-6	-0.33299999999999996
AC008551.1	3.7323489166056835e-11	4.619074913954536	0.333	1	1.2382814000622677e-6	-0.667
CRYM	6.298032635180234e-8	4.574064856202757	0.333	1	0.0020894982873737463	-0.667
LINC01924	6.587486101718884e-8	4.573109937714238	0.333	1	0.002185530263967274	-0.667
TRBC1	3.1065300094520593e-41	4.51755995539747	0.667	1	1.0306534612359098e-36	-0.33299999999999996
TXNL4A	9.364663457772638e-7	4.472641846976161	0.667	1	0.031069143953852282	-0.33299999999999996
CORO1A	3.2582846658895583e-22	4.4597388399709486	0.667	1	1.0810011036021787e-17	-0.33299999999999996
SAMD9	2.7314146807209416e-10	4.4463950887646835	0.667	1	9.062014486227868e-6	-0.33299999999999996
LITAF	2.426967211583479e-8	4.4188244309238485	0.667	1	8.051949117870508e-4	-0.33299999999999996
PTPRC	2.9020759035982252e-9	4.367236815164395	0.667	1	9.628217225367832e-5	-0.33299999999999996
AC069257.3	2.2115184497295565e-7	4.350612440896855	1	1	0.0073371547606677495	0
IL32	3.3656071527956016e-15	4.080649720845938	0.667	1	1.1166074850829968e-10	-0.33299999999999996
HCST	1.3206538163247175e-22	4.044165901393809	0.667	1	4.381533166420515e-18	-0.33299999999999996
ARHGAP15	4.716402283890097e-8	3.9386048711023403	0.667	1	0.0015647607857262175	-0.33299999999999996
THEMIS	2.3207800907056025e-12	3.8962858688088593	0.667	1	7.699652106933978e-8	-0.33299999999999996
S100A4	3.3091308793806066e-17	3.881553688560225	0.667	1	1.0978703518521039e-12	-0.33299999999999996
