gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
KIAA1217	6.537062861808927e-68	-5.390578831056358	1	1	2.1688013456623476e-63	0
LSAMP	2.8190838069340483e-43	-5.175568555346903	1	1	9.352874346265091e-39	0
PPARG	3.0745375878809923e-70	5.085269233341752	1	1	1.0200393355312769e-65	0
ZFPM2	8.346904629468587e-50	-5.031807548619907	1	1	2.7692525489187933e-45	0
EBF3	3.3033876536689434e-15	4.983015328310807	1	1	1.0959649218577453e-10	0
CYP11B1	1.351131277934366e-41	-4.887205628349262	0.25	1	4.482648240802846e-37	-0.75
AC092691.1	3.2220965965650468e-65	-4.707590989007709	1	1	1.0689949878423855e-60	0
CYP17A1	5.371613665304733e-54	-4.655184255952976	0.5	1	1.7821402657381513e-49	-0.5
EYA1	4.406638765896564e-50	4.534480014137622	1	1	1.461990543361503e-45	0
CXCL12	1.5026551172026768e-9	4.508262433517149	1	1	4.985358882343321e-5	0
RSPO3	3.0551918287727222e-52	-4.421460174557272	1	1	1.0136209930319261e-47	0
IGFBP6	2.5229349678856155e-14	-4.374783243223046	1	1	8.370341342954106e-10	0
ANGPT1	1.1589940486378745e-55	4.365105010282823	1	1	3.845194555165876e-51	0
CNTNAP2	7.233369257084764e-19	4.2732958909488055	1	1	2.3998149184230122e-14	0
ZBTB7C	1.7159651980425034e-41	-4.105248743523611	1	1	5.693057737545614e-37	0
RUNX1	5.801550755897015e-33	4.082373427432632	1	1	1.9247804942839526e-28	0
PAK3	2.287316273382927e-54	-3.922166401369889	0.75	1	7.588629200202537e-50	-0.25
GML	2.2152589900812163e-59	-3.920320132122171	0.75	1	7.349564751392451e-55	-0.25
NCKAP5	4.591799978281568e-68	3.8861586523465723	1	1	1.523421478794476e-63	0
NRXN3	1.6858749988487148e-9	3.849808604473557	1	1	5.593227483680381e-5	0
NR2F1	8.7885438833927e-69	-3.7943542205127954	1	1	2.915775204193196e-64	0
RAPGEF5	7.953227722628801e-51	-3.766973063619458	1	1	2.638642361536557e-46	0
ITGBL1	1.181918949104106e-7	3.7505811090375603	1	1	0.003921252497442692	0
AC139491.7	2.743602391757003e-15	-3.735464895187682	0.75	1	9.102449655132208e-11	-0.25
LEPR	4.1979806478924358e-22	3.720603167762318	1	1	1.3927640395512735e-17	0
FOXP2	1.1966583525425443e-35	-3.719501408693265	1	1	3.970153416230399e-31	0
IGKC	1.1504317919231452e-8	3.7126258213456955	1	0.75	3.8167875560634186e-4	0.25
PDE1C	2.3976733536843255e-36	3.6934599793068985	1	1	7.954760885518486e-32	0
PAPPA	1.3584576898971742e-50	3.692628292680627	1	1	4.506955077771855e-46	0
LINC02388	5.13736048491496e-10	-3.6342120207290103	1	1	1.7044220880802362e-5	0
SCARB1	2.260680542623204e-29	-3.6322952197359744	1	1	7.500259836261004e-25	0
MICAL2	1.3307101600784376e-53	-3.613642347509376	1	1	4.4148970980922325e-49	0
HHIP	4.0051038723128135e-12	-3.5843956331821794	0.75	1	1.328773311717222e-7	-0.25
VCAN	1.5051178349316863e-17	3.5609247387064777	1	1	4.993529440952856e-13	0
TRABD2B	6.025024522209365e-54	3.5462651776002874	1	1	1.998922385733401e-49	0
