pathway	Adipo	Fib	mCAF	MSC
T cell homeostasis (38g)	1.4402763404861365	-0.6159998793345591	-0.09086547302281145	-0.7334109881287655
antigen receptor-mediated signaling pathway (336g)	0.9528231066513752	-0.9126590043555096	0.7731313790344541	-0.8132954813303188
B cell receptor signaling pathway (148g)	1.0124706228919487	-0.8779983877153964	0.7057388748704922	-0.840211110047044
toll-like receptor TLR6:TLR2 signaling pathway (4g)	1.480740659674398	-0.5847636174099087	-0.2690036329318793	-0.6269734093326103
CD8-positive, alpha-beta T cell differentiation (15g)	1.0757787157175738	-0.8444418234864515	0.6269148093859176	-0.8582517016170393
T cell chemotaxis (27g)	1.3463959921401623	-0.8597986970987636	0.16264196946987303	-0.649239264511272
positive T cell selection (35g)	1.3121784891467683	-0.6636371650924947	0.23585003979768707	-0.8843913638519606
mast cell cytokine production (7g)	1.4720683878775205	-0.3369740799863902	-0.3735837721881019	-0.7615105357030281
B cell activation (335g)	0.985892474310544	-0.9329479778007241	0.7338640391732368	-0.7868085356830559
T cell selection (48g)	1.1146984146408756	-0.7050238606228932	0.5621282307697466	-0.9718027847877284
complement activation, alternative pathway (14g)	-1.2998842547171308	1.0896320033080227	-0.11948466777400492	0.3297369191831125
induction of bacterial agglutination (6g)	-0.8276929591410832	1.4381724633862023	-0.47879337264696187	-0.13168613159815676
complement activation, lectin pathway (11g)	-0.9714379910823547	1.3928537871729636	-0.09350951827307714	-0.3279062778175319
granulocyte migration (138g)	-1.1496634671711794	1.2368175139392552	0.225456836502628	-0.31261088327070435
granulocyte chemotaxis (118g)	-1.1519579703062315	1.2338810602710057	0.23030830905391814	-0.31223139901869396
neutrophil migration (115g)	-1.2006061372163495	1.226940769054097	0.14933575496651294	-0.17567038680426203
neutrophil chemotaxis (99g)	-1.1885163296443748	1.2310326322397063	0.16726741001492604	-0.20978371261025547
erythrocyte homeostasis (120g)	-0.07600644134133074	1.2776133048039169	-0.03511900685181846	-1.1664878566107677
myeloid cell homeostasis (145g)	-0.06793171291406921	1.2036017959440222	0.10367621320688403	-1.2393462962368371
macrophage activation (93g)	-1.3015483423387189	1.1335258556076275	0.14306744202698726	0.024955044704101585
lymphocyte differentiation (352g)	0.4369944272176649	-0.8334966260302938	1.207139658203865	-0.8106374593912359
lymphocyte activation (758g)	0.6853966908002471	-0.8898404726765787	1.0289140403202686	-0.824470258443938
CD8-positive, alpha-beta T cell activation (26g)	0.8550725667406952	-0.8452772276871486	0.876666094368789	-0.886461433422335
T cell differentiation (242g)	0.6489088214851997	-0.756299106035637	1.053985766794032	-0.9465954822435938
T cell activation (467g)	0.63482851891659	-0.8863738406959448	1.0690903808667678	-0.8175450590874108
lymphocyte migration (114g)	0.3962941104115868	-0.630351496658736	1.2166232862997959	-0.9825659000526455
B cell chemotaxis (8g)	-0.591423819930078	-0.34389386788828824	1.4910222408203682	-0.5557045530020024
adaptive immune response (719g)	0.5499416305263796	-0.625510456806723	1.1109678894588144	-1.0353990631784729
immune response-activating cell surface receptor signaling pathway (493g)	0.8227972088433828	-0.7960494676460336	0.9055799577709636	-0.9323276989683106
leukocyte migration (499g)	-0.38783933554313077	-0.22946014499374023	1.4502274571430607	-0.8329279766061932
monocyte extravasation (8g)	-0.9295297367188975	-0.009027777831690825	-0.4514404897601498	1.3899980043107383
CD4-positive, alpha-beta T cell proliferation (11g)	-1.248323765078733	0.3751952913260587	-0.2415727717980063	1.1147012455506806
macrophage antigen processing and presentation (1g)	-0.4907459728988636	-0.5738552752928501	-0.43288604289567306	1.4974872910873869
immune complex clearance (3g)	-0.9681572466686337	0.5241094102423853	-0.6970494279625155	1.1410972643887636
antifungal innate immune response (5g)	-0.9849089941800659	0.7576225779107055	-0.7319727641343116	0.9592591804036715
plasmacytoid dendritic cell cytokine production (1g)	-1.0803004217169825	0.16433354966341115	-0.3746172569657595	1.2905841290193303
antifungal humoral response (5g)	-0.9873146380654163	0.7589795381344143	-0.7293641350424711	0.957699234973473
B cell tolerance induction (3g)	-0.9794566764620983	0.8285023685081363	-0.7439295956795308	0.8948839036334933
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (6g)	0.311054721902779	-1.4679825009812864	0.37967833448941035	0.7772494445890973
CD4-positive, alpha-beta T cell costimulation (3g)	-1.4171458660913085	0.022092281127302424	0.6023367907106928	0.7927167942533133
