pathway	Adipo	Fib	mCAF	MSC
response to cold (49g)	1.4489460245400168	-0.6850339635840559	-0.11785087313624129	-0.6460611878197182
response to immobilization stress (25g)	0.9083309017321474	-0.6598717881780889	0.8000642900517485	-1.0485234036058078
response to lipoprotein particle (28g)	1.47695800002487	-0.4916658943972854	-0.2788009596469924	-0.7064911459805916
response to xenobiotic stimulus (292g)	1.4495476656510289	-0.542096294870664	-0.14291289854931996	-0.7645384722310467
muscle atrophy (12g)	1.4489978035884492	-0.8218119175778777	-0.19453524792137422	-0.432650638089198
cellular response to lipoprotein particle stimulus (30g)	1.4744297170746752	-0.5035882121257554	-0.2604881979727421	-0.7103533069761777
cellular response to cold (11g)	1.4621678077930158	-0.66620921734553	-0.17275103131793476	-0.6232075591295507
cellular response to hyperoxia (7g)	1.3286421199686353	-0.6996885641755485	0.20866504920908252	-0.8376186050021698
cellular response to low-density lipoprotein particle stimulus (18g)	1.4888290499796402	-0.565657604381546	-0.32502662284921396	-0.5981448227488786
cellular response to oxidised low-density lipoprotein particle stimulus (10g)	1.464167292662637	-0.6207645111468202	-0.18169989611328632	-0.6617028854025305
detection of biotic stimulus (32g)	-0.9985071967546657	1.2039801351111226	-0.6186364827896477	0.41316354443318964
defense response to tumor cell (4g)	-0.7353816516332597	1.4539171589958546	-0.5680644054122953	-0.15047110195029892
complement activation, alternative pathway (14g)	-1.2924907417480844	1.0930135643716565	-0.13994188449224806	0.339419061868676
detection of external biotic stimulus (20g)	-1.096198366243119	1.100505162072654	-0.5440151219053997	0.5397083260758644
response to cortisol (5g)	-1.1715702200770735	1.0057341781874771	-0.46579464788075103	0.6316306897703472
response to anticoagulant (8g)	-1.2131373042859916	0.9431982571108831	-0.4137751274742151	0.683714174649324
response to heparin (6g)	-1.2066064717464784	0.9466378463119791	-0.42417530651000007	0.6841439319444995
detection of molecule of bacterial origin (11g)	-0.8955035261705541	1.0902221747722658	-0.8011104764115635	0.6063918278098513
cellular response to heparin (5g)	-1.2071337729701315	0.9466322435098832	-0.42327652740495064	0.6837780568651985
nitrogen catabolite regulation of transcription (1g)	-0.7582266548774689	1.417049083402963	-0.6456711855648635	-0.01315124296063059
response to ultrasound (2g)	-0.4395680251486168	-0.35547398003972625	1.4848048445082114	-0.6897628393198685
detection of mechanical stimulus involved in sensory perception of pain (13g)	-0.44768556451873065	-0.30672051444716647	1.4774157224103135	-0.7230096434444164
detection of mechanical stimulus involved in sensory perception (30g)	-0.7040999702315494	-0.2984706283786003	1.479187291663322	-0.47661669305317184
cellular response to vitamin (30g)	0.36799659645436006	-0.8950424267893311	1.2444889965404178	-0.7174431662054465
cellular response to vitamin E (2g)	0.8377846588477149	-0.8000684226485222	0.8914429659499634	-0.9291592021491558
detection of temperature stimulus involved in sensory perception (16g)	-0.538328616006996	-0.3351852035730578	1.4894534434584468	-0.6159396238783926
detection of temperature stimulus involved in sensory perception of pain (16g)	-0.538328616006996	-0.3351852035730578	1.4894534434584468	-0.6159396238783926
detection of temperature stimulus (20g)	-0.662105550636587	-0.0810077611809013	1.4390174948495698	-0.6959041830320809
detection of mechanical stimulus (45g)	-1.027929814147621	-0.1626235504171008	1.3725170637275044	-0.1819636991627836
detection of stimulus involved in sensory perception (547g)	0.30274579303193305	-0.8650753456876416	1.2816352576989658	-0.7193057050432581
response to copper ion (45g)	-1.048136348555759	0.7704520173728112	-0.6577943857511391	0.9354787169340876
cellular response to gonadotropin stimulus (18g)	0.19147168466865494	-0.1311485689372742	-1.2434874019179136	1.1831642861865337
response to mercury ion (11g)	-1.0773100614529487	0.6803499684342118	-0.607044097827438	1.004004190846175
reflex (18g)	-0.7232087378919434	-0.009235428856221464	-0.6846457959496883	1.4170899626978528
righting reflex (7g)	-0.9418556491058336	0.32595302826745454	-0.6451999211366723	1.2611025419750512
detection of muscle stretch (4g)	-0.5664928386599801	-0.5138981355884932	-0.4167194101803373	1.4971103844288103
cellular response to follicle-stimulating hormone stimulus (11g)	0.7984860245082702	-0.4119397970906572	-1.222354422273026	0.8358081948554129
response to norepinephrine (3g)	-1.1570662832207526	0.702932126312599	-0.5023042692817741	0.9564384261899271
response to salt stress (27g)	-1.2970123389068378	0.6170734671731792	-0.25409322673159723	0.9340320984652568
response to lead ion (25g)	-0.9804203304868848	0.8087940143140719	-0.7418040305268407	0.9134303466996541
