pathway	Adipo	Fib	mCAF	MSC
carbohydrate mediated signaling (8g)	1.4924444370514751	-0.4614672191370791	-0.6342332847257196	-0.3967439331886759
lipoprotein particle mediated signaling (3g)	1.4267386095544101	-0.901017913626039	-0.17802953319731513	-0.3476911627310557
calcitonin family receptor signaling pathway (7g)	1.4850555422480283	-0.5731370623561822	-0.29733029049467713	-0.6145881893971692
adiponectin-activated signaling pathway (7g)	1.4986613789802286	-0.5204179981111888	-0.44064941852583744	-0.5375939623432022
sugar mediated signaling pathway (6g)	1.4876502197555561	-0.3859155947493357	-0.6754794816955965	-0.4262551433106239
signal transduction by trans-phosphorylation (3g)	1.407867392498864	-0.7045302517033121	0.01860495198944912	-0.7219420927850013
low-density lipoprotein particle mediated signaling (3g)	1.4267386095544101	-0.901017913626039	-0.17802953319731513	-0.3476911627310557
calcitonin gene-related peptide receptor signaling pathway (2g)	1.4873855225169625	-0.5420581671461304	-0.31930894767861995	-0.6260184076922121
adrenomedullin receptor signaling pathway (4g)	1.4890735244172066	-0.6143080957724578	-0.33089721114912524	-0.5438682174956236
hexose mediated signaling (6g)	1.4876502197555561	-0.3859155947493357	-0.6754794816955965	-0.4262551433106239
bile acid signaling pathway (3g)	-0.7688704313416872	1.4106841819286329	-0.6471322218283111	0.005318471241365292
Roundabout signaling pathway (5g)	-1.1898264841260338	0.9615664169386826	-0.44874279145288726	0.6770028586402386
collagen-activated signaling pathway (14g)	-0.004826638759695042	1.4155724610335907	-0.6826856505050101	-0.7280601717688846
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (256g)	-0.5178609041839767	1.4989011361931799	-0.44638679850967905	-0.5346534334995224
intracellular bile acid receptor signaling pathway (1g)	-0.7565055611547677	1.4165291970382818	-0.6488603477466978	-0.011163288136816343
second-messenger-mediated signaling (441g)	-0.6184066863649713	1.320941889012253	-0.9106904470461351	0.20815524439885508
oncostatin-M-mediated signaling pathway (4g)	-1.0776713684416803	1.2935738642682857	-0.37439461475790253	0.1584921189312971
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (222g)	-0.558324441259335	1.4986460655129465	-0.48091744021234256	-0.45940418404126887
cyclic-nucleotide-mediated signaling (210g)	-0.03213682374465359	1.3695191340542714	-1.0071352746592697	-0.3302470356503471
hepatocyte growth factor receptor signaling pathway (16g)	-0.6854036461963611	1.4129173844529075	0.0031546916159215276	-0.730668429872467
chemokine (C-X-C motif) ligand 12 signaling pathway (4g)	0.6290862130816752	-0.7676072651919768	1.070618499508246	-0.9320974473979442
leptin-mediated signaling pathway (10g)	0.38541413748972536	-0.8012408842640616	1.2382077600408887	-0.8223810132665521
Tie signaling pathway (3g)	0.5065874420017967	-0.471905344697454	1.1051724446554458	-1.1398545419597883
macrophage migration inhibitory factor signaling pathway (3g)	0.5254817024082244	-0.4419407656046494	1.0818548686367473	-1.1653958054403224
adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate (1g)	-0.49744797203738533	-0.3097332256115119	1.4831368232051434	-0.6759556255562463
adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate (1g)	-0.49744797203738533	-0.3097332256115119	1.4831368232051434	-0.6759556255562463
interferon-gamma-mediated signaling pathway (91g)	-0.23095439078575777	-0.2891647287765775	1.4279169739677626	-0.9077978544054266
immune response-activating cell surface receptor signaling pathway (493g)	0.8366189197519471	-0.7861220628549757	0.8914865166494644	-0.941983373546437
calcium-mediated signaling using intracellular calcium source (23g)	0.015543588707550203	-0.9204253252133359	1.3860280733454737	-0.48114633683968766
brain-derived neurotrophic factor receptor signaling pathway (6g)	-0.5041803346520077	-0.5798636486876696	1.4964811736607015	-0.4124371903210246
epidermal growth factor receptor signaling pathway via positive regulation of NF-kappaB transcription factor activity (1g)	-0.6054892867249984	-0.33145084352272497	-0.5524595745073463	1.4893997047550696
epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade (1g)	-0.6054892867249984	-0.33145084352272497	-0.5524595745073463	1.4893997047550696
glutamate receptor signaling pathway (100g)	-1.2497443886051194	0.3447626167899041	-0.2219650791321031	1.1269468509473164
Wnt signaling pathway, planar cell polarity pathway (109g)	0.09885546374647491	-0.0822612168621697	-1.2296330733292018	1.2130388264448944
smoothened signaling pathway (141g)	-1.2461199471329192	0.6571732210631779	-0.35432526204103215	0.9432719881107743
calcium-mediated signaling using extracellular calcium source (4g)	-1.0545908539452278	0.6462314251288455	-0.6285400356876603	1.036899464504043
insulin-like growth factor receptor signaling pathway (35g)	-1.3073062624699046	0.25709311361933307	-0.05514321576302918	1.1053563646136015
neuronal signal transduction (7g)	-1.0938213704553343	-0.5703450394617727	0.6158236091617825	1.0483428007553253
retinoic acid receptor signaling pathway (32g)	-0.91940969350427	0.6344488429101177	-0.7826031217500884	1.0675639723442403
planar cell polarity pathway involved in axis elongation (6g)	-0.12263580516322443	0.20008884904386529	-1.2515590381553743	1.1741059942747345
