pathway	Adipo	Fib	mCAF	MSC
bundle of His cell to Purkinje myocyte signaling (7g)	1.1506102714921578	0.5115708487389858	-0.7027000783211945	-0.9594810419099501
cell-cell signaling involved in kidney development (2g)	1.4515534097859646	-0.23130854347497154	-0.8280562411971362	-0.39218862511385666
Wnt signaling pathway involved in kidney development (2g)	1.4515534097859646	-0.23130854347497154	-0.8280562411971362	-0.39218862511385666
cell-cell signaling involved in metanephros development (2g)	1.4515534097859646	-0.23130854347497154	-0.8280562411971362	-0.39218862511385666
canonical Wnt signaling pathway involved in metanephric kidney development (2g)	1.4515534097859646	-0.23130854347497154	-0.8280562411971362	-0.39218862511385666
synaptic transmission, dopaminergic (32g)	1.0150714958651992	0.539987153152406	-1.2617503648251642	-0.2933082841924381
extracellular matrix-cell signaling (4g)	0.7531893320958162	0.08126825786893288	-1.4365279575335652	0.6020703675688177
synaptic transmission involved in micturition (3g)	1.0647718848283814	-1.0043737891479614	0.6238919855682417	-0.6842900812486616
synaptic transmission, glycinergic (7g)	0.9511282696406926	-1.346091600483363	0.517945705091367	-0.122982374248697
synaptic transmission, cholinergic (32g)	-1.1676554899530187	1.2461610602616962	-0.23997860111391459	0.16147303080523712
multicellular organismal signaling (200g)	-1.3596139667465625	0.928955661245181	-0.09752700654583525	0.5281853120472154
signaling (6691g)	-1.0733393756795253	1.282626501034568	-0.405402014794843	0.1961148894398135
trans-synaptic signaling by lipid, modulating synaptic transmission (3g)	-0.6984320066716942	1.4472060691256399	-0.11222674891806603	-0.6365473135358795
trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (3g)	-0.6984320066716942	1.4472060691256399	-0.11222674891806603	-0.6365473135358795
anterograde trans-synaptic signaling (716g)	-1.2317842370460514	0.8969829007940472	-0.39031041373892833	0.7251117499909374
chemical synaptic transmission (716g)	-1.2317842370460514	0.8969829007940472	-0.39031041373892833	0.7251117499909374
trans-synaptic signaling (724g)	-1.2361503915895506	0.8498803737240319	-0.38782682130257506	0.7740968391680985
synaptic signaling (729g)	-1.2276194620508445	0.822474628393408	-0.4034039745940257	0.8085488082514645
neuron-neuron synaptic transmission (8g)	0.4359499328458051	1.1765499628121505	-0.5556507815195012	-1.056849114138453
mesenchymal-epithelial cell signaling (8g)	-0.8373602266584804	-0.10758543613184238	1.4318455618627461	-0.4868998990724229
synaptic signaling via neuropeptide (3g)	-0.43570399940506743	-0.8078542749084974	1.4537391435896727	-0.21018086927610805
trans-synaptic signaling by neuropeptide (2g)	-0.4580293118440237	-0.8009991869755407	1.4529318444174097	-0.19390334559784503
trans-synaptic signaling by neuropeptide, modulating synaptic transmission (1g)	-0.47105543711249703	-0.7976418436391937	1.4519909427762456	-0.1832936620245546
trans-synaptic signaling by BDNF (4g)	-0.6170246917123825	-0.7371329143323706	1.4383422874417584	-0.08418468139700566
trans-synaptic signaling by BDNF, modulating synaptic transmission (4g)	-0.6170246917123825	-0.7371329143323706	1.4383422874417584	-0.08418468139700566
mesenchymal-epithelial cell signaling involved in prostate gland development (1g)	-0.5023894857837804	-0.43089930669572496	1.4977643230618283	-0.5644755305823232
regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling (4g)	-0.8449952926532897	0.1455904170808499	1.3547404459880878	-0.6553355704156479
retrograde trans-synaptic signaling by trans-synaptic protein complex (2g)	-0.7193658174767329	-0.9981601433496404	0.9337344277047358	0.7837915331216373
transmission of nerve impulse (70g)	-1.3220254738910164	0.7412944922332082	0.8071376290287695	-0.22640664737096233
cell-cell signaling via exosome (1g)	-0.5650899581862232	-0.4373945958171777	-0.4954702357619654	1.4979547897653662
SA node cell to atrial cardiac muscle cell signaling (9g)	-0.8983887483165842	-0.3954195977565225	-0.12755401835405222	1.4213623644271596
atrial cardiac muscle cell to AV node cell signaling (19g)	-1.2640666412582406	0.5290505268036644	-0.28522340451365086	1.0202395189682265
excitatory chemical synaptic transmission (8g)	-0.35981767144742477	-0.6013991109177522	-0.531044093950339	1.4922608763155165
AV node cell to bundle of His cell signaling (10g)	-1.2146345097166382	0.48806265207765653	-0.35173313501582537	1.0783049926548076
spontaneous synaptic transmission (11g)	-0.7648514155953985	0.5652700959076639	-0.918923156482903	1.118504476170638
cell-cell signaling involved in cardiac conduction (30g)	-0.8797672489940904	0.6628232760132	-0.8304482839974516	1.047392256978343
trans-synaptic signaling by trans-synaptic complex (8g)	-0.8636369382967721	-0.8322750874197045	0.5995706085114653	1.096341417205011
retrograde trans-synaptic signaling (10g)	-1.27395386080318	0.04973096418924147	0.05300164627852625	1.1712212503354122
regulation of heart rate by cardiac conduction (38g)	-0.7407071797977517	0.6273527760081059	-0.9560806067153428	1.0694350105049892
