cluster	origin	percentage
Adipo	N1	0.062058800713676206
Adipo	N2	0.1106521097668929
Adipo	N4	0
Adipo	N7	0
Adipo	T1	10.65769481224224
Adipo	T2	20.89034102511742
Adipo	T4	4.894190701854726
Adipo	T7	7.1817731550272415
Bcell	N1	0
Bcell	N2	0
Bcell	N4	0
Bcell	N7	0
Bcell	T1	8.29172997612329
Bcell	T2	4.615070451296712
Bcell	T4	24.634365552741237
Bcell	T7	12.308073303615652
CLC	N1	0.5507718563338764
CLC	N2	0.4573620537031573
CLC	N4	0.6201663505034292
CLC	N7	3.0434782608695654
CLC	T1	0
CLC	T2	0
CLC	T4	0
CLC	T7	0
Endo	N1	10.999922426499108
Endo	N2	6.73502508114488
Endo	N4	10.302057493068729
Endo	N7	11.721739130434782
Endo	T1	10.310397221619276
Endo	T2	5.799469062691443
Endo	T4	2.7126399215622192
Endo	T7	5.621594848935116
Fib	N1	6.935070979753316
Fib	N2	1.9105930953083505
Fib	N4	1.8240186779512622
Fib	N7	0.991304347826087
Fib	T1	12.0468851747341
Fib	T2	12.987543393914642
Fib	T4	8.154260969033418
Fib	T7	6.191183754333829
LEC	N1	1.39244434101311
LEC	N2	1.1065210976689288
LEC	N4	0.24806654020137167
LEC	N7	0.017391304347826087
LEC	T1	0
LEC	T2	0
LEC	T4	0
LEC	T7	0
Myeloid	N1	5.1431231091459155
Myeloid	N2	9.567719091177338
Myeloid	N4	11.81964103312418
Myeloid	N7	5.913043478260869
Myeloid	T1	15.15085739092685
Myeloid	T2	31.488666530528896
Myeloid	T4	16.98668191845739
Myeloid	T7	18.548786527984152
Neural-like	N1	0
Neural-like	N2	0
Neural-like	N4	0
Neural-like	N7	0
Neural-like	T1	1.6062513566312133
Neural-like	T2	11.578517459669186
Neural-like	T4	9.388021897213825
Neural-like	T7	16.394254581475977
Plasma	N1	0.08533085098130479
Plasma	N2	0.14015933903806432
Plasma	N4	0.04377644827083029
Plasma	N7	0
Plasma	T1	3.234208812676362
Plasma	T2	4.492546457014499
Plasma	T4	1.0376664760192826
Plasma	T7	2.105002476473502
PSC	N1	8.486540997595222
PSC	N2	10.696370610799645
PSC	N4	9.280607033416022
PSC	N7	6.591304347826087
PSC	T1	0
PSC	T2	0
PSC	T4	0
PSC	T7	0
Tcell	N1	0.7873710340547669
Tcell	N2	2.3089406904691647
Tcell	N4	2.1450459652706844
Tcell	N7	1.2173913043478262
Tcell	T1	38.70197525504667
Tcell	T2	8.147845619767205
Tcell	T4	32.1921725631179
Tcell	T7	31.649331352154533
ZF	N1	41.81599565588395
ZF	N2	40.61670109176748
ZF	N4	38.83700569093828
ZF	N7	29.16521739130435
ZF	T1	0
ZF	T2	0
ZF	T4	0
ZF	T7	0
ZG	N1	13.253432627414476
ZG	N2	8.321038654470346
ZG	N4	6.449730045235663
ZG	N7	1.5478260869565217
ZG	T1	0
ZG	T2	0
ZG	T4	0
ZG	T7	0
ZR	N1	10.487937320611278
ZR	N2	18.028917084685748
ZR	N4	18.429884722019555
ZR	N7	39.791304347826085
ZR	T1	0
ZR	T2	0
ZR	T4	0
ZR	T7	0
