gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GML	1.6402832158054365e-12	-4.011156083376354	0.25	1	5.441967625077697e-8	-0.75
MEG3	1.2655779662512603e-11	-3.4450693683726126	0.5	1	4.1988080186318064e-7	-0.5
FBXL7	5.879683533464094e-12	-3.341411817936196	0.75	1	1.9507026058973825e-7	-0.25
SORBS2	6.089771107521149e-13	-3.1514401824697265	0.75	1	2.0204033603422917e-8	-0.25
DHCR24	3.3249979359689863e-9	-3.1346130284246576	0.25	1	1.1031345652164305e-4	-0.75
CD36	4.233868009726494e-13	3.0224926671478016	1	0.5	1.404670389586959e-8	0.5
RALYL	1.3625748695974676e-9	-2.9956989799031017	0.75	1	4.520614644863518e-5	-0.25
MT-ATP6	2.203318889421343e-12	-2.9341020258763026	0.75	1	7.30995107943319e-8	-0.25
HSD3B2	1.2211651617926074e-8	-2.798063249096173	0	1	4.0514596572793337e-4	-1
STAR	1.5592105444222292e-8	-2.788059797869396	0	1	5.17299282322963e-4	-1
RIMS2	1.093337941269624e-8	-2.7837494878762343	0.75	1	3.6273672877502314e-4	-0.25
MT-CO3	1.0509255861239108e-10	-2.6986329645305895	0.75	1	3.486655817083299e-6	-0.25
MT-CO1	7.882269396202378e-15	-2.664765142000708	1	1	2.615100517578063e-10	0
SDC2	8.099970480405293e-9	2.629528767667842	1	0.75	2.687327206284064e-4	0.25
MT-CO2	3.732562832482688e-10	-2.5863203493166753	0.75	1	1.2383523709327815e-5	-0.25
MLXIPL	4.203331342344736e-8	-2.537146243888764	0.75	1	0.001394539239449713	-0.25
PCDH15	5.159008624631908e-7	-2.508068943450881	0.75	1	0.017116042913941282	-0.25
PRKG1	3.317689648157134e-8	-2.494441354517056	0.75	1	0.0011007098945690923	-0.25
FDX1	3.7208109781259935e-7	-2.4823594127498403	0.75	1	0.012344534582128608	-0.25
MEG8	1.0062489867465711e-7	-2.473584716459919	0	1	0.003338432263329099	-1
C3	1.0205434592140897e-6	-2.435385763061324	0.5	1	0.03385857034634585	-0.5
PPARG	5.036386064391944e-9	2.4346095496123414	1	1	1.6709218045833152e-4	0
AC024145.1	3.557149471878128e-7	-2.4246516327486844	0.75	1	0.011801554802850067	-0.25
MT-ND4	1.2683624956979707e-7	-2.3958817697159813	0.75	1	0.004208046251977157	-0.25
RARRES2	6.824245140678819e-7	-2.3468536552169175	0	1	0.022640798103230116	-1
PDE10A	8.124902796166447e-7	-2.276376442316102	0.75	1	0.026955990006841422	-0.25
LNCAROD	8.449245467917958e-7	-2.2498342491064203	0.75	1	0.028032061688911408	-0.25
MT-CYB	2.71065502680544e-7	-2.2238211323824775	0.75	1	0.008993140182432408	-0.25
MT-ND2	1.2162172961441082e-6	-2.2066662409037288	0.75	1	0.04035044123417308	-0.25
MT-ND1	2.9756824532469565e-7	-2.16943823897216	0.75	1	0.009872421675137428	-0.25
AL117190.2	1.4677584566716383e-6	-2.167668808898224	0	1	0.048695822316994944	-1
SCARB1	4.5820915517118796e-9	-2.124350112618772	1	1	1.5202005141114503e-4	0
IGHM	1.2045580853645968e-6	2.0198060290984072	1	0	0.03996362359814123	1
FABP4	8.814044217583794e-7	1.6610328276715332	0.75	0.25	0.029242354500677754	0.5
