gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GML	9.241887333261044e-36	-3.8644538654985396	0.75	1	3.066180960556017e-31	-0.25
SLC16A10	1.2079603437835716e-7	3.4254866271671904	1	1	0.004007650032570756	0
VCAM1	1.592039990571e-11	3.360580118582707	1	0.75	5.281911076717407e-7	0.25
DCN	1.3960596738630605e-7	-3.354505170368402	0.5	1	0.004631707179975476	-0.5
STAR	3.895711677709596e-9	-3.236418114579903	0.25	1	1.2924802633137127e-4	-0.75
MGP	6.45958989240685e-7	-3.210649755779574	0.5	1	0.021430981386038207	-0.5
MEG3	6.690980458715046e-25	-3.1632203113634416	0.75	1	2.2198665867878907e-20	-0.25
RARRES2	2.831652039977448e-9	-3.11809047270566	0.25	1	9.394571973033179e-5	-0.75
IGHM	3.153828526988104e-7	2.7744565229917386	1	0	0.010463456903988434	1
DHCR24	1.150993673948863e-16	-2.7665750358691303	0.75	1	3.818651712060143e-12	-0.25
MT-ND4	1.0557386322326592e-14	-2.7652104904734793	0.75	1	3.5026240601582934e-10	-0.25
MT-ATP6	1.738164105217941e-16	-2.7450355961846187	0.75	1	5.766707051881563e-12	-0.25
IGFBP5	7.49552229552097e-14	-2.719412009328373	0.75	1	2.4867894319849923e-9	-0.25
HSD3B2	2.9460902045129532e-19	-2.71370047653422	0.25	1	9.774243471512625e-15	-0.75
MT-ND2	3.3556643366863034e-11	-2.6985795790253797	0.75	1	1.1133087569824149e-6	-0.25
SCARB1	1.870188939431388e-12	-2.6936208868751246	0.75	1	6.204725844351516e-8	-0.25
MT-CO1	1.0963395605479027e-12	-2.680886374984201	1	1	3.637325760029777e-8	0
HMOX1	1.0516718177820317e-8	2.64046644116804	1	1	3.4891315898554463e-4	0
MT-CO2	3.736034722105239e-11	-2.6121400999264224	1	1	1.2395042397528551e-6	0
MT-CO3	5.924635629926766e-10	-2.59478848490585	0.75	1	1.965616362940803e-5	-0.25
IGLC2	5.832839097363906e-9	2.594475031936332	1	0.25	1.9351610273324232e-4	0.75
CD247	3.1179353700752767e-9	2.5941660531622768	1	1	1.0344374177298745e-4	0
NOV	3.744419080068592e-18	-2.581091305387723	0.25	1	1.242285918194357e-13	-0.75
RIPOR2	3.640438225985353e-12	2.5754798714117726	1	1	1.2077881902351605e-7	0
TIMD4	3.285432844852925e-8	2.5516519289940858	1	0.25	0.001090008054936855	0.75
C7	8.332636938573774e-14	-2.541601057419287	0.75	1	2.7645189571106207e-9	-0.25
APOE	2.6149677811711467e-8	-2.538776105434433	0.75	1	8.675678607591513e-4	-0.25
MT-ND1	2.2397618606939688e-13	-2.5097033038707512	0.75	1	7.4308579252243805e-9	-0.25
FBXL7	7.350164925524483e-11	-2.480560948634516	1	1	2.438564217341258e-6	0
MT-ND3	8.423525464681886e-13	-2.463470044077216	0.75	1	2.794673043417509e-8	-0.25
MT-CYB	9.04176704570824e-11	-2.438111654487214	0.75	1	2.9997870527546226e-6	-0.25
GSTA1	8.444401756400199e-14	-2.434480740398629	0.5	1	2.8015991707208943e-9	-0.5
FDX1	4.835144581856276e-11	-2.4054973965901203	0.75	1	1.6041559179224567e-6	-0.25
PEBP1	2.550424581085091e-11	-2.363376931137732	0.75	1	8.461543632666006e-7	-0.25
SORBS2	5.2563576994027356e-11	-2.307871536763084	0.75	1	1.7439017939308456e-6	-0.25
CLU	7.325729105067155e-14	-2.304069729067404	0.5	1	2.43045714518813e-9	-0.5
MEIS2	1.8554623250189226e-9	-2.292335611905369	0.75	1	6.15586735571528e-5	-0.25
RPS18	3.146825178883674e-7	-2.2838704032520516	0.75	1	0.010440221895982364	-0.25
TTN	2.581303029718014e-8	2.2685489891596076	1	1	8.563989061695455e-4	0
RPL23	6.607161720776252e-8	-2.1883029598884876	1	1	0.002192058044101937	0
PPARG	5.068159387156809e-8	2.177593248848695	1	1	0.0016814632398770145	0
AC092691.1	1.2850860975976694e-8	-2.1605718152506603	0.75	1	4.2635301459997875e-4	-0.25
KCNK3	7.401562845107003e-11	-2.14941872283993	0.5	0.75	2.4556165051211506e-6	-0.25
TBX3	8.195354817489647e-15	-2.1493694912101295	0.5	1	2.71897286779854e-10	-0.5
CEMIP2	5.363761450498865e-7	2.1450777034700437	1	1	0.017795351364320082	0
SLIT2	3.0406777021170016e-11	-2.131039853990614	1	1	1.0088056412313575e-6	0
PRKG1	4.20613793283878e-9	-2.108234088846008	1	1	1.395470381977922e-4	0
ALAS1	5.671048883707534e-11	-2.0863422492674575	0.75	1	1.8814838881476485e-6	-0.25
IKZF3	4.343106378154138e-7	2.0580126081941685	1	0.75	0.014409124030801983	0.25
GSTA4	2.6314275255111868e-11	-2.0386570802275172	0.75	1	8.730287101388465e-7	-0.25
RGN	1.0798324735326155e-11	-2.0300680622975333	0.5	1	3.5825601974391584e-7	-0.5
FCRL1	3.2416338043650005e-7	2.005290510920202	1	0.25	0.010754768472741762	0.75
KCNQ3	4.742557063425933e-9	-1.9991241989173862	1	1	1.5734381569328218e-4	0
MT-ND5	1.0299692459305259e-8	-1.9760045501509222	1	1	3.417128967223706e-4	0
RPS8	1.1901554124372935e-7	-1.9749799567777135	1	1	0.003948578611843208	0
AL117190.2	3.4618556158072843e-9	-1.966167448233537	0.5	0.75	1.1485398376563827e-4	-0.25
KCNQ1OT1	1.7977860194275942e-8	-1.9659773806440441	0.75	1	5.964514676654929e-4	-0.25
MEIS1	2.6969220420993783e-8	-1.9553593986273268	1	1	8.947578259073108e-4	0
RALYL	2.6194764051742185e-9	-1.9473043645509516	1	1	8.690636869446505e-5	0
TLR2	3.816603524629384e-7	-1.9395434614222435	1	1	0.012662345513662908	0
DLK1	4.1703523217105676e-13	-1.9243958104151149	0.25	1	1.383597789773915e-8	-0.75
MT-ND4L	2.1638940492010339e-7	-1.9052380618259388	0.75	1	0.00717915128703427	-0.25
MPPED2	1.1560944387798137e-9	1.9009818248937111	1	1	3.8355745195397876e-5	0
HDHD3	3.4040175524512115e-8	-1.8908389941560972	0.75	1	0.0011293509033767385	-0.25
AOX1	6.356579311856897e-8	-1.816955183137055	0.75	1	0.002108922318294763	-0.25
NR2F2	2.927765354671177e-7	-1.8132022497027327	0.75	1	0.009713447117192563	-0.25
