gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	1.53761755112484e-148	-11.374794302178085	0.001	0.825	5.1013537493668815e-144	-0.824
CYP21A2	7.428548176420802e-76	-9.501839289969295	0.001	0.495	2.4645694284911296e-71	-0.494
NOV	7.345132284530651e-72	-8.981113794183269	0.001	0.475	2.4368945380387338e-67	-0.474
RARRES2	1.8661749932467484e-61	-8.210669351858291	0.005	0.435	6.191408775094737e-57	-0.43
DLK1	2.198162265822307e-50	-8.20097468626444	0.001	0.35	7.292842949318668e-46	-0.349
CYP17A1	7.763884365158539e-166	-8.05715555738376	0.012	0.915	2.5758239158286484e-161	-0.903
STAR	7.202019397040756e-66	-7.9826830158344535	0.003	0.45	2.3894139753562115e-61	-0.447
HSD3B2	1.5339828893151773e-67	-7.911544687222978	0.003	0.46	5.089295031880964e-63	-0.457
PEG10	8.330176302055489e-28	-7.435189326897318	0.001	0.205	2.76370259173295e-23	-0.204
IGHM	5.109251551486013e-21	7.347439010174205	0.227	0	1.6950963872365146e-16	0.227
IGHA1	3.2402101705056054e-24	6.609675860593955	0.29	0.005	1.0750045282686447e-19	0.285
FCRL1	9.555628351754765e-18	6.251420762485942	0.221	0.005	3.1702708182616784e-13	0.216
GML	2.771624376011647e-124	-6.144292928466166	0.032	0.805	9.195418192293841e-120	-0.773
TBX3	3.2482558056142154e-46	-6.104569168348674	0.005	0.35	1.0776738286286282e-41	-0.345
TIMD4	1.4913472412479403e-22	5.777760016709308	0.295	0.015	4.947842742288292e-18	0.27999999999999997
IGLC2	6.525616158707805e-22	5.7297647232793025	0.267	0.005	2.1650036729744885e-17	0.262
DCN	1.7591803581127067e-50	-5.624375730224235	0.03	0.465	5.836432674110527e-46	-0.43500000000000005
HSPA1B	8.564399676160754e-33	-5.594101658409274	0.009	0.28	2.8414108805598534e-28	-0.271
DHCR24	7.268782060865001e-76	-5.322210300700328	0.027	0.595	2.4115638243331815e-71	-0.568
RGN	2.1230364043164213e-41	-5.112028899357443	0.009	0.34	7.043597878600591e-37	-0.331
CLU	1.045076524253529e-65	-4.956556237080352	0.014	0.505	3.467250384515933e-61	-0.491
AL117190.2	1.8792952984092484e-40	-4.836006856539322	0.02	0.37	6.234938011532363e-36	-0.35
GSTA1	1.1520450551696993e-36	-4.7699593161263225	0.014	0.325	3.822139879536511e-32	-0.311
IGKC	4.187411282789272e-60	4.557914902535537	0.674	0.06	1.3892574412909967e-55	0.6140000000000001
NR5A1	8.028727016941521e-22	-4.5133994492605165	0.012	0.215	2.663690762410688e-17	-0.20299999999999999
MGP	3.742747250544294e-33	-4.513257004494175	0.053	0.395	1.2417312553130804e-28	-0.342
CYP11A1	2.4055192345311794e-59	-4.471143499472822	0.028	0.52	7.980791164404093e-55	-0.492
SEMA3B	2.779470652679282e-23	-4.391243599922792	0.027	0.265	9.221449784394054e-19	-0.23800000000000002
MT2A	7.175213813203394e-65	-4.29827347403297	0.024	0.54	2.38052068680649e-60	-0.516
SPON2	3.252562931634065e-22	-4.2749500174757316	0.1	0.21	1.0791028038282337e-17	-0.10999999999999999
IGHG3	5.111510428465555e-16	4.251382487239609	0.245	0.02	1.6958458148520173e-11	0.225
IGHG1	8.823047854726391e-16	4.179088141427377	0.253	0.025	2.927222586762575e-11	0.228
MEG3	1.1720187041316499e-83	-4.142180171762149	0.077	0.73	3.8884064546975747e-79	-0.653
KCNK3	1.3258051222925583e-40	-4.133819100473194	0.028	0.4	4.3986236542300204e-36	-0.372
VCAM1	1.6819016823693066e-14	4.005823703600602	0.272	0.055	5.580045211596648e-10	0.21700000000000003
IGFBP5	1.6054223308731194e-45	-3.988715819804094	0.06	0.505	5.326309667137748e-41	-0.445
HSPA1A	5.924605065128712e-30	-3.965604647073092	0.058	0.37	1.9656062224577528e-25	-0.312
AC093110.1	3.351269471898946e-17	-3.871985766656727	0.022	0.205	1.1118506726919134e-12	-0.183
RGS1	1.3369228103246476e-18	-3.871310101941926	0.027	0.23	4.435508807814083e-14	-0.203
JAG1	1.2023389535525281e-33	3.8503252778554162	0.494	0.065	3.9889999462012224e-29	0.429
ALAS1	1.0107065409280722e-37	-3.8279795015744904	0.043	0.415	3.353221090837065e-33	-0.372
PEBP1	1.1439368169287213e-46	-3.757946549220798	0.087	0.525	3.795239177524419e-42	-0.43800000000000006
BLK	1.619224559859066e-12	3.7034738369886675	0.206	0.02	5.3721013222444235e-8	0.186
GSTA4	2.622962366477026e-37	-3.6567694956168975	0.043	0.415	8.702202243260829e-33	-0.372
IL7R	2.0362929339778364e-12	3.6278432467972066	0.225	0.03	6.755809067058268e-8	0.195
GATA6	1.7625888624685933e-21	-3.5040457090662174	0.031	0.27	5.847741069012052e-17	-0.23900000000000002
FDXR	1.458510678994612e-20	-3.444209652270015	0.024	0.245	4.838900879700424e-16	-0.221
MCOLN3	9.311225541342943e-17	-3.3985057551235416	0.023	0.21	3.089185297851348e-12	-0.187
SLC16A9	6.444702144845438e-32	-3.355146083730806	0.045	0.385	2.138158830595371e-27	-0.34
SCML4	7.014042513447033e-17	3.3483538177843033	0.256	0.02	2.327048884686322e-12	0.23600000000000002
C7	7.136376598747165e-38	-3.3075943906032985	0.091	0.5	2.367635664166347e-33	-0.40900000000000003
HS3ST2	9.745309532164883e-37	3.2839659492843167	0.597	0.12	3.233201343486343e-32	0.477
MEG8	3.5144779786688546e-34	-3.276721030728649	0.043	0.4	1.1659983589829659e-29	-0.35700000000000004
MFGE8	6.96106288311076e-14	-3.2535164556207703	0.042	0.215	2.3094718327296567e-9	-0.173
TTN	6.828273244490678e-38	3.185591752364252	0.648	0.22	2.265416214324672e-33	0.42800000000000005
MMP19	8.967713622007342e-10	3.1702089441068186	0.272	0.08	2.975218348373376e-5	0.192
HDHD3	1.082278874896121e-34	-3.1055260845577592	0.053	0.425	3.590676623242861e-30	-0.372
HSPB1	5.103404932960603e-18	-3.1018892894799905	0.045	0.27	1.693156654608339e-13	-0.22500000000000003
SLIT2	1.3160226797269658e-49	-3.039056021220521	0.165	0.66	4.3661684445301544e-45	-0.495
MT-CO1	5.875589786384199e-115	-3.0318871501928006	0.449	0.945	1.9493444234286856e-110	-0.49599999999999994
MAMSTR	1.4850102126412095e-15	-3.0293123221812053	0.031	0.22	4.926818382479741e-11	-0.189
HSPE1	3.87145648734967e-15	-3.0270402173274364	0.041	0.235	1.2844331188080001e-10	-0.19399999999999998
FP236383.1	2.0591889555663732e-16	3.0256861609503054	0.547	0.24	6.831771197882556e-12	0.30700000000000005
FDX1	2.7640095387316302e-40	-2.9852967187255732	0.12	0.555	9.17015444664993e-36	-0.43500000000000005
MT-ATP6	7.706440790278893e-86	-2.976651431560945	0.287	0.89	2.5567658609908283e-81	-0.603
ROBO3	2.1361416783173048e-20	-2.9630835841076983	0.051	0.305	7.087077246153322e-16	-0.254
SLC16A10	9.929638323301565e-31	2.9532975996321578	0.671	0.28	3.2943561065217603e-26	0.391
KCNQ3	6.368695387087051e-27	-2.953133518230804	0.175	0.475	2.1129420685738708e-22	-0.3
AOX1	8.589768522152363e-28	-2.941793167272948	0.073	0.41	2.8498275025944895e-23	-0.33699999999999997
CD247	9.051734807284193e-21	2.9227258536123726	0.413	0.085	3.0030940570126767e-16	0.32799999999999996
LPL	4.542918459044305e-9	2.9208564927420197	0.203	0.04	1.5072040571571292e-4	0.163
SULT2A1	3.800467104250044e-15	-2.9193887015922	0.046	0.245	1.260880971177037e-10	-0.199
LCK	9.130012409378994e-11	2.9118059284507884	0.217	0.035	3.029064217059669e-6	0.182
MT-ND4	1.3965930807765323e-90	-2.9092363626406534	0.39	0.9	4.633476864092301e-86	-0.51
SCN9A	3.4775343277933785e-26	2.9063643118443423	0.474	0.09	1.1537415639320092e-21	0.384
MEIS2	5.130224354539477e-31	-2.8846412909401615	0.122	0.49	1.7020545341055624e-26	-0.368
RIPOR2	1.043476554559279e-31	2.8738199748995847	0.599	0.17	3.46194216506132e-27	0.42899999999999994
STOX2	8.328043084105138e-26	2.872491713407724	0.524	0.14	2.7629948540135614e-21	0.384
CHAD	5.249035604540647e-11	-2.86140193482155	0.058	0.205	1.7414725425184503e-6	-0.147
COX7C	3.0676134715712488e-12	-2.8520224083982666	0.054	0.22	1.0177421214631933e-7	-0.166
RHOH	2.574126506679504e-13	2.842259459322359	0.284	0.055	8.54017951121059e-9	0.22899999999999998
EGR2	4.633192959019845e-13	2.8275358223550695	0.254	0.04	1.537154428014014e-8	0.214
MT-CO3	8.848347769299027e-91	-2.82322661045984	0.336	0.94	2.935616339420338e-86	-0.6039999999999999
MEIS1	4.871582824084806e-31	-2.8015118042562044	0.111	0.49	1.616245033546616e-26	-0.379
