gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	4.5335123659429375e-24	-5.270741101214945	0.5	1	1.5040833976488883e-19	-0.5
CYP11B1	2.2155899132748082e-23	-4.9330505494856265	0	1	7.350662655271831e-19	-1
STAR	2.0156613850291116e-11	-3.812361662675534	0.25	1	6.687359777111083e-7	-0.75
IGKC	2.804274759859886e-9	3.712585114142102	1	1	9.303742370787144e-5	0
DHCR24	1.2929315853115098e-20	-3.6519117617917365	0.5	1	4.2895591205879963e-16	-0.5
GML	1.5560462888987081e-7	-3.618083849916683	0.5	1	0.005162494772679244	-0.5
RARRES2	4.717878333151416e-16	-3.6161267240695683	0.25	1	1.5652504945896453e-11	-0.75
MEG3	1.5870611869012834e-27	-3.586690231375146	1	1	5.265392899782388e-23	0
MT-CO3	4.5589287569973236e-15	-3.3424444495693653	1	1	1.512515793709002e-10	0
HSD3B2	1.9337820288579958e-16	-3.3300039289031007	0	1	6.415708637142173e-12	-1
RALYL	1.7776794226636332e-8	-3.3177312553675424	0.75	1	5.897807020571135e-4	-0.25
MT-CO1	2.270472109217241e-18	-3.2519601389564325	1	1	7.53274531675004e-14	0
CYP21A2	4.067612198086598e-16	-3.245293794492169	0	1	1.3495116989591907e-11	-1
GSTA1	7.84058323424695e-15	-3.2440008422105073	0	1	2.6012702996261104e-10	-1
CYP11A1	1.418064623850335e-8	-3.216074774598198	0.5	1	4.7047130025482564e-4	-0.5
SLC16A10	4.3585024381563403e-7	3.190276328632838	1	1	0.01446020353907129	0
MT-ND1	1.0843079598073941e-16	-3.125924490338743	0.75	1	3.5974085182529915e-12	-0.25
SORBS2	3.7612038187174147e-22	-3.1131121786003657	1	1	1.2478545909358767e-17	0
VCAM1	2.2690921963419812e-21	3.0650923352261747	1	1	7.528167179803791e-17	0
MT-CYB	7.788397273834575e-19	-3.054418439989415	1	1	2.583956563540097e-14	0
MT-CO2	5.0788908407304825e-14	-3.0449700240203965	1	1	1.6850236142291522e-9	0
ITGAD	1.3940437069084466e-20	3.035035348118141	1	1	4.625018806410153e-16	0
CLU	2.5960515987683675e-14	-3.02910266589509	0.25	1	8.612920389233812e-10	-0.75
KCNQ3	1.4851473743185822e-21	-3.023004117805155	1	1	4.92727344377676e-17	0
SLIT2	1.0959041251659126e-8	-2.9793403274116876	0.75	1	3.635881116062948e-4	-0.25
NOV	2.0548454930290167e-8	-2.959693731664685	0.25	1	6.817360892222369e-4	-0.75
RIMS2	1.7506287891188024e-8	-2.8931296424049453	1	1	5.808061133659451e-4	0
MT-ND3	2.3500477358076897e-17	-2.888600973433473	0.75	1	7.796753373089172e-13	-0.25
PEBP1	1.1139984026795568e-11	-2.8295818763169716	1	1	3.695912500569966e-7	0
FBXL7	1.029218663764714e-15	-2.8269428340226943	1	1	3.414638760772192e-11	0
HSPE1	9.075573042022105e-7	-2.784281733322274	0.75	1	0.03011002868151674	-0.25
TTN	9.275049048951775e-25	2.7648458114706616	1	1	3.0771830229707305e-20	0
FDX1	7.548914169536163e-14	-2.7173501667853817	1	1	2.5045032540270126e-9	0
HMOX1	2.6229957369454726e-10	2.67574167768031	1	1	8.702312956463994e-6	0
MT-ND2	2.629733575760001e-10	-2.6744017929210813	1	1	8.724667084298956e-6	0
C7	3.508954575633447e-21	-2.624843628506831	0.75	1	1.1641658595579087e-16	-0.25
PDE10A	5.380857151169998e-21	-2.60693962763867	0.75	1	1.7852069770436703e-16	-0.25
BACH2	2.560119716018368e-15	2.6021082007289418	1	1	8.49370918183414e-11	0
IGHG1	1.272504858771005e-7	2.5873520765984894	1	0.5	0.004221789369944563	0.5
FADS2	1.107473725842078e-17	-2.542207976306588	1	1	3.674265580226262e-13	0
DCN	1.563789074604189e-17	-2.5309476792243	0.75	1	5.188183012814318e-13	-0.25
RPS8	1.1800260857224037e-9	-2.5251664001126333	1	1	3.914972544601219e-5	0
PEG10	8.443445648334133e-12	-2.4928054637644825	0	1	2.8012819627478154e-7	-1
IGHM	1.6522372275178208e-9	2.4521593166308384	1	0.25	5.481627449735874e-5	0.75
ALAS1	2.4143609014554254e-17	-2.447044024092834	0.75	1	8.010125162758665e-13	-0.25
TIMD4	9.221988586865371e-17	2.443025306209774	1	0.75	3.059579153464324e-12	0.25
SDC2	2.37226160503633e-14	2.43710961071728	1	1	7.870452327029032e-10	0
FGF13	1.4078629558401457e-11	2.38387065755104	1	1	4.6708669285908517e-7	0
AOX1	3.219475535835937e-17	-2.359907194569739	1	1	1.0681253985242888e-12	0
DLK1	1.0069162432076781e-11	-2.3597947335875387	0	1	3.3406460200901135e-7	-1
TBX3	4.947508901328665e-12	-2.351930667360172	0.25	1	1.6414350281938112e-7	-0.75
PBX1	1.1731254757948184e-17	-2.336828461684348	1	1	3.892078391044469e-13	0
AL117190.1	1.753655567776451e-12	-2.2920313556003835	0.5	1	5.8181030772119315e-8	-0.5
KCNK3	4.868034527479926e-12	-2.2812982376553896	0.5	1	1.615067815182015e-7	-0.5
GSTA4	2.7568651708844523e-12	-2.2434503876011056	0.5	1	9.146451577443347e-8	-0.5
ELL2	5.783854936218262e-7	2.2269921672952577	1	1	0.01918909552189133	0
PRKG1	7.506102334400021e-10	-2.2266759921623462	1	1	2.490299571483895e-5	0
RPL23	9.98248164436395e-8	-2.2156887608798774	1	1	0.003311887935150628	0
RIPOR2	1.2128711258397213e-10	2.1902312260656114	1	1	4.023942534198444e-6	0
MYL9	1.1768580411658248e-9	-2.177796264048216	0.75	1	3.904461923175857e-5	-0.25
MEG8	5.143809788797476e-13	-2.1763639590509523	0.75	1	1.7065617736293387e-8	-0.25
MEIS1	1.354118050463579e-10	-2.1738180012501247	0.75	1	4.492557456023015e-6	-0.25
LINC01807	7.568772310589499e-11	-2.155010729916045	0.75	1	2.511091589484278e-6	-0.25
AL117190.2	2.8253680749860194e-10	-2.1536668044158205	0.25	1	9.373723662381116e-6	-0.75
IGFBP5	5.2436648804995704e-17	-2.150289119303757	1	1	1.7396906974033426e-12	0
PPARG	1.3819489544004305e-9	2.1477420520795785	1	1	4.584892046014308e-5	0
IGLC2	4.182651696622109e-14	2.146931518936752	1	0.75	1.387678353388317e-9	0.25
SCD5	4.591966041069819e-12	-2.1441881930887314	0.75	1	1.5234765734457338e-7	-0.25
MGARP	6.261602495658014e-7	-2.144007031841774	0.25	1	0.020774118599844595	-0.75
AP000812.1	7.792558237576286e-9	2.138731737778607	1	1	2.5853370464806844e-4	0
LSAMP	6.242013724104532e-10	-2.136789820066004	0.75	1	2.0709128932461605e-5	-0.25
PGM5	1.2725177808611539e-11	-2.1348843658730177	0.75	1	4.2218322415630504e-7	-0.25
RPS18	1.4695651487041116e-7	-2.1319125797748515	1	1	0.004875576293855631	0
SEMA3B	1.8956406913506627e-11	-2.126143284067258	0.5	1	6.289167121694093e-7	-0.5
CEMIP2	2.9126154815038094e-7	2.1256145650176927	1	1	0.009663184382985189	0
MT-ND4L	2.842987022845566e-14	-2.1019275413536933	1	1	9.432178045694734e-10	0
SULT2A1	2.5438333680343908e-9	-2.0982838075146484	0.5	1	8.439675965127698e-5	-0.5
SCARB1	1.4749832206150294e-13	-2.0872834666670332	1	1	4.893551831034483e-9	0
UQCRB	2.3635950570981006e-9	-2.086279158404277	0.75	1	7.841699320934368e-5	-0.25
RGN	7.844534633027042e-11	-2.0790779420287735	0.25	1	2.6025812551993816e-6	-0.75
RCAN1	4.0939543665942066e-8	2.043430109010377	1	1	0.0013582512402049599	0
SLC16A9	1.5529544440237555e-14	-2.0303472664218964	0.75	1	5.152236958937613e-10	-0.25
FAM177B	6.531432871400803e-10	-2.021635098763405	0.75	1	2.1669334837446444e-5	-0.25
FADS1	1.3349415842308309e-9	-2.0156241309796625	0.75	1	4.428935694002628e-5	-0.25
MEIS2	4.12294496842287e-10	-2.0139415225884263	1	1	1.3678694521736556e-5	0
