gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	9.78933087590537e-37	-4.355448560407972	0.75	1	3.2478063046991246e-32	-0.25
CYP11B1	1.7278719674614503e-21	-4.3445846751239525	0.5	1	5.732560826446854e-17	-0.5
GML	1.6292070644346033e-36	-4.046786811121885	0.25	1	5.405220277674683e-32	-0.75
MMP19	2.8705368610768324e-7	3.7573704705536866	1	1	0.009523580143994606	0
VCAM1	9.193684596890874e-9	3.4784916693018655	1	1	3.0501887387104855e-4	0
MEG3	1.1124785137092176e-42	-3.470868972745125	0.75	1	3.690869964933071e-38	-0.25
SORBS2	3.231113214446374e-9	-3.3027282643899625	0.5	1	1.0719864311568736e-4	-0.5
STAR	1.795145192375826e-22	-3.058319194113835	0.5	1	5.955753204745278e-18	-0.5
ITGAD	1.0677137322415016e-18	3.0502834073553906	1	0.75	3.5423538494576297e-14	0.25
FBXL7	7.969360070378574e-7	-3.0241701200378874	0.75	1	0.026439945905494994	-0.25
RALYL	2.4615376858385882e-8	-3.0201785189598116	0.75	1	8.166643580306684e-4	-0.25
IPCEF1	2.515323881482053e-8	2.97320156827947	1	1	8.345090041593007e-4	0
DSCAM	2.3713238109994238e-8	2.9513713892358973	1	1	7.867341007752788e-4	0
SDC2	1.1706505706322674e-8	2.912976941718351	1	1	3.883867398186674e-4	0
MT-CO3	1.676115469381602e-17	-2.904355805153989	0.75	1	5.56084829276734e-13	-0.25
HMOX1	3.0999061066026467e-16	2.8887936473604467	1	1	1.02845584898756e-11	0
RARRES2	1.6864396260963785e-10	-2.886834291789018	0.25	1	5.595100747499955e-6	-0.75
DHCR24	6.648404089716496e-24	-2.8445260119025164	0.75	1	2.205741024845242e-19	-0.25
CYP11A1	8.168298267715233e-26	-2.8145178999264107	0.5	1	2.7099963162798827e-21	-0.5
HSD3B2	2.240475441380456e-21	-2.640797779393086	0	1	7.433225371867939e-17	-1
MT-ATP6	8.559536382423342e-20	-2.6285275579417537	1	1	2.839797385596592e-15	0
MT-CO2	2.339570236748245e-13	-2.6257608329539073	1	1	7.761992174459652e-9	0
CYP21A2	8.769261740514384e-22	-2.594659478710513	0	1	2.909377967650457e-17	-1
P2RY14	1.977911288039416e-14	-2.5753684839682522	0.75	1	6.562116280328371e-10	-0.25
MT-ND4	8.723939812242282e-15	-2.5555838324334044	1	1	2.894341511507622e-10	0
MT-ND3	5.386279353807905e-23	-2.505321212764602	1	1	1.7870059012128485e-18	0
MT-CYB	4.3356471029989305e-13	-2.4527730366420464	0.75	1	1.4384376393619551e-8	-0.25
AP000812.1	1.899479698113391e-12	2.4401397275674976	1	1	6.301903794430798e-8	0
MT-ND1	4.211907021828524e-17	-2.382728135131528	1	1	1.3973843926320494e-12	0
SLIT2	1.2767827527836773e-11	-2.362910684309867	1	1	4.235982138910406e-7	0
CALCRL	1.7906509866035111e-10	2.3578775749089695	1	1	5.940842778254469e-6	0
SH3RF3	6.937270858025312e-19	-2.3554003026031616	1	1	2.3015783525670576e-14	0
LINC01500	3.474568380236917e-14	2.34804259250408	1	1	1.1527575515112018e-9	0
AL162414.1	4.052359962780688e-21	-2.3247838837984585	1	1	1.3444514648517487e-16	0
IGLC2	6.822261937952732e-7	2.324417741722235	1	0.75	0.02263421843154578	0.25
NOV	9.254276742732464e-11	-2.3203837700568113	0	1	3.0702913949363496e-6	-1
GSTA1	5.522459099217373e-19	-2.2873811360817022	0.25	1	1.832186255347348e-14	-0.75
PDE10A	1.6203107188115004e-18	-2.2656081115999296	0.75	1	5.3757048718009146e-14	-0.25
ABLIM1	5.350167864926573e-9	-2.220699110887526	1	1	1.7750251925466892e-4	0
PPARG	1.8540686263424004e-8	2.2177596722677237	1	1	6.151243481616181e-4	0
PBX1	8.440866311828628e-11	-2.215554986134252	1	1	2.8004262162753837e-6	0
CLU	5.336669183404603e-19	-2.206142938561077	0.5	1	1.7705467349781452e-14	-0.5
SCARB1	9.910984369003851e-14	-2.205066406410566	1	1	3.288167284104408e-9	0
GLUL	2.2977643190938633e-9	2.132746724914971	1	1	7.623292681457711e-5	0
ALAS1	4.904150646935642e-13	-2.129778332998336	0.5	1	1.627050060133838e-8	-0.5
MBOAT1	1.2094080737856154e-8	2.116574960831943	1	1	4.012453166398536e-4	0
C7	3.753262266285515e-19	-2.1150680603731753	1	1	1.2452198220855454e-14	0
AOX1	2.1823828785402718e-16	-2.0823399606752333	0.5	1	7.24049167613306e-12	-0.5
FDX1	7.494272352004342e-16	-2.0816154466770493	1	1	2.4863747382244804e-11	0
RIPOR2	8.479919909839871e-14	2.072261196827794	1	0.75	2.813383028487574e-9	0.25
GSTA4	2.6106980937999457e-10	-2.0678797099002133	0.5	1	8.66151306580008e-6	-0.5
TENM3	8.5406580518791e-9	-2.067700460024769	0.75	1	2.8335341218719293e-4	-0.25
MLXIPL	1.1079236795986842e-14	-2.061372558829504	1	1	3.6757583918045547e-10	0
PNPLA6	4.465672293938196e-10	2.027450479648816	1	1	1.4815760969598754e-5	0
MEIS1	5.935912921834297e-15	-2.016967864644533	0.75	1	1.9693578300769647e-10	-0.25
TCF7L2	1.4797285418962865e-6	2.0002114710703713	1	1	0.049092953834493094	0
AL117190.1	1.3526830252885373e-15	-1.9991767415469754	0.5	1	4.4877964729997804e-11	-0.5
RPS18	2.385080540118759e-7	-1.9913399741798425	1	1	0.007912981707952007	0
MSI2	5.970081893166422e-10	-1.9804228605824878	1	1	1.980694069695824e-5	0
LSAMP	2.1876702926362383e-9	-1.978499332960837	0.75	1	7.258033729879248e-5	-0.25
