gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	4.775713007669365e-99	-10.46606799137681	0	0.412	1.5844383045544654e-94	-0.412
HSD3B2	4.463905512068868e-102	-10.398395879114348	0	0.423	1.4809899317390883e-97	-0.423
TBX3	2.9117196448591413e-63	-9.625219877612622	0	0.273	9.660212265749173e-59	-0.273
DLK1	1.2599361806694915e-64	-9.465030902596878	0	0.279	4.1800902666071716e-60	-0.279
GSTA1	5.758976188602845e-62	-8.02755009551929	0.001	0.282	1.9106555300927657e-57	-0.28099999999999997
GML	1.1613486754047865e-210	-7.975482107079846	0.011	0.787	3.85300650039046e-206	-0.776
RARRES2	1.757503007510234e-102	-7.929369486216709	0.005	0.453	5.830867728016703e-98	-0.448
STAR	9.85363656916306e-109	-7.014902844248126	0.004	0.478	3.2691410045512283e-104	-0.474
MEG3	1.524218327924601e-162	-6.066723562815218	0.024	0.699	5.056899146555449e-158	-0.6749999999999999
CLU	9.255934508478085e-82	-5.684933089632936	0.012	0.412	3.070841391877774e-77	-0.39999999999999997
IGHA1	1.7345204062723874e-31	5.5510364508355545	0.241	0.008	5.7546183518899e-27	0.23299999999999998
IGKC	8.855231373908366e-99	5.515377937956769	0.623	0.036	2.9379001129215784e-94	0.587
DHCR24	2.8266400485891344e-121	-5.3737591573967665	0.022	0.583	9.377943689204172e-117	-0.5609999999999999
IGLC2	5.585484914437608e-24	5.234518056650828	0.209	0.014	1.8530963300629652e-19	0.19499999999999998
RGN	4.452160726569366e-56	-5.154128833260133	0.008	0.296	1.4770933642539186e-51	-0.288
IGHG3	9.881155226646359e-28	5.1086694783376325	0.237	0.017	3.2782708695444626e-23	0.21999999999999997
RALYL	1.5629435793483736e-123	-5.089478540796363	0.046	0.624	5.1853779132041e-119	-0.578
AL117190.1	4.648753559522525e-69	-5.075854122018652	0.011	0.362	1.542316968442788e-64	-0.351
LINC01807	8.66000865634629e-43	-5.050459602189594	0.015	0.249	2.8731310719160085e-38	-0.23399999999999999
RHOH	3.859770623430389e-35	5.041816239662851	0.264	0.008	1.2805560997355002e-30	0.256
TIMD4	1.3256789316493505e-78	4.9962329065509525	0.521	0.022	4.39820499153305e-74	0.499
AOX1	2.021251774961927e-64	-4.9746602921956455	0.019	0.359	6.705907013791185e-60	-0.33999999999999997
AL117190.2	2.1838259164035694e-55	-4.873537045978119	0.008	0.293	7.245279242852122e-51	-0.285
IGHG1	9.881813647304813e-30	4.8491515212329706	0.246	0.014	3.278489313766318e-25	0.23199999999999998
DCN	4.5792141290427046e-54	-4.714712783391834	0.016	0.315	1.5192458715924981e-49	-0.299
LINC00290	1.0538071241568396e-42	-4.649671429777744	0.014	0.257	3.4962158958151466e-38	-0.243
HSPA1B	2.6672688503532597e-46	-4.636429354268949	0.021	0.29	8.84919786481701e-42	-0.26899999999999996
SPON2	1.6194665918683152e-36	-4.589069602356623	0.087	0.229	5.372904311841509e-32	-0.14200000000000002
