gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	1.2793430915527431e-142	-10.666244336086807	0	0.38	4.244476574844536e-138	-0.38
HSD3B2	1.8745023251274375e-157	-10.659521521036474	0	0.414	6.2190363640753e-153	-0.414
DLK1	2.6749298042381047e-95	-9.803410289354748	0	0.264	8.87461461152076e-91	-0.264
TBX3	5.124552076137702e-90	-9.736272130220307	0	0.25	1.7001726423002056e-85	-0.25
GSTA1	1.3171431194950426e-99	-9.267177226220973	0.001	0.283	4.369885727548703e-95	-0.282
RARRES2	3.5972264378769685e-143	-8.02779960377709	0.004	0.403	1.1934518152944418e-138	-0.399
GML	0	-7.933441728028378	0.011	0.786	0	-0.775
STAR	7.707536450355918e-155	-7.096003095937327	0.003	0.43	2.557129368134583e-150	-0.427
MEG3	4.003498563418711e-280	-6.203128254997367	0.022	0.718	1.3282407183854258e-275	-0.696
SPON2	6.1886553172746365e-204	-6.136443035869458	0.072	0.531	2.0532101746122061e-199	-0.459
IGHG1	6.662271633703384e-57	5.764741587939429	0.237	0.008	2.210341859913772e-52	0.22899999999999998
DHCR24	1.1721968678869467e-194	-5.656917591335356	0.017	0.563	3.888997548588523e-190	-0.5459999999999999
AL117190.2	1.1237581408627524e-111	-5.510288812589779	0.006	0.343	3.7282923839403537e-107	-0.337
IGHA1	1.031378086262674e-62	5.477608162040894	0.261	0.01	3.4218030767936734e-58	0.251
TIMD4	2.3670138863854697e-109	5.405906321306876	0.418	0.016	7.853041970861072e-105	0.40199999999999997
LINC01807	1.805814904197665e-105	-5.333733272030199	0.013	0.35	5.991152107656594e-101	-0.33699999999999997
IGKC	5.1380606830460516e-167	5.308293474953397	0.6	0.037	1.7046543928141886e-162	0.563
DCN	9.925797383091201e-88	-5.2683327639312125	0.011	0.298	3.2930817977881676e-83	-0.287
AOX1	1.1272487735357024e-113	-5.2444228886685345	0.015	0.376	3.7398732559594e-109	-0.361
RALYL	2.4266796128198472e-220	-5.185438915765781	0.041	0.653	8.050994951452407e-216	-0.612
CLU	1.1579169003712526e-97	-5.026347879862794	0.012	0.331	3.8416209003617044e-93	-0.319
RGN	5.1367149185022906e-79	-4.927087941326281	0.006	0.259	1.704207908511505e-74	-0.253
ITGAD	4.602120483409763e-72	4.902896309853421	0.313	0.018	1.526845512780857e-67	0.295
KCNK3	1.9180637352004043e-103	-4.825766216678807	0.019	0.362	6.363560054274381e-99	-0.34299999999999997
AL117190.1	3.610444389824207e-111	-4.766105569159507	0.012	0.366	1.1978371352119772e-106	-0.354
MEG8	1.246053592185453e-130	-4.757168929880521	0.02	0.435	4.134032002793678e-126	-0.415
HSPA1A	6.688788430879479e-76	-4.732538360087226	0.043	0.314	2.219139337712885e-71	-0.271
VCAM1	2.7288044253510447e-111	4.675049536452749	0.487	0.052	9.053354441987161e-107	0.435
CDH2	2.4839783647488225e-59	-4.656825505412686	0.01	0.219	8.241095020727168e-55	-0.209
GSTA4	3.5552467710836443e-91	-4.548792252206853	0.024	0.34	1.1795242212424207e-86	-0.316
HSPA1B	6.53409924751286e-60	-4.513664372401127	0.016	0.238	2.1678181073473414e-55	-0.22199999999999998
IGHG3	1.022479212024428e-49	4.3866613280022655	0.255	0.027	3.392279281733445e-45	0.228
SORBS2	8.740005878005812e-251	-4.380192392179882	0.09	0.758	2.8996717501459885e-246	-0.668
LINC00290	8.68354232309203e-62	-4.310204632104091	0.013	0.237	2.880938836532243e-57	-0.22399999999999998
MEIS1	8.604988437219299e-106	-4.278814839160116	0.027	0.393	2.8548770138162468e-101	-0.366
ALAS1	6.073773161131743e-87	-4.261173023131392	0.027	0.341	2.0150957216686784e-82	-0.314
SEMA3B	2.655877608295961e-59	-4.215650567391261	0.01	0.219	8.811405141043509e-55	-0.209
SLIT2	3.7238136950175746e-150	-4.210189180020845	0.045	0.536	1.2354496695959808e-145	-0.49100000000000005
JAG1	7.975878870366349e-86	4.208670281428482	0.394	0.034	2.6461573328214434e-81	0.36
MCOLN3	4.1986489819547764e-52	-4.177552250980166	0.011	0.201	1.3929857727431362e-47	-0.19
NXPH1	1.5533433708342443e-70	-4.093633034016054	0.018	0.276	5.153527301416772e-66	-0.258
IKZF3	2.988098436896189e-43	4.087141128782359	0.227	0.023	9.913614184090485e-39	0.20400000000000001
LNCAROD	1.3457859686373153e-50	-4.0583551273728675	0.022	0.226	4.464914108148021e-46	-0.20400000000000001
CALCRL	4.537641875726611e-81	3.9981590132322085	0.406	0.052	1.5054534451098177e-76	0.35400000000000004
