gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
HSD3B2	1.7518800167320633e-149	-10.900672945973932	0	0.389	5.812212331511967e-145	-0.389
NOV	5.671363402435288e-128	-10.845824593426642	0	0.339	1.8815882360259555e-123	-0.339
CYP21A2	1.2870365758768926e-138	-10.755762393949434	0	0.364	4.2700012477867665e-134	-0.364
CYP11B1	0	-10.064024747024058	0.001	0.814	0	-0.813
DLK1	1.443312892009876e-88	-9.972328010179378	0	0.242	4.788479181821165e-84	-0.242
RARRES2	3.21171106342573e-126	-9.188588725479313	0.002	0.349	1.0655493795127545e-121	-0.347
CYP17A1	0	-8.736734088041032	0.004	0.788	0	-0.784
GSTA1	4.9547449211982996e-83	-8.347240722501612	0.001	0.24	1.6438357225059598e-78	-0.239
GML	6.58583754301825e-301	-8.032541577244702	0.008	0.714	2.1849833216471648e-296	-0.706
CYP11A1	5.2547317851400686e-135	-6.667481530881788	0.004	0.381	1.7433623643559206e-130	-0.377
STAR	2.4519020033117485e-132	-6.529642732088749	0.003	0.371	8.134675276387389e-128	-0.368
IGHG1	5.402956077458612e-54	6.208997373639356	0.223	0.004	1.7925387378184435e-49	0.219
TBX3	1.7166588223461094e-80	-6.13674829365229	0.001	0.233	5.695358974897687e-76	-0.232
SPON2	8.746722180668889e-220	-6.135633698092699	0.054	0.573	2.901900017880517e-215	-0.5189999999999999
AL117190.2	1.2680436308620084e-103	-5.856648643953191	0.004	0.309	4.206988354110885e-99	-0.305
MEG3	9.50029863637881e-253	-5.7302141300626595	0.017	0.669	3.151914078591398e-248	-0.652
IGHA1	4.832346799382278e-62	5.721633239044837	0.264	0.009	1.6032276976310583e-57	0.255
DHCR24	3.7327254378071236e-177	-5.689017800980986	0.016	0.52	1.2384063185012694e-172	-0.504
TIMD4	1.3370879676268827e-91	5.613990548720979	0.366	0.012	4.436056750195709e-87	0.354
CLU	3.173498628502168e-85	-5.490022962932602	0.007	0.275	1.0528716399781643e-80	-0.268
AOX1	7.751049752256989e-107	-5.469109779814912	0.009	0.339	2.5715657763063012e-102	-0.33
HSPA1A	9.177088406563107e-79	-5.450344827311984	0.027	0.292	3.044682620645442e-74	-0.26499999999999996
RGN	4.3135513774314394e-80	-5.423729883431735	0.004	0.244	1.4311069404904286e-75	-0.24
DCN	7.889096729605285e-81	-5.380380748865989	0.008	0.267	2.6173656219811454e-76	-0.259
MEG8	7.514979773763187e-123	-5.330155000094922	0.013	0.39	2.4932448395414126e-118	-0.377
ITGAD	1.235003189904241e-73	5.3292910090908805	0.316	0.013	4.0973700831453003e-69	0.303
IGKC	3.3925228888787716e-140	5.279327723250036	0.548	0.037	1.1255373188433101e-135	0.511
VCAM1	5.299572218750795e-111	5.27294148125338	0.471	0.046	1.758239075014951e-106	0.425
