gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GML	9.64046347807146e-23	-4.056646975584512	0.5	1	3.1984165681197684e-18	-0.5
IGKC	1.9133765387157478e-08	3.758990335570822	1	0.75	6.348009342497236e-4	0.25
MEG3	4.430646450187176e-29	-3.5925433030423	0.5	1	1.4699555727785994e-24	-0.5
DHCR24	6.511993695896267e-21	-3.208535269110491	0.75	1	2.1604841484875046e-16	-0.25
C3	6.482714936241355e-20	-3.184636583173547	0.75	1	2.1507703343967943e-15	-0.25
SORBS2	5.10360380844819e-16	-2.910431529404689	0.75	1	1.6932226355288557e-11	-0.25
SCARB1	4.36109380855613e-19	-2.863838245081874	1	1	1.446880092864667e-14	0
PEBP1	2.6974940463738432e-14	-2.8586503082187	1	1	8.9494759976545e-10	0
RARRES2	2.5144112078675085e-16	-2.8146423686363895	0.75	1	8.342062064342032e-12	-0.25
AKR1B1	3.4661389727286585e-14	-2.8111282421771833	0.75	1	1.149960926982187e-9	-0.25
HSD3B2	2.474989584016214e-15	-2.8057507024235457	0.25	1	8.211272942890594e-11	-0.75
NOV	6.783095363561772e-14	-2.625364627933378	0.25	1	2.250427548768889e-9	-0.75
RALYL	7.856758917034824e-13	-2.5087110190590014	1	1	2.6066369059046434e-8	0
AL117190.1	6.55359304040648e-16	-2.430585509862861	0.5	1	2.174285563015658e-11	-0.5
GSTA1	1.1980321549239167e-12	-2.314147835862969	0	1	3.9747112803910786e-8	-1
PDE10A	1.2279963439160627e-17	-2.2789254532503134	1	1	4.0741234702103213e-13	0
FDX1	2.7283988924915234e-14	-2.269633872253825	1	1	9.052009005619127e-10	0
DCN	1.986584247748891e-12	-2.2394067115011813	0.5	1	6.590890558756496e-8	-0.5
C7	4.222878905572731e-17	-2.2053330243774787	1	1	1.401024534501865e-12	0
CLU	1.5095503193422041e-12	-2.1476185941766537	0.75	1	5.008235094481631e-8	-0.25
AOX1	3.9158413889485185e-12	-2.1102595038370904	0.5	1	1.29915869761145e-7	-0.5
GSTA4	2.1596559405726358e-11	-2.1062885156943	0.5	1	7.165090514037834e-7	-0.5
IL7R	2.6510263569943812e-8	2.0794569143682993	1	0.5	8.795310144600259e-4	0.5
HSPE1	7.902199915227217e-9	-2.0793351549827923	0.75	1	2.621712865874934e-4	-0.25
SCD5	1.6128969458628597e-11	-2.071426596910883	0.75	1	5.351108197289209e-7	-0.25
TBX3	2.441955333137241e-11	-2.0512964732147	0.25	1	8.101675208749425e-7	-0.75
AL117190.2	8.072781007372472e-13	-2.036594354709234	0.75	1	2.678306554815965e-8	-0.25
SULT2A1	2.8905449574954125e-10	-1.968977007798463	0.75	1	9.58996100548253e-6	-0.25
PCDH15	2.408090983103617e-7	-1.9495971353057067	1	1	0.007989323454642872	0
CD247	1.2596990373304627e-9	1.9315711507094877	1	0.75	4.179303496151276e-5	0.25
TSHZ2	9.681800417281824e-9	-1.9046387521477262	1	1	3.212130924441591e-4	0
SDC2	3.813322874512847e-8	1.9015655696754281	1	0.75	0.0012651461300771274	0.25
NXPH1	2.0677572907680687e-10	-1.9009185324297728	0.75	1	6.860198363581221e-6	-0.25
ABLIM1	2.6255026437526937e-9	-1.892762287591669	1	1	8.710630121178313e-5	0
