gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	2.9893579482141036e-182	-12.430685314628507	0	0.757	9.917792864789932e-178	-0.757
CYP21A2	8.634306898228367e-86	-10.45319655536561	0	0.412	2.8646039996252254e-81	-0.412
GSTA1	5.135598704606402e-53	-10.178156442011579	0	0.265	1.7038375822272658e-48	-0.265
NOV	1.9367049832316713e-69	-9.862299159062989	0.001	0.355	6.4254061228677155e-65	-0.354
CYP11B1	6.540305584923902e-185	-9.265571253762513	0.001	0.776	2.169877183910203e-180	-0.775
TBX3	5.257368566708793e-44	-8.72374343430316	0.001	0.236	1.744237169376976e-39	-0.235
IGHA1	1.475404975619074e-32	8.496874962957406	0.257	0.003	4.894951087611402e-28	0.254
HSD3B2	1.5634916220891752e-81	-8.16187086288131	0.001	0.409	5.187196154605257e-77	-0.408
GML	1.4936301405976238e-152	-8.133939797660739	0.002	0.684	4.9554167174607364e-148	-0.682
STAR	2.5683090781032732e-76	-6.435520839614955	0.002	0.393	8.52087902842323e-72	-0.391
RGN	1.208270704457917e-34	-6.403587775096777	0.004	0.204	4.008679716180031e-30	-0.19999999999999998
SPON2	1.256046381527535e-72	-6.313286249203303	0.037	0.441	4.167185079993903e-68	-0.404
MEG3	7.219443606149082e-119	-5.554574244757753	0.022	0.639	2.395194805212081e-114	-0.617
IGKC	1.1351303633625865e-70	5.478515311943189	0.545	0.029	3.7660220065280534e-66	0.516
RARRES2	1.6909861970299213e-63	-5.474800420628666	0.008	0.367	5.6101849058861695e-59	-0.359
GSTA4	9.242716562827878e-46	-5.416056381696288	0.011	0.291	3.0664560740494054e-41	-0.27999999999999997
IGHG1	1.1384118877910124e-21	5.289801281719821	0.215	0.016	3.7769091201242417e-17	0.199
AL117190.2	1.0058081971073314e-49	-5.273066124081199	0.007	0.297	3.3369698555429933e-45	-0.29
DHCR24	4.705623177879649e-82	-5.150458240004433	0.022	0.498	1.5611846017251312e-77	-0.476
CLU	5.011067754382728e-48	-5.03118151798026	0.011	0.304	1.6625219488715577e-43	-0.293
C3	9.936961541305142e-54	-4.8083083421776225	0.025	0.377	3.296785730558807e-49	-0.352
KCNK3	8.028169938265068e-52	-4.777914689776652	0.007	0.307	2.6635059404182015e-47	-0.3
AL117190.1	1.530263591963789e-54	-4.731995332706662	0.011	0.335	5.076955519058263e-50	-0.324
DCN	9.722185926653772e-42	-4.687484723659702	0.013	0.281	3.225529624885922e-37	-0.268
CYP11A1	1.3261413362426182e-67	-4.620037217284047	0.009	0.39	4.399739111252134e-63	-0.381
HSPA1A	6.878914363280789e-33	-4.328552861531353	0.021	0.259	2.282217418305667e-28	-0.23800000000000002
SLIT2	1.0719579182326543e-75	-4.297738860891609	0.036	0.511	3.5564347853204774e-71	-0.47500000000000003
RALYL	9.24073621785115e-82	-4.198011271184299	0.039	0.546	3.065799054996476e-77	-0.507
IGHG3	3.941606414523118e-24	4.184223802332324	0.27	0.035	1.3077067601463348e-19	0.23500000000000001
AOX1	5.943383701737041e-44	-4.144323498394478	0.014	0.297	1.971836410725298e-39	-0.283
AKR1B1	3.409826326305312e-55	-4.10563260156425	0.022	0.38	1.1312780802783132e-50	-0.358
VSTM4	4.6719337377349876e-27	-4.092997441205799	0.016	0.214	1.5500074561683367e-22	-0.198
MEG8	5.913344833255842e-43	-4.088434950673953	0.016	0.3	1.9618704153292909e-38	-0.284
SULT2A1	5.427053407317646e-28	-3.9722863479639208	0.012	0.204	1.8005335089457755e-23	-0.19199999999999998
KCNQ3	2.1833614822359526e-21	-3.8566645542599307	0.046	0.233	7.24373838961422e-17	-0.187
TPD52L1	7.950445438677224e-32	-3.790519893062279	0.02	0.252	2.6377192831899424e-27	-0.232
NXPH1	2.019376511335979e-28	-3.749385457738253	0.02	0.233	6.699685451659377e-24	-0.21300000000000002
PEBP1	1.385255695043987e-54	-3.6899348594082966	0.041	0.428	4.595862819447435e-50	-0.387
SORBS2	3.663167817651673e-102	-3.6783471389785696	0.082	0.706	1.2153291868622957e-97	-0.624
CTNNAL1	1.001957250128342e-35	-3.653878477843012	0.016	0.262	3.3241935687508e-31	-0.246
SLC16A9	2.610636812657732e-38	-3.5994646914835084	0.015	0.272	8.661309753354558e-34	-0.257
RIMS2	1.8423605457634595e-69	-3.5854804806456424	0.06	0.54	6.1123995826794296e-65	-0.48000000000000004
LINC00290	3.98292048569837e-31	-3.5403598793466853	0.008	0.208	1.3214135295401484e-26	-0.19999999999999998
ALAS1	1.7446406342302578e-37	-3.432269117333872	0.016	0.272	5.788194232185726e-33	-0.256
MT2A	1.9039084278389047e-53	-3.4300582751165702	0.05	0.447	6.316596991041134e-49	-0.397
FBXL7	2.252025557738782e-85	-3.4044503540445574	0.088	0.658	7.471545192909957e-81	-0.5700000000000001
