gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GML	4.47341705140252e-16	-3.74611584502627	0.75	1	1.484145575143814e-11	-0.25
IGKC	3.558004529898024e-9	3.696424348298528	1	1	1.1804391628842675e-4	0
MEG3	4.1977287476060134e-35	-3.4869484775646864	1	1	1.392680466593247e-30	0
STAR	1.1921318408829746e-12	-3.344717650675161	0.5	1	3.955135808497445e-8	-0.5
DHCR24	4.666852452911064e-25	-3.3440753833736574	0.5	1	1.5483216383023036e-20	-0.5
RARRES2	6.175078791421887e-17	-3.2312671810895672	0.25	1	2.0487058906300394e-12	-0.75
KCNQ3	1.5101803257562666e-29	-3.157194141418582	1	1	5.010325266761566e-25	0
RALYL	9.692528567796371e-9	-3.1098511839053593	0.75	1	3.2156902029378023e-4	-0.25
VCAM1	4.544843553803865e-24	3.0969024204368676	1	1	1.5078427458455083e-19	0
HSD3B2	2.995886952873894e-17	-3.0703716680623696	0	1	9.93945414354972e-13	-1
SORBS2	2.7605120179931978e-22	-3.0564795625997605	1	1	9.158550722096032e-18	0
ITGAD	1.6255242501146302e-26	2.998875161938198	1	1	5.393001804605309e-22	0
IGHA1	1.1740490395940374e-7	2.9484334796847316	1	1	0.003895142498661138	0
RIMS2	4.832630270888961e-9	-2.8949229028259817	1	1	1.6033217449728306e-4	0
MT-CO3	3.4443510850490636e-13	-2.779595627055172	1	1	1.1427323594867279e-8	0
FBXL7	1.6239458467575455e-15	-2.72306622234978	1	1	5.3877651357875084e-11	0
MT-CO1	3.0898161209016155e-11	-2.7097440571287548	1	1	1.025108294431529e-6	0
SLIT2	8.743431754329744e-7	-2.691412992215409	1	1	0.029008083531339792	0
GSTA1	1.3731059512860546e-14	-2.5885167443571055	0	1	4.5555536145817434e-10	-1
NOV	1.8881182428685753e-7	-2.582277639011686	0.5	1	0.006264209894365072	-0.5
MT-ND1	3.6168386367123356e-16	-2.548504895294319	1	1	1.1999585545020515e-11	0
TTN	1.211752937925653e-22	2.5485014499459373	1	1	4.020232722155939e-18	0
CLU	1.4769205619777377e-16	-2.544436409470591	0.75	1	4.899979348473541e-12	-0.25
