gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
HSD3B2	6.327399745052564e-170	-11.430023606848723	0	0.328	2.0992414134160892e-165	-0.328
GSTA1	4.092647066286924e-99	-10.756031427378602	0	0.201	1.3578175171820126e-94	-0.201
RARRES2	1.2599800570744946e-162	-8.69030717922887	0.001	0.326	4.180235835356051e-158	-0.325
STAR	7.73347268760751e-151	-7.7426007006681505	0.001	0.306	2.5657342335675438e-146	-0.305
IGHA1	1.6405313896415875e-89	7.317994959549184	0.204	0.003	5.442790991413895e-85	0.20099999999999998
NOV	1.4915851753589998e-153	-6.737521534609938	0.001	0.31	4.948632136288553e-149	-0.309
CLU	9.5893480935778e-123	-6.7116532027748885	0.003	0.265	3.1814580170063065e-118	-0.262
DHCR24	6.368665523301463e-204	-6.612441294864475	0.005	0.412	2.112932160665726e-199	-0.407
GML	3.5487659178162624e-308	-6.483165101850723	0.005	0.562	1.1773740685539015e-303	-0.557
IGKC	1.0690682482700046e-178	5.697989579764783	0.42	0.023	3.5468477272853945e-174	0.39699999999999996
MEG3	6.436014188339329e-277	-5.690989015108022	0.008	0.533	2.135276427265339e-272	-0.525
HSPA1A	2.7096301324686074e-126	-5.5820251603204145	0.014	0.305	8.989739890491099e-122	-0.291
AL117190.1	3.078158964472276e-111	-5.490049530915287	0.003	0.243	1.0212407996429671e-106	-0.24
RALYL	9.53902646353878e-226	-5.24557790134483	0.02	0.49	3.164762809808261e-221	-0.47
MEG8	5.553176898792666e-106	-5.244362173405764	0.006	0.246	1.842377499712443e-101	-0.24
SPON2	5.069606087025633e-97	-5.204087033682143	0.035	0.268	1.681943211492494e-92	-0.233
DCN	1.9145239037504443e-105	-5.109143319687898	0.008	0.252	6.351815955472849e-101	-0.244
IGHG3	1.129653739783531e-74	4.986682787014681	0.209	0.015	3.747852212479821e-70	0.194
KCNK3	1.9915390116984184e-84	-4.638756739977539	0.007	0.209	6.607328979111843e-80	-0.20199999999999999
RIMS2	1.773704463767149e-175	-4.623003971115248	0.02	0.415	5.88461929944027e-171	-0.39499999999999996
VCAM1	1.2516004836985798e-89	4.589892283161834	0.265	0.028	4.1524349247667783e-85	0.23700000000000002
MEIS1	2.220210555882458e-96	-4.48699758758344	0.008	0.236	7.36599256125123e-92	-0.22799999999999998
ALAS1	1.2053721787198046e-94	-4.4383743811522995	0.009	0.236	3.999063277338696e-90	-0.22699999999999998
SLIT2	5.073232914297479e-153	-4.383867489388718	0.02	0.378	1.6831464839764746e-148	-0.358
KCNQ3	1.3513096457394442e-141	-4.32193574667049	0.031	0.382	4.483240011669754e-137	-0.351
C7	4.162667434373133e-115	-4.128924975809781	0.013	0.287	1.3810481747019744e-110	-0.27399999999999997
AOX1	5.517554809010628e-94	-4.0971395975302025	0.011	0.241	1.830559158985456e-89	-0.22999999999999998
GSTA4	5.57827445819649e-77	-4.062330038210191	0.014	0.215	1.8507041169958497e-72	-0.20099999999999998
SORBS2	1.0894735505542217e-269	-4.01455988259893	0.046	0.616	3.614546398673741e-265	-0.57
MMP19	3.043637277571753e-77	3.822105961196373	0.289	0.077	1.0097875395799805e-72	0.21199999999999997
PDE10A	6.554653152522162e-122	-3.7657867072296582	0.025	0.335	2.1746372764122777e-117	-0.31
MGP	1.9750821335601527e-80	-3.764023760767132	0.016	0.23	6.552729994512519e-76	-0.21400000000000002
FAM177B	8.020546707251609e-72	-3.7608327513272934	0.019	0.218	2.6609767810648664e-67	-0.199
MEIS2	3.716083405619063e-88	-3.7233065880750225	0.016	0.246	1.2328849914822365e-83	-0.22999999999999998
PGM5	2.1562230591254377e-89	-3.6162496818274983	0.017	0.249	7.153701243260465e-85	-0.23199999999999998
BACH2	5.194183613739152e-55	3.584935047428098	0.202	0.031	1.7232742975302385e-50	0.171
MAP3K15	1.4708959622509025e-75	-3.547945079896069	0.014	0.214	4.879991533959819e-71	-0.19999999999999998
WDR63	5.175846757648537e-83	-3.5058035745513427	0.024	0.256	1.717190678785055e-78	-0.232
FBXL7	2.279707544668121e-190	-3.424854683966736	0.059	0.525	7.563385720945426e-186	-0.466
SLC16A9	5.589469730674364e-78	-3.3773215308548297	0.012	0.208	1.8544183725458337e-73	-0.19599999999999998
MT2A	2.2105945720952173e-126	-3.3770529758930534	0.029	0.351	7.334089611840302e-122	-0.32199999999999995
HS3ST2	4.564165901945969e-75	3.353237649662026	0.295	0.055	1.5142533212886142e-70	0.24
SCD5	8.514630546226082e-96	-3.326999542015857	0.022	0.275	2.8248989763214275e-91	-0.253
FADS2	1.1584352153803202e-97	-3.2964051367481786	0.019	0.268	3.843340514067289e-93	-0.24900000000000003
IGFBP5	1.0982488329372624e-76	-3.2886358194487553	0.019	0.227	3.643660153035956e-72	-0.20800000000000002
PCDH15	3.238354869140463e-150	-3.166942721425991	0.049	0.442	1.0743889949347313e-145	-0.393
ATRNL1	1.8984935923458656e-76	-3.1365111806216053	0.026	0.247	6.298632191325879e-72	-0.221
TTN	4.03364716327336e-75	3.122643299168901	0.315	0.088	1.3382431193592026e-70	0.227
NLRP3	3.2540991179890794e-69	3.1169569334796066	0.289	0.102	1.079612464375237e-64	0.187
NRCAM	2.0968134920834705e-64	-3.112546736738745	0.021	0.208	6.95659812268533e-60	-0.187
FGF12	1.5890554953775329e-71	-3.1074525131366673	0.027	0.24	5.272009417014041e-67	-0.213
ARHGEF28	2.3316092496775507e-71	-3.1039357137005705	0.022	0.224	7.73558000765521e-67	-0.202
DACH1	1.452797465206018e-65	-3.050588545177592	0.021	0.21	4.8199461503140056e-61	-0.189
PBX1	6.770323677993606e-137	-3.0493379731306294	0.041	0.4	2.246190286647939e-132	-0.35900000000000004
C3	4.517469623747202e-68	-3.0464229019921842	0.024	0.224	1.4987608970706093e-63	-0.2
SLC16A10	5.935944645967155e-137	2.9890539904866618	0.554	0.192	1.969368355192523e-132	0.36200000000000004
AP000812.1	2.2181910961740085e-99	2.988225847952179	0.391	0.106	7.359292599776508e-95	0.28500000000000003
PDGFD	1.3690502805118135e-77	-2.9729853514859546	0.026	0.25	4.542098115654043e-73	-0.224
MT-CO1	0	-2.9455726929812847	0.229	0.868	0	-0.639
APOC1	7.294951926326458e-80	-2.9450244041754674	0.042	0.29	2.4202462005973287e-75	-0.24799999999999997
MGST1	9.412144282211006e-68	-2.9071489760812295	0.024	0.221	3.122667108509145e-63	-0.197
AL109930.1	5.736580418337683e-82	-2.900460992157801	0.029	0.264	1.9032252853918933e-77	-0.23500000000000001
TENM3	2.1694928587838112e-100	-2.892718114966468	0.041	0.332	7.1977264575870505e-96	-0.29100000000000004
STOX2	3.377890847532505e-49	2.8473359949719494	0.231	0.065	1.1206828464858592e-44	0.166
MT-ND1	6.616907574920227e-195	-2.805091412434457	0.121	0.628	2.1952914261312838e-190	-0.507
MT-CO3	2.5902984658342035e-268	-2.801135924279111	0.162	0.769	8.593833220098136e-264	-0.607
PPARG	7.61394048932133e-98	2.7960923885366524	0.393	0.083	2.526077036142138e-93	0.31
FDX1	8.072982055265235e-138	-2.766596991497638	0.047	0.415	2.678373256475347e-133	-0.368
BORCS7-ASMT	5.382857416037391e-77	-2.7475268670294115	0.037	0.273	1.7858706049187252e-72	-0.23600000000000002
HMOX1	2.5901708220605687e-91	2.7464759025333443	0.423	0.189	8.593409736350349e-87	0.23399999999999999
LSAMP	5.885407246042721e-88	-2.7281225514131564	0.05	0.325	1.9526015620195937e-83	-0.275
MT-CYB	6.093983889490496e-202	-2.719082768223648	0.131	0.654	2.0218010350162617e-197	-0.523
RPL7A	1.2984332120805419e-56	-2.7008263927017206	0.033	0.22	4.307811867719614e-52	-0.187
PRKG1	3.255914754183615e-147	-2.6715520489560722	0.074	0.485	1.080214837995498e-142	-0.411
FOSB	3.490621846327404e-88	2.656180071469365	0.398	0.142	1.1580836099560428e-83	0.256
SEMA6A	1.0854028775589212e-50	-2.655862019959699	0.033	0.204	3.601041126877233e-46	-0.17099999999999999
BASP1	2.0123110459934954e-35	2.610633239982085	0.21	0.074	6.67624435729262e-31	0.136
PEBP1	1.0885440821554991e-119	-2.6029964916902752	0.052	0.389	3.6114627013672997e-115	-0.337
MT-ATP6	6.789147017513919e-208	-2.5936029241798173	0.152	0.686	2.252435306000593e-203	-0.534
PDZRN3	1.0647355939682813e-91	-2.5905993297367775	0.04	0.307	3.532473280108567e-87	-0.267
ABLIM1	5.118759364077711e-129	-2.584043667497003	0.063	0.432	1.6982507942200622e-124	-0.369
MCF2L2	1.3970751712380155e-97	-2.5738001624132227	0.052	0.349	4.635076295616364e-93	-0.297
KCNQ1OT1	1.7492909647248374e-114	-2.5712338172653797	0.071	0.418	5.803622633667593e-110	-0.347
MT-ND4	1.6613698866730433e-230	-2.568552197101242	0.193	0.75	5.5119268730151554e-226	-0.5569999999999999
ADGRL2	2.0140053654015342e-126	-2.5608065446177566	0.136	0.537	6.68186560079267e-122	-0.401
CEMIP2	4.087489387354419e-101	2.512208388606293	0.505	0.228	1.3561063540425756e-96	0.277
MT-ND4L	8.949379197485857e-68	-2.4767245990462627	0.027	0.226	2.969135536349883e-63	-0.199
MT-ND3	4.013262329170791e-132	-2.470205160014239	0.088	0.483	1.3314800429489933e-127	-0.395
DDIT4	3.0745110310593646e-77	-2.4511828568399725	0.125	0.411	1.0200305247745654e-72	-0.286
RIPOR2	4.6059228934351795e-45	2.445933389720329	0.24	0.067	1.5281070383549895e-40	0.173
ATP2A2	5.1528759342483565e-75	2.444735229919444	0.423	0.278	1.7095696487055772e-70	0.14499999999999996
FP236383.1	2.3703643926341033e-99	2.4440385310404174	0.492	0.257	7.864157945442165e-95	0.235
TPM4	9.172126515673425e-66	2.432444066130743	0.338	0.169	3.043036414104972e-61	0.169
MT-CO2	1.6563567321358628e-239	-2.4267649363689276	0.218	0.79	5.4952947302071516e-235	-0.5720000000000001
SCARB1	4.026651654694462e-234	-2.4251777446927663	0.207	0.764	1.3359222194779816e-229	-0.557
RPS8	6.654085409145915e-111	-2.4064760050891554	0.069	0.409	2.2076259161923405e-106	-0.33999999999999997
MTUS1	4.399021550421578e-52	-2.4009671663023413	0.039	0.221	1.459463379783367e-47	-0.182
LAMA2	7.020245322218227e-56	-2.3794059764100406	0.043	0.238	2.329106790552341e-51	-0.195
RILPL2	7.882133816188069e-90	2.3763623658782427	0.428	0.2	2.6150555361967155e-85	0.22799999999999998
SH3RF3	1.7284023687064377e-103	-2.3754520192343835	0.099	0.443	5.734320538657348e-99	-0.344
CCBE1	2.920731303295828e-50	-2.372872558671567	0.035	0.206	9.690110244944568e-46	-0.17099999999999999
IPCEF1	3.095625705180067e-43	2.348645695468627	0.249	0.095	1.0270357402075908e-38	0.154
C2CD2	1.6268132779448388e-128	-2.3348199023267435	0.08	0.461	5.397278412237592e-124	-0.381
MLXIPL	1.6562167948948184e-72	-2.3296527322423164	0.056	0.301	5.494830460422539e-68	-0.245
AC024145.1	3.127385914597795e-77	-2.3206981529109516	0.065	0.33	1.0375728248861104e-72	-0.265
FRMD5	1.3742482155986212e-67	-2.30821562933412	0.042	0.26	4.5593433048915457e-63	-0.218
EBF1	1.3734737149375531e-36	2.2972036837155905	0.212	0.062	4.5567737440483197e-32	0.15
FGF13	5.068366883450147e-74	2.29180341529855	0.395	0.13	1.6815320809222552e-69	0.265
