gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GML	6.437120956296473e-11	-3.647801322566565	0.75	1	2.1356436196704807e-6	-0.25
MEG3	7.328954404369552e-32	-3.415870968310014	1	1	2.431527202737686e-27	0
STAR	4.733367843847553e-12	-3.375127377419224	0.5	1	1.5703894495533025e-7	-0.5
DHCR24	1.0628328311342167e-22	-3.2796644886166795	0.5	1	3.526160483853991e-18	-0.5
KCNQ3	1.2983832462110636e-30	-3.2786052834605615	1	1	4.3076460959544456e-26	0
RARRES2	4.97332476235496e-16	-3.2195569557578545	0.25	1	1.649999956406505e-11	-0.75
VCAM1	2.916312651401593e-24	3.174493527227688	1	1	9.675450483555065e-20	0
RALYL	5.066389089185529e-8	-3.116535068965593	0.75	1	0.001680875908119083	-0.25
HSD3B2	2.0626172288535602e-16	-3.0790576618732315	0	1	6.843145180167457e-12	-1
SORBS2	5.247135402194057e-21	-3.0641751794051606	1	1	1.7408421123859222e-16	0
IGHA1	4.319908520195213e-7	3.061658600121267	1	0.75	0.014332160497451658	0.25
ITGAD	6.44093189918956e-25	3.04953689590027	1	1	2.1369079761941203e-20	0
RIMS2	3.8262109875657236e-17	-3.0116993105290284	1	1	1.26942201934468e-12	0
MT-CO3	9.55069355827357e-15	-2.7934355348984186	1	1	3.1686336018284223e-10	0
SLIT2	1.0926803816990277e-6	-2.756600104114099	0.75	1	0.036251857023628646	-0.25
FBXL7	3.2681663825484994e-15	-2.739312700928418	1	1	1.0842795607381157e-10	0
HMOX1	1.3192721448630907e-11	2.7019612144122958	1	1	4.376949195012276e-7	0
MT-CO1	3.0452071604372234e-11	-2.6671021300499147	1	1	1.0103083796182575e-6	0
TTN	1.2917149911881704e-23	2.6440029498977626	1	1	4.285522826264993e-19	0
CLU	8.325255941337739e-15	-2.630397553084803	0.5	1	2.7620701636576216e-10	-0.5
GSTA1	6.115439545405213e-14	-2.5973232901061283	0	1	2.0289193779790875e-9	-1
NOV	6.969345352789741e-7	-2.5924781695987233	0.25	1	0.023122197076950523	-0.75
TIMD4	1.6644437810651246e-18	2.5686948241556187	1	0.75	5.522125132439764e-14	0.25
MT-ND4	5.7580538817939955e-11	-2.495894004757235	1	1	1.910349536362794e-6	0
MT-CO2	5.749761913290563e-11	-2.46868274834825	1	1	1.90759850997241e-6	0
MT-CYB	2.8710891262976497e-13	-2.410179931683154	1	1	9.525412394317713e-9	0
MT-ATP6	2.053858800787337e-15	-2.3831343158637135	1	1	6.814087343372147e-11	0
FDX1	2.845763452836954e-16	-2.3782172605578458	1	1	9.441389407477161e-12	0
