gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
HSD3B2	2.8935048301343193e-147	-11.23077117304018	0	0.325	9.59978097493663e-143	-0.325
RARRES2	4.31595837356653e-137	-8.499193323632712	0.002	0.316	1.4319055095981678e-132	-0.314
STAR	2.16660062090709e-130	-7.576713175664497	0.002	0.304	7.188130879983452e-126	-0.302
CLU	2.4315733309486462e-106	-6.964205466237877	0.003	0.261	8.067230840088323e-102	-0.258
NOV	3.2736236172433803e-131	-6.6849912302359416	0.001	0.298	1.0860901074928363e-126	-0.297
DHCR24	1.6633598057571754e-171	-6.321194707485855	0.006	0.402	5.518528827560581e-167	-0.396
GML	7.056201810355746e-260	-6.293322240008829	0.005	0.545	2.341036074621726e-255	-0.54
AL117190.1	1.559781452904747e-97	-5.91638832529013	0.002	0.233	5.174886926302079e-93	-0.231
MEG8	7.35317849014602e-87	-5.4192482483094935	0.005	0.23	2.439564027675745e-82	-0.225
MEG3	3.473007040874897e-234	-5.405084897760606	0.011	0.526	1.1522395459510645e-229	-0.515
HSPA1A	1.800098349437319e-104	-5.388268488834553	0.013	0.292	5.972186293928193e-100	-0.27899999999999997
RALYL	1.2522035108837245e-188	-5.116094142218461	0.021	0.476	4.1544355880589327e-184	-0.45499999999999996
SPON2	1.5829131224184965e-74	-5.029639830877482	0.036	0.246	5.251630866247846e-70	-0.21
IGKC	2.756328391103142e-159	4.906487185715939	0.418	0.019	9.144670703162894e-155	0.39899999999999997
RIMS2	2.460696621268977e-155	-4.8812291642234875	0.016	0.405	8.163853180384085e-151	-0.389
DCN	4.178705569212989e-85	-4.762251379099248	0.01	0.243	1.3863691466977935e-80	-0.23299999999999998
VCAM1	2.1974800941014123e-83	4.753487060161339	0.267	0.024	7.290579708200256e-79	0.24300000000000002
KCNQ3	3.843131458934718e-124	-4.43780240211758	0.03	0.378	1.2750357241307713e-119	-0.348
SLIT2	1.1848939993731914e-136	-4.432820607179064	0.019	0.379	3.9311228217204375e-132	-0.36
ALAS1	7.013106042787579e-79	-4.408643556902519	0.009	0.226	2.326738191815635e-74	-0.217
MEIS1	1.5588915050683063e-79	-4.335129442398237	0.009	0.227	5.17193434636512e-75	-0.218
C7	1.2905114052993271e-97	-4.196934458839422	0.013	0.279	4.281529689361578e-93	-0.266
FAM177B	4.778005902153751e-65	-4.106359416720493	0.015	0.212	1.58519901815755e-60	-0.197
SORBS2	1.1950552489675557e-233	-3.9896839269460376	0.044	0.606	3.9648347994996594e-229	-0.5619999999999999
GSTA4	1.0450603050472702e-66	-3.9679532098000756	0.014	0.213	3.4671965740553286e-62	-0.19899999999999998
AOX1	1.9008145411636107e-77	-3.946084101963083	0.011	0.226	6.306332403218511e-73	-0.215
WDR63	1.0333986168175728e-71	-3.7757138073781262	0.021	0.245	3.4285065910156616e-67	-0.224
MMP19	2.401866448312259e-65	3.748144714910535	0.277	0.073	7.968672315565582e-61	0.20400000000000001
MT2A	6.238608381958502e-120	-3.743391189602564	0.022	0.352	2.0697831028823725e-115	-0.32999999999999996
MGP	5.171907530794133e-70	-3.7209667792767833	0.017	0.229	1.7158837614915694e-65	-0.21200000000000002
PDE10A	2.0253673927219377e-98	-3.631072223300671	0.027	0.32	6.719561398833572e-94	-0.293
PGM5	5.218667416751707e-75	-3.5873455105155276	0.017	0.24	1.7313972888557137e-70	-0.22299999999999998
MEIS2	8.905965392266607e-71	-3.5626814468844943	0.017	0.233	2.954732138192292e-66	-0.21600000000000003
FBXL7	1.476932087698691e-165	-3.3899575487406937	0.057	0.52	4.900017587357947e-161	-0.463
HS3ST2	4.275187805709663e-68	3.368597698817199	0.307	0.062	1.4183790583002948e-63	0.245
SCD5	1.9853709428632946e-80	-3.3677310689998405	0.02	0.261	6.586865177137553e-76	-0.24100000000000002
ARHGEF28	4.9035285649316095e-67	-3.3534463748884362	0.017	0.223	1.62684367198736e-62	-0.20600000000000002
ATRNL1	2.1188888862778473e-70	-3.332762552001891	0.021	0.242	7.029837658004014e-66	-0.221
SLC16A9	2.0864364382553244e-70	-3.321401070457821	0.011	0.205	6.92217017119969e-66	-0.19399999999999998
FADS2	8.73158179741073e-80	-3.274309165533135	0.018	0.253	2.896876892926958e-75	-0.23500000000000001
C3	1.0432198197582958e-62	-3.2704909838647054	0.021	0.224	3.461090396012098e-58	-0.203
TTN	6.079862553475355e-70	3.2612169909945563	0.323	0.081	2.0171159993665186e-65	0.242
FGF12	2.0812206814228405e-63	-3.1866220953585205	0.027	0.24	6.904865854756558e-59	-0.213
PCDH15	4.177620757603801e-121	-3.0967277270281786	0.05	0.422	1.3860092387502133e-116	-0.372
IGFBP5	3.109309990392332e-63	-3.0867581187596755	0.021	0.221	1.031575775512464e-58	-0.2
DACH1	1.412526103811656e-55	-3.054974447785138	0.022	0.208	4.6863378546159307e-51	-0.186
MGST1	6.285989077533734e-57	-3.048021193842157	0.024	0.215	2.085502596253367e-52	-0.191
SLC16A10	1.078534258307318e-121	3.0196549342349703	0.538	0.182	3.578253108786189e-117	0.35600000000000004
NLRP3	1.3681418956130398e-52	3.017602335538953	0.254	0.088	4.539084367075382e-48	0.166
PBX1	3.6959940838596284e-116	-3.0133740535066638	0.039	0.387	1.2262199572021089e-111	-0.34800000000000003
MT-CO1	9.31244824907426e-310	-2.9753121456269036	0.221	0.867	3.089590955595368e-305	-0.646
AP000812.1	1.7020003726778047e-83	2.927936748030672	0.383	0.107	5.646726636433153e-79	0.276
PDGFD	2.542713155800806e-63	-2.925196499326722	0.024	0.233	8.435959437000335e-59	-0.20900000000000002
STOX2	1.0974204148826817e-48	2.8997886510444877	0.247	0.064	3.640911710456273e-44	0.183
APOC1	1.1367082132762816e-66	-2.8976611468829114	0.043	0.282	3.7712568391867196e-62	-0.239
MT-CO3	8.813189964983879e-245	-2.8954574807866362	0.154	0.768	2.923952034682701e-240	-0.614
HMOX1	5.146883407344988e-91	2.8694818486832374	0.43	0.189	1.7075815080548464e-86	0.241
PPARG	1.839659996165723e-84	2.865450285510359	0.377	0.079	6.103439969279019e-80	0.298
FOSB	1.8970235206639163e-79	2.8541181210468745	0.374	0.117	6.293754934506675e-75	0.257
MT-ND1	1.557429491539735e-167	-2.8105037491517706	0.118	0.616	5.1670838240813787e-163	-0.498
AL109930.1	3.684993040965751e-66	-2.794591752153929	0.033	0.26	1.2225701412012072e-61	-0.227
FDX1	5.579379683433683e-113	-2.7744589363543493	0.046	0.396	1.851070797572793e-108	-0.35000000000000003
BORCS7-ASMT	3.332668338638437e-66	-2.7692158701597513	0.036	0.267	1.1056793747100742e-61	-0.231
RPL7A	1.7680748788672714e-50	-2.7630649309128392	0.031	0.217	5.865942025617946e-46	-0.186
MT-CYB	3.1476653623787827e-171	-2.71652804707787	0.132	0.642	1.0443009372764087e-166	-0.51
SEMA6A	9.248629397618281e-45	-2.714831764698076	0.032	0.203	3.068417775247817e-40	-0.171
TENM3	2.301102621332939e-79	-2.713967075225238	0.046	0.32	7.634368166796292e-75	-0.274
LSAMP	2.1376107639332293e-71	-2.686219338041643	0.054	0.317	7.091951231501275e-67	-0.263
MT-ND4	1.5413809397903212e-209	-2.685241295141582	0.177	0.741	5.113839543942349e-205	-0.5640000000000001
MT-ATP6	7.454232078315302e-185	-2.6345163799018354	0.148	0.682	2.4730905766226677e-180	-0.534
PRKG1	2.8681702307699492e-124	-2.619491010385757	0.073	0.472	9.515728374625461e-120	-0.39899999999999997
KCNQ1OT1	5.112608788273175e-97	-2.619224819757643	0.07	0.406	1.6962102176853915e-92	-0.336
BASP1	8.239243749290088e-31	2.5950657017930947	0.207	0.07	2.733533898701972e-26	0.13699999999999998
PEBP1	1.0583865293943589e-102	-2.5906889002060502	0.049	0.378	3.5114089885716646e-98	-0.329
MCF2L2	3.9871653573516026e-79	-2.570356915990791	0.053	0.335	1.3228218506085413e-74	-0.28200000000000003
PDZRN3	1.6284358056564984e-73	-2.5694064826165364	0.038	0.285	5.402661472426564e-69	-0.24699999999999997
RILPL2	2.769246497596201e-78	2.530211836007603	0.396	0.169	9.187529105074916e-74	0.227
TPM4	1.6572821013647554e-52	2.5256362454490313	0.301	0.144	5.498364827697849e-48	0.157
FP236383.1	1.9502558006723446e-87	2.524666092047752	0.483	0.242	6.470363669890638e-83	0.241
MT-ND4L	2.6485739896128583e-58	-2.5205974617728786	0.026	0.22	8.78717392533858e-54	-0.194
CEMIP2	8.38999068820983e-82	2.505588713150518	0.466	0.205	2.7835472106273754e-77	0.261
NR4A3	1.4154688489077697e-40	2.4921678561620517	0.205	0.056	4.6961010000213076e-36	0.149
RIPOR2	1.6292494349018067e-39	2.4787697255449808	0.232	0.061	5.405360850173724e-35	0.171
ADGRL2	3.8163285596585775e-108	-2.472857799951072	0.137	0.531	1.2661433262379262e-103	-0.394
MT-CO2	2.2979335747355867e-210	-2.467152407222738	0.209	0.779	7.623854220900256e-206	-0.5700000000000001
ABLIM1	3.4645943618217034e-107	-2.464584288667197	0.068	0.426	1.1494484714215865e-102	-0.358
MT-ND3	3.939808053936381e-111	-2.4542306059483634	0.093	0.48	1.3071101180544732e-106	-0.387
DDIT4	1.4776057464866863e-65	-2.432921910650177	0.125	0.4	4.902252585118879e-61	-0.275
AC024145.1	8.246615142793167e-67	-2.407438768366708	0.062	0.32	2.735979505924489e-62	-0.258
RPS8	1.2507597545657174e-94	-2.4029682159400694	0.068	0.398	4.149645637722681e-90	-0.33
ATP2A2	3.0948856857267676e-61	2.390021252822002	0.402	0.259	1.0267902239535696e-56	0.14300000000000002
LAMA2	9.231184613506744e-46	-2.384631575211289	0.039	0.221	3.062630119223132e-41	-0.182
FGF13	2.0905356845353887e-65	2.3764961055839944	0.386	0.127	6.935770240583058e-61	0.259
