gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GML	7.307079087897847e-27	-3.882386279850342	0.5	1	2.4242696289918686e-22	-0.5
KCNQ3	7.388037707480648e-28	-3.468186054623921	0.75	1	2.4511292702108548e-23	-0.25
IGKC	1.914608455809788e-12	3.4524028883069144	1	1	6.352096473840133e-8	0
SORBS2	5.3319443583391076e-14	-3.274654108445193	0.75	1	1.7689791797661656e-9	-0.25
MT-CO3	1.2142258467274505e-15	-3.2156254671559754	0.75	1	4.0284370916876625e-11	-0.25
RALYL	6.163364928435229e-8	-3.1333641778752126	0.5	1	0.002044819582306956	-0.5
MT-CO2	9.204135982072601e-12	-3.042298636324432	0.75	1	3.053656194772227e-7	-0.25
CD36	8.894213979522314e-23	2.991157032672675	1	0.75	2.9508333719861182e-18	0.25
STAR	1.5538776846995254e-15	-2.9579819249094585	0.25	1	5.155299994527615e-11	-0.75
FBXL7	6.995187498650604e-11	-2.957062654922563	0.75	1	2.3207933564273107e-6	-0.25
MEG3	4.12075084179359e-21	-2.8712883288865485	0.75	1	1.3671415067818594e-16	-0.25
SDC2	4.794575679828493e-13	2.792027213577179	1	1	1.5906963732966994e-8	0
HSD3B2	1.4699126523391272e-17	-2.767832933795156	0.25	1	4.876729206665522e-13	-0.75
RARRES2	4.689948686754079e-15	-2.737602653280401	0.25	1	1.5559842758044007e-10	-0.75
C3	2.019858856199708e-13	-2.7149290982436622	1	1	6.701285727213771e-9	0
RPS8	2.8765741000008315e-9	-2.708679325336068	0.75	1	9.543609891572759e-5	-0.25
SLIT2	4.4580810150079956e-9	-2.6424570056763743	0.75	1	1.4790575383492028e-4	-0.25
CEMIP2	4.231827145181889e-9	2.6408220930029755	1	1	1.4039932919569952e-4	0
MT-ATP6	1.5820651464444996e-13	-2.6211131177104945	0.75	1	5.248817536358916e-9	-0.25
PBX1	1.0202786868802366e-8	-2.611394108900419	0.5	1	3.3849785994625607e-4	-0.5
SCN9A	2.04326547176532e-8	2.568943247492877	0.75	1	6.778941855675802e-4	-0.25
FCGBP	2.3253824023676838e-9	-2.5312758640438604	0.75	1	7.714921196335265e-5	-0.25
MT-ND4	2.155594242845612e-12	-2.524617996518778	0.75	1	7.151615019488887e-8	-0.25
PDE10A	1.876019605202616e-15	-2.511524888320794	0.5	1	6.224070244180718e-11	-0.5
NOV	1.6003586899414125e-14	-2.4988826383459593	0	1	5.309510025618624e-10	-1
MMP19	1.2211763808818297e-9	2.4787135421650426	1	1	4.051496878851646e-5	0
IGHA1	5.750695990108958e-8	2.4417381562911236	1	0.5	0.001907908408638449	0.5
MT-ND3	5.345792143871233e-10	-2.4130728255553113	0.5	1	1.773573459572159e-5	-0.5
SLC16A10	1.2667857188090252e-8	2.3965682705131366	1	1	4.202814979292703e-4	0
PPARG	2.9004247892990942e-12	2.3934484949471333	1	1	9.622739323457605e-8	0
MPPED2	1.4059432766757733e-8	2.3906984664837947	1	1	4.6644980090272133e-4	0
TTN	9.960715347658508e-14	2.3671058941720577	1	1	3.3046665308926635e-9	0
PEBP1	3.0606382020482205e-9	-2.3558813289359612	0.75	1	1.0154279362935382e-4	-0.25
TENM3	2.9733832673720777e-7	-2.3225709979993505	0.5	1	0.009864793666160342	-0.5
CLU	1.460165067116857e-11	-2.320020169713298	0.25	1	4.844389643173597e-7	-0.75
VCAM1	1.361756535192901e-28	2.3177360028124596	0.75	1	4.5178996568094875e-24	-0.25
ABLIM1	5.362962200664422e-9	-2.2950773642074833	0.75	1	1.7792699693144353e-4	-0.25
PGM5	5.939191695669662e-8	-2.294488101256119	0.5	1	0.001970445628872324	-0.5
BACH2	5.1482086804877857e-14	2.274892643225547	1	1	1.7080211939254327e-9	0
DHCR24	1.7466219525090762e-13	-2.2470971120214154	0.75	1	5.794767651839362e-9	-0.25
ADGRG1	4.330355528720339e-14	-2.205247398382291	0.25	1	1.436682053763547e-9	-0.75
MEIS1	3.5411142115474393e-10	-2.2047951067848666	0.5	1	1.1748354619650939e-5	-0.5
FDX1	5.849169645412612e-9	-2.2008802073258122	0.75	1	1.9405790132585423e-4	-0.25
MT-ND5	4.2465422861788334e-7	-2.186775575440743	0.75	1	0.014088753342855516	-0.25
MEG8	3.141843240695877e-10	-2.175904799409767	0.25	1	1.0423693319656711e-5	-0.75
USP53	9.017835618628758e-9	-2.1161556663208474	0.75	1	2.991847323192463e-4	-0.25
AL117190.1	5.888456350723795e-12	-2.090413674225441	0.25	1	1.9536131634796336e-7	-0.75
PDGFD	4.436574367755113e-7	-2.0862026987865745	0.5	1	0.014719222779901137	-0.5
C7	3.8117765942171074e-12	-2.085680697041911	0.75	1	1.2646331206634098e-7	-0.25
GSTA1	2.9697628160616223e-13	-2.078691764714773	0.25	1	9.852782094847645e-9	-0.75
FRMD5	2.7219042745513865e-9	-2.066468273951479	0.5	1	9.030461811679135e-5	-0.5
DCN	1.7967895413706366e-12	-2.0562040685653793	0.25	1	5.961208661405361e-8	-0.75
GSTA4	2.508426550659831e-9	-2.043612515818348	0.25	1	8.322206767124122e-5	-0.75
HSPE1	9.000254264389397e-8	-2.039690768324002	0.5	1	0.00298601435729647	-0.5
FADS2	1.9736021670546565e-14	-2.0333173988708273	0.75	1	6.547819909637234e-10	-0.25
RPL37A	7.035981135927793e-7	-2.0137200102814425	1	1	0.02334327461466764	0
LINC01807	1.21779837092785e-9	-2.0090373436879867	0.5	1	4.040289655227328e-5	-0.5
RCAN1	4.978239862330471e-9	2.0061952139763863	1	1	1.65163063912538e-4	0
MEIS2	1.0261526289499872e-6	-2.001294932942938	0.5	1	0.03404466577067372	-0.5
RIPOR2	2.4627413309128447e-20	2.0010605659268044	1	1	8.170636913569545e-16	0
MLXIPL	1.0426241793141786e-7	-1.9867694086740704	0.5	1	0.0034591142397106503	-0.5
SCD5	1.6709549441308326e-9	-1.964153948109228	0.75	1	5.543727218142863e-5	-0.25
MSI2	2.346449373335186e-15	-1.9582387031244533	1	1	7.784815085914148e-11	0
CCDC141	4.175185956089426e-9	1.9469137367874634	1	1	1.3852014446517888e-4	0
CALCRL	1.7896985488085306e-9	1.9468418361639588	0.75	1	5.937682875382062e-5	-0.25
PCDH15	1.414463112736952e-7	-1.9438377693645426	1	1	0.004692764269127386	0
AL117190.2	9.839475532288966e-12	-1.927655389412568	0.5	1	3.26444279734751e-7	-0.5
SCARB1	5.013765385038143e-10	-1.8990127770196352	1	1	1.6634169417941048e-5	0
MYO1E	1.706074596441562e-8	1.8892104849290052	1	1	5.66024368861417e-4	0
AC098650.1	1.3039853272769444e-9	-1.886089663302307	1	1	4.326232120306718e-5	0
MAP3K15	3.6228810897935513e-7	-1.868881518127523	0.5	1	0.012019632591608065	-0.5
MT-ND1	3.704775957678611e-11	-1.8662132158051232	1	1	1.2291335194790329e-6	0
MGP	1.0706950288616284e-8	-1.8586535782385873	0.5	1	3.5522448972542245e-4	-0.5
