gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	5.485519747162486e-37	-4.5071849412226594	0.5	1	1.819930886516098e-32	-0.5
CYP11B1	1.1397497737666545e-32	-4.486839721055997	0	1	3.7813478244256297e-28	-1
GML	1.942461882079592e-36	-3.891902724937394	0.5	1	6.444505786175462e-32	-0.5
KCNQ3	1.1018023972147262e-32	-3.7688478627865254	0.75	1	3.655449813239297e-28	-0.25
MEG3	3.961100295558782e-37	-3.4890359387099417	0.5	1	1.314174245057537e-32	-0.5
IGKC	8.579505442377707e-10	3.436787886850681	1	1	2.846422520617652e-5	0
SORBS2	5.238263646843151e-15	-3.387166690108626	0.5	1	1.737898730113152e-10	-0.5
RALYL	1.7640481994520695e-7	-3.135828438769304	0.5	1	0.005852582711322131	-0.5
STAR	6.927639188142161e-12	-3.093119406450424	0.25	1	2.298382853449925e-7	-0.75
C3	9.743226652296381e-17	-3.0153387282402724	1	1	3.2325103064323702e-12	0
CD36	5.0165108130113985e-11	2.942233088453878	1	1	1.6643277924327916e-6	0
DHCR24	4.854560478895181e-24	-2.8650876850845055	0.5	1	1.6105975300830542e-19	-0.5
RARRES2	1.7851728009482204e-17	-2.8494872663582695	0.25	1	5.922667801705911e-13	-0.75
HMOX1	1.1616871143902266e-15	2.8420203265773525	1	1	3.854129339412455e-11	0
FBXL7	2.851727950945174e-12	-2.840299191986709	0.75	1	9.461177822850804e-8	-0.25
HSD3B2	8.569237220643267e-22	-2.8048342657621177	0.25	1	2.843015832692817e-17	-0.75
IGHG3	1.0653987740093178e-6	2.7453467824343543	1	1	0.03534673512530714	0
CEMIP2	5.295646293871135e-10	2.7242738683082877	1	1	1.7569365709176264e-5	0
CYP11A1	4.814575818655518e-22	-2.7205688226805185	0.25	1	1.5973318193553413e-17	-0.75
MT-CO1	1.9561394118240533e-11	-2.6802492332306427	1	1	6.489883726608661e-7	0
VCAM1	3.01249735077686e-32	2.655959559968597	1	1	9.994562460672388e-28	0
SDC2	2.2841979127673823e-13	2.6375322123910507	1	1	7.578283415188344e-9	0
MT-CO2	5.129054206017489e-11	-2.6003226711701273	1	1	1.7016663139304223e-6	0
CALCRL	9.978178261292548e-22	2.563046571788469	1	1	3.310460201749029e-17	0
CYP21A2	1.3272256140302188e-20	-2.5625607660771825	0	1	4.403336419668057e-16	-1
NOV	1.2621449840756133e-17	-2.519236363982273	0	1	4.1874184136676623e-13	-1
MT-ND4	4.078447983232796e-12	-2.5179257562843986	1	1	1.3531066873971446e-07	0
PDE10A	7.598040397736965e-16	-2.4850977389741957	0.5	1	2.520801862757193e-11	-0.5
IGHA1	1.8752554578056036e-9	2.476467109602101	1	0.75	6.221535032361651e-5	0.25
TTN	2.106884525352094e-21	2.4035000026705933	1	1	6.990010789760642e-17	0
